episodes,rewards
0,13.0
1,17.0
2,12.0
3,17.0
4,14.0
5,25.0
6,17.0
7,14.0
8,11.0
9,10.0
10,20.0
11,19.0
12,34.0
13,10.0
14,20.0
15,10.0
16,45.0
17,29.0
18,10.0
19,15.0
20,18.0
21,39.0
22,33.0
23,14.0
24,27.0
25,17.0
26,17.0
27,15.0
28,24.0
29,30.0
30,11.0
31,26.0
32,20.0
33,33.0
34,20.0
35,14.0
36,16.0
37,28.0
38,10.0
39,15.0
40,13.0
41,12.0
42,22.0
43,42.0
44,18.0
45,19.0
46,14.0
47,17.0
48,30.0
49,11.0
50,19.0
51,13.0
52,16.0
53,11.0
54,11.0
55,25.0
56,41.0
57,39.0
58,15.0
59,35.0
60,13.0
61,41.0
62,21.0
63,25.0
64,18.0
65,15.0
66,50.0
67,13.0
68,26.0
69,23.0
70,14.0
71,32.0
72,72.0
73,91.0
74,34.0
75,14.0
76,49.0
77,40.0
78,12.0
79,52.0
80,131.0
81,64.0
82,74.0
83,44.0
84,45.0
85,59.0
86,22.0
87,20.0
88,36.0
89,61.0
90,98.0
91,79.0
92,23.0
93,24.0
94,46.0
95,66.0
96,12.0
97,44.0
98,46.0
99,24.0
100,34.0
101,56.0
102,94.0
103,42.0
104,74.0
105,146.0
106,52.0
107,103.0
108,38.0
109,69.0
110,42.0
111,52.0
112,45.0
113,13.0
114,69.0
115,108.0
116,50.0
117,75.0
118,75.0
119,74.0
120,47.0
121,78.0
122,117.0
123,117.0
124,62.0
125,63.0
126,60.0
127,75.0
128,216.0
129,128.0
130,85.0
131,158.0
132,53.0
133,85.0
134,45.0
135,91.0
136,65.0
137,149.0
138,97.0
139,111.0
140,220.0
141,17.0
142,99.0
143,30.0
144,11.0
145,115.0
146,55.0
147,63.0
148,62.0
149,120.0
150,98.0
151,164.0
152,169.0
153,247.0
154,106.0
155,65.0
156,125.0
157,155.0
158,107.0
159,125.0
160,62.0
161,140.0
162,121.0
163,144.0
164,143.0
165,110.0
166,108.0
167,21.0
168,65.0
169,142.0
170,169.0
171,323.0
172,168.0
173,75.0
174,231.0
175,163.0
176,224.0
177,234.0
178,250.0
179,221.0
180,249.0
181,222.0
182,227.0
183,82.0
184,218.0
185,108.0
186,192.0
187,151.0
188,32.0
189,269.0
190,32.0
191,333.0
192,106.0
193,150.0
194,174.0
195,42.0
196,81.0
197,332.0
198,143.0
199,87.0
200,337.0
201,281.0
202,275.0
203,267.0
204,309.0
205,170.0
206,231.0
207,127.0
208,169.0
209,93.0
210,47.0
211,194.0
212,259.0
213,500.0
214,414.0
215,275.0
216,68.0
217,406.0
218,400.0
219,250.0
220,244.0
221,292.0
222,48.0
223,459.0
224,95.0
225,272.0
226,123.0
227,384.0
228,342.0
229,241.0
230,361.0
231,118.0
232,190.0
233,196.0
234,221.0
235,174.0
236,147.0
237,133.0
238,185.0
239,237.0
240,16.0
241,346.0
242,458.0
243,275.0
244,53.0
245,427.0
246,216.0
247,425.0
248,279.0
249,500.0
250,500.0
251,398.0
252,349.0
253,337.0
254,353.0
255,252.0
256,432.0
257,202.0
258,500.0
259,265.0
260,214.0
261,174.0
262,221.0
263,230.0
264,257.0
265,240.0
266,290.0
267,314.0
268,207.0
269,342.0
270,189.0
271,358.0
272,273.0
273,376.0
274,500.0
275,358.0
276,278.0
277,498.0
278,127.0
279,334.0
280,500.0
281,179.0
282,229.0
283,130.0
284,182.0
285,241.0
286,188.0
287,200.0
288,182.0
289,207.0
290,183.0
291,261.0
292,280.0
293,318.0
294,204.0
295,239.0
296,267.0
297,208.0
298,240.0
299,225.0
