episodes,rewards
0,20.0
1,50.0
2,53.0
3,21.0
4,21.0
5,24.0
6,22.0
7,18.0
8,35.0
9,30.0
10,15.0
11,47.0
12,17.0
13,13.0
14,27.0
15,20.0
16,27.0
17,11.0
18,13.0
19,31.0
20,15.0
21,29.0
22,11.0
23,16.0
24,12.0
25,17.0
26,28.0
27,14.0
28,18.0
29,12.0
30,20.0
31,22.0
32,49.0
33,20.0
34,36.0
35,22.0
36,16.0
37,27.0
38,46.0
39,11.0
40,9.0
41,12.0
42,16.0
43,23.0
44,28.0
45,18.0
46,29.0
47,20.0
48,22.0
49,20.0
50,42.0
51,24.0
52,11.0
53,38.0
54,26.0
55,21.0
56,18.0
57,37.0
58,28.0
59,21.0
60,23.0
61,31.0
62,18.0
63,10.0
64,11.0
65,15.0
66,20.0
67,12.0
68,58.0
69,60.0
70,12.0
71,10.0
72,21.0
73,41.0
74,14.0
75,17.0
76,39.0
77,31.0
78,30.0
79,14.0
80,10.0
81,33.0
82,40.0
83,10.0
84,66.0
85,44.0
86,20.0
87,39.0
88,57.0
89,31.0
90,51.0
91,44.0
92,21.0
93,104.0
94,18.0
95,59.0
96,68.0
97,37.0
98,13.0
99,14.0
100,113.0
101,9.0
102,13.0
103,14.0
104,42.0
105,37.0
106,65.0
107,39.0
108,10.0
109,11.0
110,61.0
111,24.0
112,110.0
113,22.0
114,59.0
115,13.0
116,16.0
117,25.0
118,17.0
119,31.0
120,80.0
121,25.0
122,81.0
123,48.0
124,11.0
125,91.0
126,16.0
127,58.0
128,51.0
129,31.0
130,48.0
131,64.0
132,59.0
133,49.0
134,28.0
135,34.0
136,45.0
137,57.0
138,34.0
139,70.0
140,37.0
141,118.0
142,65.0
143,49.0
144,170.0
145,159.0
146,116.0
147,129.0
148,74.0
149,35.0
150,85.0
151,83.0
152,63.0
153,110.0
154,69.0
155,61.0
156,54.0
157,71.0
158,17.0
159,73.0
160,68.0
161,36.0
162,54.0
163,48.0
164,14.0
165,95.0
166,16.0
167,59.0
168,11.0
169,12.0
170,30.0
171,103.0
172,46.0
173,73.0
174,69.0
175,131.0
176,11.0
177,90.0
178,71.0
179,157.0
180,141.0
181,32.0
182,128.0
183,17.0
184,27.0
185,44.0
186,138.0
187,152.0
188,17.0
189,124.0
190,16.0
191,38.0
192,13.0
193,37.0
194,15.0
195,82.0
196,23.0
197,42.0
198,80.0
199,17.0
200,19.0
201,13.0
202,14.0
203,15.0
204,12.0
205,22.0
206,21.0
207,17.0
208,12.0
209,20.0
210,98.0
211,24.0
212,10.0
213,153.0
214,34.0
215,71.0
216,18.0
217,54.0
218,28.0
219,31.0
220,28.0
221,15.0
222,105.0
223,25.0
224,104.0
225,95.0
226,89.0
227,104.0
228,105.0
229,98.0
230,106.0
231,14.0
232,25.0
233,12.0
234,22.0
235,100.0
236,12.0
237,18.0
238,96.0
239,105.0
240,102.0
241,118.0
242,113.0
243,92.0
244,105.0
245,114.0
246,107.0
247,21.0
248,16.0
249,107.0
250,15.0
251,21.0
252,14.0
253,18.0
254,17.0
255,16.0
256,16.0
257,20.0
258,26.0
259,17.0
260,23.0
261,12.0
262,119.0
263,15.0
264,125.0
265,13.0
266,11.0
267,127.0
268,22.0
269,122.0
270,128.0
271,23.0
272,90.0
273,98.0
274,93.0
275,102.0
276,14.0
277,16.0
278,106.0
279,101.0
280,25.0
281,36.0
282,131.0
283,132.0
284,129.0
285,136.0
286,123.0
287,132.0
288,131.0
289,116.0
290,138.0
291,129.0
292,89.0
293,26.0
294,131.0
295,16.0
296,55.0
297,108.0
298,81.0
299,71.0
