episodes,rewards
0,-117.8277899691796
1,-117.09023579672092
2,-204.11518894465576
3,-181.56046806292295
4,-148.07617277260164
5,-217.07878958289206
6,-258.3662541841744
7,-246.56958996411487
8,-156.33971441413166
9,-125.8453040831466
10,-97.08889082150117
11,-88.60786500289092
12,-125.3126129981918
13,-219.10012371881007
14,43.34765530227935
15,-199.22685211067193
16,-279.61587486667264
17,-139.81955722680934
18,-324.8135294818884
19,-331.75570428453966
20,-111.48404214050846
21,-268.33959912949973
22,-136.09512032655834
23,-172.26731459831785
24,-80.47384307725972
25,-247.08646638116824
26,-92.27843921759595
27,-538.4438009853876
28,-53.144151780369256
29,-389.1843181082704
30,-99.1461952706747
31,-333.9755446476132
32,-484.77082067318827
33,-94.70754417410926
34,-46.7706442572222
35,-100.28305385809196
36,-248.02772936414365
37,-98.92358966534223
38,-123.21956826950112
39,-98.93406650028031
40,-361.92195116218267
41,-350.65643968813754
42,-135.70541993315146
43,-98.51712093411278
44,-60.12569992804479
45,-52.72842251258594
46,-298.52951882846764
47,-114.16953189190524
48,-262.27875561535757
49,-266.3207441567764
50,-218.6908570069276
51,-325.7726572784634
52,-189.54736772339362
53,-401.6486833734151
54,-155.26115950426163
55,-148.20305726703168
56,-35.99693940479942
57,-70.10360407786715
58,-287.72266417108807
59,-58.91251547605332
60,-152.0922072781663
61,-78.38152114790822
62,-56.99958438765249
63,-288.93184510243856
64,-263.24687201587903
65,-81.92504550220202
66,-140.35015716204288
67,-317.6134859860855
68,-191.66558222467808
69,-151.81158111636066
70,-134.85647787980915
71,-76.95239016813541
72,-232.73106402979784
73,-149.22881466831916
74,-236.2845445861015
75,-201.2220612423135
76,-149.45040401961086
77,-495.3739234733445
78,-75.88615597827209
79,-238.03784624339983
80,-226.5127676746671
81,-191.25147949648644
82,-318.6705199350897
83,-40.22876174757525
84,-94.91063399300606
85,-285.0413082158674
86,-178.72643891690936
87,-154.6442289946482
88,-275.29627752367963
89,-346.32704260681396
90,-164.11274403858448
91,-464.7928214537297
92,-224.2056805933683
93,-383.68984356128834
94,-151.914452732688
95,-104.56540354651084
96,-159.7530822366132
97,-355.0307943328371
