episodes,rewards
0,-145.38216579056032
1,-375.24860408798196
2,-80.25750425008525
3,-116.13892378452725
4,-294.00917951771646
5,51.73118502554334
6,-165.60729718683126
7,-124.09208905408302
8,-267.1865104986349
9,-111.37861951012779
10,-141.49845705747663
11,-379.80977401476133
12,-341.5186560058338
13,-109.20178411803568
14,-80.543412081772
15,-170.35098647985816
16,-142.7866576323247
17,-382.2496620067693
18,-367.108190785175
19,-94.77483425552595
20,-171.17438724736007
21,-205.1848059180868
22,-52.668379188365265
23,-447.00100074708945
24,-278.5588193050643
25,-232.98335816148006
26,-88.91921501577372
27,-239.57597015074347
28,-304.6874119123096
29,-130.7162863308817
30,-239.34061252188
31,-74.2294158730018
32,-371.0216369272004
33,-220.04387822261202
34,-105.59407890656024
35,-235.71636621363956
36,-309.66999103398956
37,-151.56428328201744
38,-273.2483146853414
39,-145.98910751545844
40,-177.1652244451197
41,-221.39877952800856
42,-63.011040578778776
43,-205.17925938009725
44,-141.45410304375076
45,-195.38929904610194
46,-62.90959551476439
47,-111.42896441691737
48,-142.52795747659468
49,-110.7292802749811
50,-45.603829316060356
51,-101.55814555230377
52,-144.4985490915164
53,-110.14002600501756
54,-190.50021907824822
55,-248.23283216465086
56,-24.549553161893556
57,-67.67672278578112
58,-279.63299902435745
59,-210.4487332876111
60,-69.66919883529272
61,-259.04449167759276
62,-337.4840770461189
63,-52.266250194781094
64,-162.93389672094173
65,-329.1303941558374
66,-330.05587864185566
67,-58.234515546041415
68,-244.4077256474082
69,-288.5423620035397
70,-395.5752970623478
71,-66.49338043021199
72,-170.80539675576497
73,-36.44956401966313
74,-122.26730633732436
75,-210.80836012700297
76,-23.961541698964993
77,-115.8895626316161
78,-158.73222598480032
79,-190.21145885983157
80,-121.3413745674625
81,-79.2330238416381
82,-273.98950910599484
83,-134.8471060334931
84,-176.33778750753305
85,-66.58496246536426
86,-197.23248595769724
87,-163.81326413571276
88,-74.61502673786873
89,-93.08110757336651
90,-161.8756405472625
91,-261.6532678346266
92,-188.1742965140961
93,-278.67272336521444
94,-357.0522592476003
95,89.73938727799467
96,-290.9950611250181
97,-304.93967786581675
98,-487.0103062653228
99,-409.5809505915733
100,-156.3683376681663
101,-294.5322664032556
102,-152.44778366429114
103,-171.29446684964472
104,-97.723495390017
105,-82.87671167005385
106,-109.36768730607496
107,-211.44051558034766
108,-149.14216178627083
109,-233.67673713710636
110,-155.39266925751693
111,-149.00481502890108
112,-213.28345085143656
113,-206.85956553253334
114,-191.6871025888148
115,-157.9607558935469
116,-276.1837054249378
117,-221.84574628597437
118,-181.651565918333
119,-103.7857481688256
120,-146.26003085347344
121,-83.15409458577093
122,-167.29298923437716
123,-152.85550213068325
124,-149.95673609373154
125,-306.5969187852679
126,-75.69435985262109
127,-87.68475822871312
128,-51.51854679303068
129,-179.9544514084509
130,-74.61505181466141
131,-162.3662365115437
132,-52.23057865300225
133,-127.0560623033728
134,-99.78251650534979
135,-156.68880402336413
136,-67.15901680270672
137,-40.2054797418521
138,-121.522384031303
139,-45.43727749771481
140,-72.51799599681375
141,-103.84979416104906
142,-112.58746373031752
143,-16.836927530805298
144,-132.55611797316521
145,-53.900065723785715
146,-55.53161301745348
147,-50.16116087311291
148,-248.89560075725342
149,-5.559880156588065
150,-276.63703463392073
151,-53.29883637861711
152,-45.6100791545904
153,-75.71397206033808
154,-43.425441719620174
155,-135.9750093748674
156,-117.87738824882499
157,-164.18130891599014
158,-72.18088505043319
159,-106.69171424120889
160,-99.83167828816434
161,-172.10489887131473
162,-226.06448389813664
163,-26.267178141233842
164,-173.64944861630715
165,-284.9500839443991
166,-192.24719483115678
167,-245.92040917400544
168,-22.171853416217814
169,-289.08298997546103
170,-210.78747728015043
171,-78.24022047255394
172,-222.92432632663656
173,-69.65342136546985
174,-183.61098965749738
175,-126.05514284795552
176,-53.90467351696215
177,-70.5553378798542
178,-315.7718309522156
179,-250.40008779405028
180,-119.53718785858341
181,-463.04038399787186
182,-430.89462964979396
183,-498.51460595273863
184,-669.6030629390727
185,-480.01990235737196
186,-118.05201183425363
187,-201.06938161575204
188,-545.3311656943774
189,-516.8743665026823
190,-381.55267618852184
191,-363.1437406767239
192,-544.1494582425807
193,-53.82678848255384
194,-531.4900878583237
195,-582.4116080129945
196,-630.1367285665302
197,-425.3955740682087
198,-386.04539834425094
199,-85.10289642920134
200,-261.3829576095321
201,-178.19741318398812
202,-152.3490810356252
203,-124.45180861983448
204,-221.38552761728195
205,-306.47528611595044
206,-110.68539963529605
207,-103.70584514415302
208,-139.734272803836
209,-146.6343198115141
210,-129.47897909504053
211,-105.42436061353897
212,-103.36954621208558
213,-92.6977676306584
214,-63.376367592254304
215,-85.88390963219611
216,-44.73752027790139
217,-125.06757473993909
218,-40.71376472845943
219,-193.44766109480656
220,-103.82211036601555
221,-99.99163814371518
222,-72.08517958874411
223,-297.1153297747989
224,-32.48805175211491
225,4.415827450287001
226,-127.61711276387803
227,-21.386373423243107
228,-39.8049778783914
229,-28.658574758393115
230,-39.779212575565204
231,-340.8708304972678
232,-135.23189235657324
233,-229.35201130597375
234,-100.04620326319986
235,-25.424528201084684
236,-216.66989262898892
237,-196.43968291496415
238,-432.66182003035385
239,-263.34927841433125
240,-222.90064440608947
241,-32.29805973998458
242,-14.74760070958682
243,-221.91959090930612
244,39.71117618245889
245,-277.2304897909221
246,-409.45926667652833
247,-422.44116025823416
248,-43.30247717552051
249,-34.968814901546246
250,10.284706197261409
251,-217.88300782769676
252,-242.98153583634783
253,-158.66992374054882
254,-392.72926629967174
255,-80.52968459928145
256,-142.56304943045728
257,-116.48328407238348
258,-110.14133779446026
259,-93.35397691255254
260,-251.65419345665944
261,-493.66265795355366
262,-500.06373570654586
263,-460.163076341148
264,-451.3483929156799
265,-715.8094721933141
266,-115.7979336579016
267,-712.2932298722801
268,-343.4613558211398
269,-281.41476233469336
270,-516.197900413252
271,-369.3151904706419
272,-353.47855073828026
273,-500.80108386935166
274,-489.0957989460426
275,-376.3354913219095
276,-480.656032429829
277,-384.9834292645683
278,-358.0378777498695
279,-541.4251490549896
280,-471.3230091047387
281,-116.62983051343966
282,-108.35252492884173
283,0.18048900723768463
284,-186.01267944337823
285,-97.6507911268323
286,-387.6096417150632
287,-71.49227194319336
288,-122.22645468123322
289,16.216055805500464
290,17.18308215521467
291,-99.21112404412628
292,-331.37097202267034
293,-222.68675833787458
294,-182.68477096049986
295,-401.38529981492223
296,-259.51024165312106
297,-302.67636548348725
298,-71.0142885468739
299,-325.9702100107412
300,-464.0485780803358
301,45.958672637318244
302,-240.31979946580827
303,-272.94869309652324
304,-95.5479503333728
305,-314.4676910000173
306,-198.5496808439243
307,-349.5938683093695
308,-165.1346487790441
309,-88.56313930564903
310,-250.98354837302816
311,-116.49983475064552
312,-110.61348194803043
313,-22.588384907483768
314,-57.55267051733976
315,-111.71031686618598
316,-140.91462468116038
317,-251.12525413985594
318,11.84983567184176
319,-37.278776966687516
320,-83.25587385882072
321,-463.08093973850674
322,-274.28056288637686
323,-321.52083742961486
324,-219.96115055231382
325,-335.48852946479343
326,-200.54777885764554
327,-260.13460902233214
328,-293.13831602976455
329,-331.31623272383274
330,-331.03597689432047
331,-183.8271142821132
332,-155.70059851307337
333,-178.59597409307585
334,19.748302006471746
335,-139.79809926371576
336,-91.30768043797538
337,26.781354874982313
338,-130.39264140766267
339,-58.71934678002822
340,-120.26647472878903
341,-105.88319551729832
342,28.1990480970254
343,-99.22089182701671
344,-49.69982755707235
345,-94.8176313160049
346,-86.46793765652744
347,-102.1593305762127
348,-199.45967043349322
349,25.99723654856434
350,15.524796963825644
351,-575.3157081168574
352,-429.40698624355673
353,-583.0488527698609
354,-460.0299242017646
355,-423.99895918097616
356,-492.3595238507646
357,-580.4721465173249
358,-420.1719795224681
359,-573.186841187081
360,-462.6742195467533
361,-366.04622965222063
362,-177.34721671984806
363,-421.02223392561444
364,-569.4203267063021
365,-358.1229011299773
366,-342.2026332884791
367,-456.29365009254553
368,-364.1579311218428
369,-613.901662732934
370,-381.90908873196514
371,-319.97954281269796
372,-76.93382200874771
373,2.0304288369665215
374,-69.50565661726968
375,-113.3379628829849
376,-52.80589363532121
377,-43.88326968684986
378,-262.16980297885647
379,-5.624384497909038
380,-31.505230985497192
381,-476.4097521657739
382,-460.9126794006492
383,-564.4732433459897
384,-225.25931498762043
385,-14.938273744832488
386,-262.4322979490535
387,-63.52774494953136
388,-315.6898752374035
389,-28.1991774607831
390,18.448338137389356
391,-42.285461557396765
392,-107.50634991086665
393,-83.92780170324255
394,-14.71484148490407
395,-67.0359391217907
396,-127.35819988888323
397,-29.979665179369768
398,-76.89196603342377
399,-97.88099335958483
400,114.32291915885526
401,-88.90607313479887
402,-122.91071725531151
403,-0.12848700611839092
404,-24.21077174364339
405,-200.21110494252878
406,69.56466555679874
407,-83.64124930130953
408,-91.30499886287751
409,-81.34657162136259
410,-27.349762536621895
411,-97.61936655451044
412,-15.571181237943549
413,-208.83454128465928
414,-132.61345033320276
415,156.7819509945383
416,-31.46182841540201
417,-58.63371412803791
418,-5.860619889774398
419,-45.57690187556134
420,-118.08211467762968
421,-126.90702719374437
422,-79.10372407943096
423,-135.39848965635264
424,87.82487924385667
425,21.390774159020214
426,-129.21102642938743
427,2.8100703145016688
428,-104.60874488388643
429,-91.70450970644762
430,-107.56525843085393
431,-6.83673103391034
432,-119.01848129578447
433,-143.54094987373944
434,-133.7666378005437
435,-134.13752600393983
436,-146.2971982687107
437,10.998944183265845
438,36.86990571588769
439,168.53472361987008
440,-168.89601530823842
441,-324.64978291643536
442,-503.2804377052674
443,-401.8272593511347
444,-432.18039231757314
445,-369.2136294669032
446,-343.5173220418451
447,-338.88139437227153
448,-351.35007503425567
449,-168.2573109440455
450,-231.95031164655188
451,-235.29488393692918
452,-132.35491024912875
453,-187.86003483673397
454,-135.60032360339068
455,-108.73721210087841
456,-163.69311126496646
457,-220.1956044961779
458,-30.27338868685642
459,-334.5397446792465
460,-0.9557214694136107
461,-456.99310198595674
462,-160.89536324799727
463,-651.096700825396
464,-67.33539065666449
465,-109.00553635464433
466,-192.7617900336494
467,-141.22920392892678
468,-67.66859182611722
469,-286.3556897199638
470,-36.65672812912192
471,-342.19128810200795
472,-436.5578801593365
473,-366.86296815887385
474,-414.5448091092057
475,-307.6925123887594
476,-415.25445618635865
477,-376.5149399668366
478,-344.5043860578954
479,-234.91702204904547
480,-269.3096151662402
481,-504.6653196992882
482,-562.2846031537729
483,-570.2872964628232
484,-438.32012378708305
485,-503.1978043991157
486,-523.5240052263155
487,-467.66347717567413
488,-499.7486869561218
489,-495.4522901465245
490,-606.9487513826041
491,-587.1197853512634
492,-160.13756143611167
493,-409.44849025285356
494,-137.37545141446765
495,-115.34298340625247
496,-407.50776300668235
497,-187.45595861475758
498,-129.29124432418413
499,-132.6659069124398
500,-360.3157088083161
501,-490.24879433680684
502,-679.4324806517564
503,-648.229573443171
504,-111.47786038108848
505,-619.8113824921134
506,-129.16784077111603
507,-470.46854758466355
508,-497.61463536313323
509,-523.7278234545727
510,-595.0016731512275
511,-519.2906711573089
512,-318.0182697425412
513,-360.6659026229047
514,-356.53229404428794
515,-705.2401706609766
516,-278.50124110346087
517,-63.36660481206091
518,-67.03461655797823
519,-101.90840584236788
520,-123.40979559330917
521,-270.51194093128197
522,-159.18787734903395
523,-99.56865492294094
524,-173.9477132435313
525,-80.99331685325663
526,-28.635318065883546
527,58.781921456768394
528,-92.78568228609053
529,-113.05114528250695
530,-199.5771832347516
531,-42.4967680828515
532,-40.30908942989264
533,-53.541142745160734
534,8.924602587118386
535,-11.670114326186294
536,-7.449645097142065
537,-123.66166351629207
538,-30.72799743149088
539,-64.86377646134562
540,-34.64470485515575
541,12.386572744948904
542,-206.84000554105637
543,-461.9433651451174
544,-52.713510527768925
545,-81.90333521683951
546,-173.17239879767533
547,-102.6254443616278
548,-147.94474211347136
549,-216.59586185183804
550,-85.43131845910014
551,-123.63844592815487
552,-89.11526094292323
553,-86.73075877379219
554,-115.21266681500371
555,-102.73223036556138
556,-49.07127418719034
557,-106.19650347355002
558,-116.20476010689514
559,-93.05014376552842
560,-104.35331794927329
561,-320.83914527259924
562,-209.1863438429505
563,-529.7841220757202
564,-540.1666182031049
565,-46.61179987964799
566,-9.561480205683338
567,-662.3443625567922
568,-38.184581661878056
569,-247.06982917162662
570,-537.1763328131661
571,-149.42125946097758
572,-281.71490730346443
573,-15.42512918791175
574,-92.34099885585968
575,-45.49400538383543
576,-408.65681333951443
577,-181.3469398977403
578,-317.4726117308028
579,-117.42899599180686
580,-32.02772984236965
581,-171.67374322088165
582,-203.07129751905512
583,-174.31623834877206
584,-143.86765827838633
585,-394.93143727711623
586,-232.03699767412672
587,-101.28964613591482
588,-218.84346747108566
589,-234.08758418576517
590,-18.10593444078448
591,-229.47688779278639
592,-156.0833166110924
593,-284.0295338956832
594,-322.06117175355024
595,-211.77007294879962
596,22.373417256933777
597,-190.9910045961602
598,-349.50020915692636
599,-116.52183275800584
600,-261.070694365679
601,-133.19645679277141
602,-109.21016291237596
603,-112.29002705254558
604,-131.7791913412381
605,-76.55360064481799
606,-140.43991653386738
607,-118.34833245372931
608,-87.2984263396842
609,-120.15796379429999
610,-155.70684222548914
611,-193.24272715671822
612,-185.71000679396158
613,-193.14429818795685
614,-78.15955168444441
615,-77.40269871253862
616,-289.0862858038522
617,-62.27745534939994
618,-86.56615327987028
619,-66.64926661207342
620,220.06202515540912
621,-121.70012436096006
622,-99.61677360261436
623,-154.2093264896193
624,-109.63033930149832
625,-80.30081662558507
626,-65.72737905000939
627,-115.0933613665146
628,-80.52251165886312
629,-100.5799423596536
630,-103.20539538876429
631,-101.59647245339985
632,-98.5967328069355
633,-298.6013635330466
634,-167.62920014594346
635,-172.82839404043426
636,-71.05231859181046
637,-199.27487976052876
638,-150.06690597880254
639,-148.2608702173239
640,-101.75649681052404
641,-61.99134269843387
642,-74.10436928244216
643,-71.05737902857898
644,-89.02087689890466
645,-102.16675857687288
646,-109.78291734345099
647,-155.29184819568232
648,-83.78829932875647
649,-118.11775209421128
650,-80.1640605252369
651,-175.78070163349778
652,-107.7795286742437
653,-176.94238464658895
654,-143.46396269546102
655,-114.69739011845614
656,-160.9085291327109
657,-147.83031103777947
658,-129.3005871852986
659,-157.86210163023188
660,-123.28702463633061
661,-117.61005154774392
662,-126.50487071230395
663,-100.91378776913203
664,-84.37592112531674
665,-104.74554531218821
666,-132.34216841893272
667,-148.14166323312622
668,-65.43354371131966
669,-87.52510015221122
670,197.31958109605347
671,-154.80137007456509
672,-206.9235789771046
673,-178.0441429547131
674,-190.15041378321402
675,-166.17251398424747
676,-54.18975512745751
677,136.8789023694959
678,-161.57770183446962
679,-170.18492010554448
680,-166.7552479705159
681,-105.21882143085898
682,-29.29556306496852
683,-122.50063259131242
684,-130.65443317029673
685,-91.63933019876379
686,-88.14977661299281
687,-127.30307384844092
