episodes,rewards
0,139
1,121
2,71
3,71
4,62
5,123
6,86
7,81
8,108
9,65
10,68
11,70
12,120
13,81
14,99
15,65
16,74
17,107
18,90
19,65
20,118
21,69
22,128
23,90
24,94
25,93
26,74
27,60
28,112
29,117
30,123
31,66
32,109
33,79
34,99
35,111
36,135
37,81
38,141
39,80
40,94
41,80
42,93
43,79
44,116
45,79
46,108
47,122
48,103
49,68
50,111
51,111
52,80
53,98
54,66
55,127
56,76
57,111
58,150
59,107
60,115
61,91
62,98
63,113
64,80
65,77
66,146
67,85
68,181
69,89
70,126
71,129
72,125
73,101
74,122
75,106
76,123
77,116
78,73
79,69
80,100
81,77
82,136
83,78
84,90
85,102
86,108
87,106
88,112
89,94
90,114
91,153
92,69
93,115
94,156
95,78
96,93
97,131
98,68
99,140
100,136
101,112
102,78
103,99
104,83
105,136
106,108
107,128
108,115
109,140
110,133
111,136
112,131
113,154
114,72
115,107
116,133
117,98
118,82
119,116
120,87
121,147
122,104
123,139
124,111
125,114
126,110
127,123
128,135
129,92
130,134
131,86
132,125
133,76
134,81
135,81
136,129
137,86
138,153
139,127
140,110
141,72
142,165
143,71
144,112
145,92
146,102
147,99
148,103
149,116
150,71
151,81
152,119
153,106
154,133
155,96
156,185
157,96
158,102
159,137
160,107
161,88
162,121
163,111
164,90
165,75
166,173
167,102
168,113
169,117
170,95
171,114
172,92
173,116
174,170
175,106
176,177
177,69
178,205
179,148
180,113
181,80
182,125
183,164
184,141
185,121
186,102
187,135
188,105
189,117
190,108
191,105
192,95
193,127
194,116
195,105
196,146
197,150
198,144
199,99
200,111
201,95
202,109
203,107
204,155
205,176
206,138
207,83
208,123
209,172
210,167
211,96
212,205
213,149
214,96
215,141
216,139
217,123
218,123
219,85
220,159
221,100
222,123
223,123
224,120
225,95
226,87
227,110
228,116
229,87
230,130
231,146
232,101
233,89
234,114
235,171
236,95
237,86
238,103
239,171
240,80
241,137
242,95
243,67
244,143
245,161
246,141
247,166
248,129
249,83
250,116
251,159
252,88
253,101
254,149
255,119
256,193
257,141
258,108
259,80
260,140
261,105
262,128
263,95
264,113
265,77
266,151
267,95
268,114
269,152
270,155
271,157
272,109
273,117
274,159
275,91
276,151
277,110
278,86
279,104
280,176
281,156
282,188
283,139
284,217
285,85
286,1738
287,72
288,127
289,106
290,74
291,96
292,105
293,143
294,146
295,130
296,80
297,103
298,172
299,109
