episodes,rewards
0,-148.2992756182326
1,-129.94892254126847
2,-25.081627260279603
3,-88.25659901456437
4,-160.3147497843582
5,-193.04051770510233
6,-93.4542986809509
7,-164.9847383619521
8,-310.6136120385063
9,-376.0590564327057
10,-274.2287758255611
11,-14.725226129780012
12,-362.5115433212649
13,-210.69682815682336
14,-111.58272975136099
15,-197.9373699643569
16,-98.1274319831449
17,-162.64080756907185
18,-391.5364717998612
19,-108.0043207601467
20,-99.09671257594486
21,-97.75817433794435
22,-121.01843016796214
23,-93.98817846667994
24,-98.90315035849646
25,-490.4386497775688
26,-371.6896516404271
27,-206.77103344021393
28,-372.3880597105051
29,-100.28437159448644
30,-159.62195050983505
31,-260.11621617988254
32,-120.30776531043088
33,-35.90501944952899
34,-386.4490231834539
35,-158.05439383471074
36,-451.40055934631556
37,-73.06538119931635
38,-273.35549994065127
39,-97.94804639063902
40,-207.32516707913712
41,-96.32110817845843
42,-106.49454664499638
43,-202.76639374135857
44,-149.76257117080974
45,-313.54909947042256
46,-25.962817093564894
47,-142.5303449622237
48,-197.8799403667966
49,-111.59057662547426
50,-215.14325347106615
51,-80.26495235808393
52,-248.28792371537077
53,-160.11282182741778
54,-147.82588011337805
55,-347.60322793298394
56,-573.827691639118
57,-325.7274997925938
58,-139.80924010402072
59,-395.6981618225726
60,-152.2846550422799
61,-202.2452623822316
62,-25.260884750413922
63,-169.17389017737938
64,-181.8292117239506
65,-58.46968365411358
66,-25.080396683198273
67,-179.95262524896623
68,-95.70604032260354
69,-93.43313504603884
70,-196.91620188585352
71,-142.83484509623622
72,-66.23446733382188
73,-79.30538313312073
74,-303.95804471877267
75,-111.52241839863605
76,-112.67058106473021
77,-126.07117129386634
78,-97.80505927073118
79,-108.47646111497639
80,-47.49695189205117
81,-86.20934301849984
82,-67.72589521637403
83,-123.5129719982958
84,-61.196713538701275
85,-85.03246757937617
86,-276.12210276364783
87,-108.2154155263151
88,-143.82278643268262
89,-68.16323432342551
90,-70.29757332010772
91,-123.59662590412009
92,-140.08818741060512
93,-22.654643705891985
94,-84.47749327722055
95,-117.64877253321782
96,34.42394126033673
97,-101.13369558735998
98,-145.32672985803038
99,-160.38056806772997
100,-144.62369841083097
101,-88.7341275506759
102,-127.93051837556354
103,-156.87894749598442
104,-62.41229115120157
105,-106.69114406562325
106,-15.848413953188654
107,-113.9694179484588
108,-95.39147929511017
109,-187.86972832594273
110,-255.25122455617174
111,-269.5525182494184
112,-131.57796971166903
113,-284.3911249337757
114,-293.4372422948431
115,-292.1405848251286
116,-125.8687756456356
117,-32.724434668669815
118,-196.0164002522542
119,-83.96443875389728
120,-267.7316488231759
121,-110.91177041826599
122,-43.573135640228344
123,-87.83098873685765
124,-209.23196583198288
125,-64.15558598716494
126,-111.51001357799281
127,-83.06884521356002
128,-115.31786158903515
129,-67.5201918496854
130,-99.08925559572444
131,-263.03372498166414
132,-57.30855101210929
133,-343.7152726869172
134,-434.2044614308493
