episodes,rewards
0,9
1,8
2,10
3,9
4,9
5,9
6,7
7,9
8,8
9,7
10,8
11,8
12,9
13,8
14,7
15,7
16,9
17,8
18,8
19,9
20,9
21,9
22,9
23,7
24,10
25,9
26,7
27,9
28,7
29,8
30,9
31,9
32,9
33,8
34,9
35,9
36,8
37,7
38,9
39,8
40,8
41,9
42,8
43,9
44,7
45,9
46,9
47,9
48,9
49,8
50,9
51,8
52,8
53,8
54,8
55,10
56,7
57,9
58,9
59,7
60,9
61,8
62,8
63,8
64,8
65,7
66,7
67,9
68,8
69,9
70,7
71,9
72,9
73,8
74,9
75,8
76,9
77,10
78,9
79,7
80,8
81,9
82,8
83,7
84,9
85,9
86,9
87,9
88,9
89,9
90,8
91,8
92,8
93,8
94,9
95,9
96,8
97,9
98,8
99,8
100,8
101,8
102,7
103,8
104,7
105,8
106,8
107,8
108,8
109,9
110,9
111,9
112,9
113,9
114,9
115,8
116,9
117,8
118,9
119,9
120,8
121,8
122,8
123,8
124,8
125,9
126,8
127,9
128,9
129,8
130,9
131,9
132,8
133,8
134,9
135,7
136,7
137,9
138,9
139,7
140,9
141,9
142,9
143,9
144,8
145,8
146,8
147,7
148,7
149,8
150,7
151,9
152,9
153,8
154,8
155,10
156,8
157,8
158,9
159,9
160,7
161,8
162,7
163,8
164,10
165,8
166,7
167,9
168,8
169,8
170,7
171,7
172,8
173,8
174,8
175,7
176,8
177,9
178,9
179,8
180,8
181,8
182,8
183,9
184,8
185,9
186,8
187,9
188,9
189,8
190,8
191,9
192,8
193,9
194,8
195,7
196,9
197,9
198,8
199,8
200,9
201,8
202,9
203,9
204,8
205,8
206,10
207,8
208,9
209,8
210,8
211,9
212,9
213,9
214,8
215,9
216,9
217,9
218,9
219,8
220,8
221,8
222,7
223,9
224,8
225,9
226,8
227,8
228,9
229,9
230,8
231,9
232,9
233,9
234,8
235,8
236,8
237,9
238,8
239,8
240,10
241,8
242,8
243,8
244,7
245,9
246,8
247,8
248,7
249,7
250,7
251,8
252,8
253,9
254,9
255,9
256,7
257,8
258,7
259,7
260,8
261,7
262,8
263,9
264,7
265,9
266,10
267,9
268,8
269,8
270,9
271,9
272,8
273,8
274,9
275,8
276,9
277,9
278,7
279,8
280,8
281,7
282,8
283,9
284,9
285,8
286,8
287,8
288,9
289,10
290,8
291,10
292,9
293,9
294,7
295,8
296,9
297,8
298,9
299,7
