episodes,rewards
0,-501.76200701198155
1,-208.19108527741201
2,-44.450089258931484
3,-347.115419584548
4,-230.31024392792048
5,-107.53161098768419
6,-215.84108374239742
7,-274.8811395716152
8,-154.1431158374811
9,-58.54131844566413
10,-14.055478475608567
11,-372.79421527439627
12,-391.65375494167444
13,-270.12485602415813
14,-152.14620681985917
15,-98.07915824855428
16,-113.74208769669426
17,-234.60530438145233
18,-322.35586428628267
19,-92.42364476330346
20,-68.94569701276613
21,-137.10859001016163
22,-210.54579995685523
23,-158.08276451802223
24,-147.2669110511393
25,-133.4744717185721
26,-144.24494093978737
27,-305.658950611335
28,-461.8161822919129
29,-342.8928182016042
30,-205.13091773468537
31,-382.45157078850144
32,-101.64791110702777
33,-202.11021651014997
34,-239.58034150699663
35,-352.038169555375
36,-187.71481468024962
37,-171.3540717251854
38,-145.3948168048712
39,-143.19414080514952
40,-63.727480194529946
41,-78.65234640283802
42,-83.79814810309036
43,-132.12418042334758
44,-326.6773636614699
45,-58.00716420033858
46,-53.80803194457657
47,-78.81136928962857
48,-193.89038257666886
49,-256.09276254718463
50,-214.0818123862353
51,-360.44966775832995
52,-340.9574727780712
53,-94.49934202475846
54,-387.08130124487616
55,-85.09905549318785
56,-304.96191601553807
57,-363.13270924229073
58,-218.45080327544412
59,-225.5933684772629
60,-252.69494039561056
61,-290.27645057340385
62,-197.43200313189834
63,-137.4305993421043
64,-239.16755817772483
65,-181.96059577186304
66,-266.4141152694287
67,-131.88735460062315
68,-331.2236255976524
69,-209.60231686017107
70,-244.00751562579035
71,-217.6690767599155
72,-158.87175854715963
73,-177.25602994616088
74,-134.18379761371523
75,-67.84371113672974
76,-288.67466173643896
77,-157.67807218755527
78,-482.9785120858179
79,-405.77590021652134
80,-434.5529082655733
81,-242.43232810744075
82,-188.84891663114564
83,-54.350111629933075
84,-349.62274643590706
85,-172.49880871880453
86,-127.75209817273651
87,-207.97482643564615
88,-287.5692259443865
89,-290.422741954249
90,-139.85656690814608
91,-204.43803314580964
92,-22.04543828646524
93,-315.67339147102956
94,-88.63868878989089
95,-82.24577870083262
96,-334.18123386395166
97,-293.4978761680022
98,-124.93511369111731
99,-55.255654579394715
100,-205.7229074627607
