episodes,rewards
0,-171.8067750546812
1,-259.35424958524305
2,-121.52888859833976
3,-134.31098405609097
4,-301.51961861810094
5,-227.80845817598248
6,-238.67756489834846
7,-327.4812418719389
8,-423.32723991817454
9,-342.3301464948897
10,-547.4876652075988
11,-569.1002979285082
12,-561.7909152627187
13,-454.3280141387742
14,-738.9598968672069
15,-691.6985256903483
16,-335.23977239952455
17,-1169.283712371467
18,-834.0593532673201
19,-700.7804811515097
20,-471.28792311645543
21,-613.4959213448725
22,-609.8960042914412
23,-471.9221306309925
24,-883.2761778634197
25,-821.8671421390882
26,-158.33418869519545
27,-348.91187487881257
28,-488.56801327533424
29,-321.11017856849304
30,-473.61939689422366
31,-515.2194558578592
32,-534.4026990806041
33,-572.2495757831998
34,-563.090535809109
35,-174.12273874420015
36,-675.4886021886659
37,-213.39872245028243
38,-186.76951692998227
39,-96.5833471695873
40,-185.86187922648105
41,-132.11545811374302
42,-556.0957201113729
43,-432.06774769010025
44,-183.19546162408966
45,-242.18888174998764
46,-92.07343116004071
47,-344.2097242868223
48,-192.9073682095679
49,-125.80226579456405
50,-287.17751249660955
51,-292.93694479884414
52,-398.03133336799334
53,-408.8567197688794
54,-201.51431358107124
55,-261.7065549381322
56,-524.8388577825081
57,-50.514661425244185
58,-251.30090570510285
59,-330.78241762252827
60,-239.68280052441602
61,-254.93342050195034
62,-256.39105587850025
63,-313.17238917846953
64,-109.80195763174864
65,-220.27785929420935
66,-158.00385587811198
67,-121.8481610439254
68,-162.3435836152774
69,-122.60200622754856
70,-130.05325296151352
71,-79.75161064403805
72,-181.41441707209464
73,-117.10221056248305
74,-165.06040905945872
75,-145.15881824445995
76,-89.16242194862188
77,-134.42846611982952
78,-116.20712652314211
79,-137.47014213404904
80,-193.27683774548223
81,-140.46362035852894
82,-0.9632989907958915
83,-140.62127028453153
84,-118.47810711880912
85,-110.50264268705567
86,-152.3193078259768
87,-72.83469668507371
88,-121.60188848256077
89,-118.15359851564656
90,-139.19967965876998
91,-103.69809657271486
92,-138.610992164921
93,-126.3999206912006
94,-110.03653061287555
95,-132.8098338362105
96,-85.60991542436757
97,-62.40248763448262
98,-160.42745443677597
99,-130.01465616852036
100,-171.64603450740194
101,-99.97916312172377
102,-124.8109278441191
103,-100.88456433756193
104,-104.99393809879967
105,-261.9763207771939
106,-124.32972381740746
107,-128.43397728860305
108,-137.50503031528274
109,-143.6203959975216
110,-101.7241603811705
111,-99.95304703189178
112,-152.36261493880505
113,-113.64871506569212
114,-137.86936675455712
115,-109.58214298712929
116,-85.43312395341059
117,-49.19439613803888
118,-97.41161332720294
119,-84.8327305500047
120,-100.35658152644099
121,-89.20787446497353
122,-128.43208835110528
123,-49.34829300678269
124,-91.77971500960932
125,-150.61240017210292
126,-97.05544445992723
127,-83.40301986293483
128,-67.41096360666788
129,-103.11984439526796
130,-182.56016963697022
131,-54.18504590678892
132,-88.86539071074809
133,-49.21029018920942
134,-97.4763222213519
135,-98.78967633088195
136,-48.73703486988755
137,-141.62660525007368
138,-96.20086934225462
139,-91.84137936465355
140,-117.60323031061415
141,-85.93422990716736
142,-45.36460942221858
143,-65.38324743932814
144,-117.30301655522368
145,-153.9393056409604
146,-141.0510928502031
147,-80.97906672077762
148,-108.8717747963413
149,-57.442755741926206
150,-123.0577549203552
151,-73.06497086126008
152,-93.43203798667815
153,-37.33393588943936
154,-77.22810239624619
155,-88.17340603185181
156,-62.55863775854188
157,-31.778710811212093
158,-8.488014313822347
159,-50.28496195091279
160,-64.84445381860822
161,-106.59225851850589
162,-48.647389357076236
163,-98.89376634723408
164,-62.29269718001437
165,-54.96553781393036
166,-53.175221906297075
167,-70.39831741474774
168,-135.4843689413325
169,-211.5250630050308
170,-79.67038235421197
171,-51.238517976899125
172,-273.0652955702665
173,-49.197788122733286
174,-192.9998343026314
175,45.10575393793434
176,-84.24292216650012
177,22.84356074323655
178,-91.1528689428904
179,-207.9583534768967
180,-388.7126869408852
181,-88.17014663662704
182,-175.77682818494503
183,23.751376617495183
184,-384.9640316198293
185,-11.567152086914462
186,-251.37535136505326
187,33.98531759883562
188,-18.232677875963788
189,9.635102577170343
190,-199.90296121067237
