episodes,rewards
0,16.0
1,15.0
2,9.0
3,13.0
4,12.0
5,28.0
6,16.0
7,30.0
8,51.0
9,15.0
10,15.0
11,38.0
12,22.0
13,26.0
14,24.0
15,14.0
16,10.0
17,19.0
18,34.0
19,40.0
20,14.0
21,23.0
22,21.0
23,11.0
24,33.0
25,13.0
26,17.0
27,26.0
28,13.0
29,20.0
30,11.0
31,96.0
32,9.0
33,42.0
34,15.0
35,45.0
36,15.0
37,45.0
38,44.0
39,17.0
40,26.0
41,18.0
42,48.0
43,37.0
44,23.0
45,54.0
46,16.0
47,43.0
48,61.0
49,27.0
50,90.0
51,48.0
52,47.0
53,39.0
54,79.0
55,11.0
56,54.0
57,57.0
58,52.0
59,87.0
60,76.0
61,20.0
62,53.0
63,110.0
64,21.0
65,79.0
66,107.0
67,64.0
68,100.0
69,128.0
70,84.0
71,111.0
72,71.0
73,62.0
74,99.0
75,62.0
76,137.0
77,114.0
78,85.0
79,136.0
80,137.0
81,118.0
82,115.0
83,105.0
84,150.0
85,95.0
86,107.0
87,194.0
88,189.0
89,122.0
90,143.0
91,154.0
92,141.0
93,130.0
94,235.0
95,183.0
96,142.0
97,181.0
98,123.0
99,130.0
100,183.0
101,107.0
102,175.0
103,136.0
104,132.0
105,159.0
106,234.0
107,182.0
108,205.0
109,179.0
110,124.0
111,262.0
112,145.0
113,117.0
114,165.0
115,172.0
116,219.0
117,120.0
118,154.0
119,178.0
120,214.0
121,222.0
122,108.0
123,180.0
124,229.0
125,158.0
126,198.0
127,139.0
128,161.0
129,152.0
130,195.0
131,185.0
132,169.0
133,234.0
134,153.0
135,220.0
136,222.0
137,214.0
138,279.0
139,230.0
140,202.0
141,226.0
142,210.0
143,260.0
144,209.0
145,242.0
146,191.0
147,197.0
148,249.0
149,182.0
150,181.0
151,163.0
152,164.0
153,158.0
154,150.0
155,180.0
156,167.0
157,144.0
158,161.0
159,141.0
160,148.0
161,157.0
162,147.0
163,146.0
164,144.0
165,133.0
166,144.0
167,133.0
168,128.0
169,66.0
170,11.0
171,41.0
172,42.0
173,10.0
174,14.0
175,11.0
176,14.0
177,12.0
178,45.0
179,44.0
180,233.0
181,226.0
182,253.0
183,295.0
184,232.0
185,210.0
186,326.0
187,172.0
188,148.0
189,143.0
190,181.0
191,157.0
192,125.0
193,151.0
194,176.0
195,144.0
196,163.0
197,152.0
198,124.0
199,161.0
200,133.0
201,157.0
202,168.0
203,162.0
204,161.0
205,173.0
206,151.0
207,160.0
208,145.0
209,151.0
210,160.0
211,150.0
212,157.0
213,143.0
214,157.0
215,191.0
216,182.0
217,221.0
218,210.0
219,224.0
220,313.0
221,229.0
222,238.0
223,185.0
224,195.0
225,165.0
226,204.0
227,233.0
228,243.0
229,220.0
230,251.0
231,192.0
232,172.0
233,152.0
234,172.0
235,180.0
236,256.0
237,185.0
238,178.0
239,203.0
240,212.0
241,163.0
242,209.0
243,200.0
244,180.0
245,203.0
246,198.0
247,205.0
248,194.0
249,195.0
250,176.0
251,230.0
252,198.0
253,191.0
254,182.0
255,194.0
256,211.0
257,180.0
258,209.0
259,205.0
260,192.0
261,200.0
262,201.0
263,183.0
264,219.0
265,185.0
266,217.0
267,193.0
268,214.0
269,239.0
270,192.0
271,203.0
272,207.0
273,228.0
274,194.0
275,198.0
276,208.0
277,188.0
278,232.0
279,230.0
280,221.0
281,258.0
282,180.0
283,224.0
284,180.0
285,179.0
286,181.0
287,275.0
288,233.0
289,245.0
290,247.0
291,213.0
292,258.0
293,184.0
294,214.0
295,217.0
296,212.0
297,208.0
298,227.0
299,196.0
