episodes,rewards
0,18.0
1,28.0
2,11.0
3,32.0
4,12.0
5,18.0
6,31.0
7,16.0
8,31.0
9,19.0
10,92.0
11,64.0
12,16.0
13,26.0
14,225.0
15,59.0
16,81.0
17,128.0
18,134.0
19,128.0
20,290.0
21,164.0
22,322.0
23,201.0
24,261.0
25,200.0
26,290.0
27,266.0
28,269.0
29,282.0
30,288.0
31,226.0
32,253.0
33,244.0
34,224.0
35,238.0
36,151.0
37,180.0
38,197.0
39,196.0
40,189.0
41,259.0
42,206.0
43,251.0
44,191.0
45,159.0
46,182.0
47,256.0
48,175.0
49,295.0
50,199.0
51,166.0
52,247.0
53,188.0
54,204.0
55,239.0
56,173.0
57,191.0
58,209.0
59,147.0
60,181.0
61,156.0
62,259.0
63,209.0
64,179.0
65,129.0
66,152.0
67,149.0
68,131.0
69,129.0
70,13.0
71,11.0
72,261.0
73,254.0
74,175.0
75,180.0
76,176.0
77,318.0
78,40.0
79,10.0
80,12.0
81,175.0
82,143.0
83,142.0
84,135.0
85,145.0
86,148.0
87,141.0
88,144.0
89,160.0
90,153.0
91,156.0
92,187.0
93,172.0
94,199.0
95,152.0
96,184.0
97,165.0
98,139.0
99,185.0
100,163.0
101,156.0
102,161.0
103,176.0
104,145.0
105,174.0
106,184.0
107,188.0
108,181.0
109,154.0
110,154.0
111,150.0
112,161.0
113,146.0
114,145.0
115,144.0
116,142.0
117,143.0
118,147.0
119,143.0
120,156.0
121,143.0
122,146.0
123,138.0
124,158.0
125,248.0
126,156.0
127,167.0
128,126.0
129,351.0
130,176.0
131,169.0
132,186.0
133,169.0
134,143.0
135,128.0
136,121.0
137,145.0
138,147.0
139,36.0
140,138.0
141,146.0
142,98.0
143,183.0
144,500.0
145,122.0
146,138.0
147,135.0
148,148.0
149,134.0
150,158.0
151,95.0
152,142.0
153,151.0
154,164.0
155,151.0
156,174.0
157,188.0
158,127.0
159,195.0
160,319.0
161,500.0
162,132.0
163,264.0
164,203.0
165,217.0
166,171.0
167,184.0
168,352.0
169,242.0
170,171.0
171,401.0
172,188.0
173,230.0
174,187.0
175,86.0
176,148.0
177,192.0
178,204.0
179,215.0
180,288.0
181,241.0
182,198.0
183,428.0
184,15.0
185,133.0
186,152.0
187,235.0
188,133.0
189,124.0
190,176.0
191,171.0
192,149.0
193,135.0
194,182.0
195,137.0
196,180.0
197,149.0
198,137.0
199,109.0
200,48.0
201,104.0
202,116.0
203,271.0
204,256.0
205,223.0
206,492.0
207,143.0
208,245.0
209,137.0
210,13.0
211,15.0
212,15.0
213,199.0
214,161.0
215,110.0
216,109.0
217,162.0
218,154.0
219,168.0
220,204.0
221,188.0
222,213.0
223,158.0
224,199.0
225,161.0
226,150.0
227,154.0
228,180.0
229,168.0
230,166.0
231,167.0
232,261.0
233,139.0
234,224.0
235,158.0
236,240.0
237,189.0
238,158.0
239,203.0
240,238.0
241,238.0
242,179.0
243,298.0
244,248.0
245,190.0
246,248.0
247,177.0
248,221.0
249,500.0
250,107.0
251,167.0
252,121.0
253,231.0
254,146.0
255,105.0
256,234.0
257,94.0
258,122.0
259,114.0
260,100.0
261,162.0
262,107.0
263,179.0
264,174.0
265,117.0
266,123.0
267,20.0
268,98.0
269,20.0
270,149.0
271,232.0
272,135.0
273,111.0
274,117.0
275,130.0
276,102.0
277,110.0
278,116.0
279,112.0
280,105.0
281,134.0
282,108.0
283,64.0
284,38.0
285,44.0
286,150.0
287,145.0
288,102.0
289,227.0
290,300.0
291,143.0
292,203.0
293,157.0
294,136.0
295,151.0
296,266.0
297,135.0
298,246.0
299,145.0
