episodes,rewards
0,18.0
1,22.0
2,23.0
3,20.0
4,10.0
5,46.0
6,24.0
7,16.0
8,54.0
9,52.0
10,14.0
11,80.0
12,11.0
13,51.0
14,27.0
15,107.0
16,97.0
17,72.0
18,117.0
19,83.0
20,12.0
21,55.0
22,14.0
23,128.0
24,174.0
25,211.0
26,220.0
27,233.0
28,423.0
29,248.0
30,291.0
31,311.0
32,326.0
33,278.0
34,217.0
35,245.0
36,500.0
37,313.0
38,309.0
39,293.0
40,500.0
41,251.0
42,379.0
43,462.0
44,385.0
45,311.0
46,244.0
47,500.0
48,190.0
49,271.0
50,276.0
51,358.0
52,141.0
53,435.0
54,214.0
55,328.0
56,327.0
57,432.0
58,49.0
59,11.0
60,12.0
61,11.0
62,9.0
63,27.0
64,95.0
65,71.0
66,14.0
67,189.0
68,156.0
69,244.0
70,69.0
71,43.0
72,304.0
73,251.0
74,500.0
75,500.0
76,102.0
77,110.0
78,13.0
79,183.0
80,500.0
81,302.0
82,349.0
83,330.0
84,183.0
85,248.0
86,500.0
87,500.0
88,444.0
89,500.0
90,444.0
91,152.0
92,356.0
93,255.0
94,192.0
95,500.0
96,207.0
97,359.0
98,500.0
99,500.0
100,268.0
101,214.0
102,459.0
103,142.0
104,49.0
105,145.0
106,235.0
107,500.0
108,38.0
109,70.0
110,343.0
111,344.0
112,456.0
113,236.0
114,488.0
115,207.0
116,123.0
117,433.0
118,153.0
119,295.0
120,322.0
121,10.0
122,60.0
123,385.0
124,360.0
125,197.0
126,177.0
127,385.0
128,419.0
129,500.0
130,421.0
131,351.0
132,380.0
133,39.0
134,33.0
135,301.0
136,500.0
137,352.0
138,277.0
139,462.0
140,500.0
141,378.0
142,296.0
143,320.0
144,197.0
145,167.0
146,140.0
147,50.0
148,11.0
149,89.0
150,143.0
151,294.0
152,246.0
153,229.0
154,263.0
155,500.0
156,471.0
157,153.0
158,285.0
159,189.0
160,211.0
161,208.0
162,208.0
163,498.0
164,249.0
165,149.0
166,225.0
167,152.0
168,45.0
169,500.0
170,500.0
171,185.0
172,482.0
173,195.0
174,36.0
175,66.0
176,500.0
177,199.0
178,356.0
179,500.0
180,145.0
181,500.0
182,215.0
183,234.0
184,434.0
185,380.0
186,99.0
187,245.0
188,199.0
189,437.0
190,499.0
191,500.0
192,165.0
193,268.0
194,332.0
195,266.0
196,257.0
197,106.0
198,64.0
199,388.0
200,148.0
201,441.0
202,500.0
203,138.0
204,485.0
205,231.0
206,217.0
207,442.0
208,142.0
209,500.0
210,406.0
211,241.0
212,395.0
213,500.0
214,177.0
215,148.0
216,71.0
217,199.0
218,371.0
219,121.0
220,391.0
221,45.0
222,202.0
223,134.0
224,55.0
225,100.0
226,256.0
227,309.0
228,246.0
229,277.0
230,173.0
231,256.0
232,132.0
233,121.0
234,159.0
235,185.0
236,130.0
237,500.0
238,312.0
239,293.0
240,500.0
241,50.0
242,80.0
243,319.0
244,226.0
245,366.0
246,282.0
247,130.0
248,327.0
249,326.0
250,500.0
251,314.0
252,148.0
253,252.0
254,500.0
255,500.0
256,500.0
257,128.0
258,461.0
259,500.0
260,277.0
261,187.0
262,227.0
263,285.0
264,172.0
265,156.0
266,179.0
267,139.0
268,224.0
269,156.0
270,133.0
271,149.0
272,147.0
273,195.0
274,309.0
275,253.0
276,153.0
277,174.0
278,192.0
279,184.0
280,125.0
281,163.0
282,197.0
283,175.0
284,162.0
285,174.0
286,100.0
287,136.0
288,400.0
289,397.0
290,127.0
291,208.0
292,171.0
293,116.0
294,239.0
295,172.0
296,48.0
297,85.0
298,12.0
299,11.0
