episodes,rewards
0,14.0
1,13.0
2,32.0
3,20.0
4,17.0
5,58.0
6,17.0
7,12.0
8,37.0
9,18.0
10,33.0
11,57.0
12,84.0
13,40.0
14,19.0
15,27.0
16,13.0
17,23.0
18,38.0
19,45.0
20,62.0
21,35.0
22,111.0
23,59.0
24,52.0
25,55.0
26,107.0
27,51.0
28,86.0
29,30.0
30,73.0
31,51.0
32,99.0
33,129.0
34,128.0
35,118.0
36,175.0
37,301.0
38,49.0
39,178.0
40,195.0
41,261.0
42,98.0
43,214.0
44,284.0
45,256.0
46,84.0
47,263.0
48,139.0
49,227.0
50,294.0
51,294.0
52,266.0
53,331.0
54,264.0
55,236.0
56,425.0
57,244.0
58,251.0
59,172.0
60,256.0
61,289.0
62,343.0
63,189.0
64,117.0
65,265.0
66,129.0
67,500.0
68,500.0
69,500.0
70,185.0
71,500.0
72,205.0
73,371.0
74,39.0
75,85.0
76,329.0
77,58.0
78,500.0
79,25.0
80,262.0
81,173.0
82,500.0
83,376.0
84,500.0
85,251.0
86,195.0
87,221.0
88,278.0
89,77.0
90,190.0
91,272.0
92,246.0
93,198.0
94,331.0
95,419.0
96,419.0
97,288.0
98,390.0
99,160.0
100,244.0
101,191.0
102,190.0
103,144.0
104,161.0
105,24.0
106,24.0
107,12.0
108,262.0
109,85.0
110,177.0
111,246.0
112,216.0
113,356.0
114,500.0
115,376.0
116,387.0
117,256.0
118,273.0
119,377.0
120,297.0
121,415.0
122,171.0
123,334.0
124,272.0
125,500.0
126,170.0
127,335.0
128,185.0
129,194.0
130,128.0
131,129.0
132,10.0
133,20.0
134,60.0
135,8.0
136,171.0
137,152.0
138,188.0
139,345.0
140,165.0
141,147.0
142,289.0
143,335.0
144,198.0
145,289.0
146,198.0
147,384.0
148,132.0
149,92.0
150,138.0
151,224.0
152,150.0
153,36.0
154,11.0
155,11.0
156,53.0
157,11.0
158,17.0
159,17.0
160,138.0
161,236.0
162,262.0
163,356.0
164,217.0
165,275.0
166,249.0
167,248.0
168,216.0
169,177.0
170,170.0
171,327.0
172,300.0
173,222.0
174,202.0
175,238.0
176,191.0
177,177.0
178,246.0
179,298.0
180,500.0
181,500.0
182,253.0
183,239.0
184,169.0
185,184.0
186,248.0
187,40.0
188,98.0
189,151.0
190,150.0
191,35.0
192,140.0
193,127.0
194,471.0
195,103.0
196,172.0
197,154.0
198,128.0
199,329.0
200,131.0
201,126.0
202,105.0
203,123.0
204,354.0
205,227.0
206,292.0
207,205.0
208,125.0
209,137.0
210,227.0
211,139.0
212,230.0
213,127.0
214,36.0
215,326.0
216,131.0
217,241.0
218,163.0
219,145.0
220,37.0
221,116.0
222,140.0
223,177.0
224,232.0
225,135.0
226,267.0
227,202.0
228,112.0
229,136.0
230,192.0
231,112.0
232,336.0
233,135.0
234,151.0
235,277.0
236,148.0
237,163.0
238,196.0
239,158.0
240,153.0
241,163.0
242,293.0
243,366.0
244,351.0
245,180.0
246,182.0
247,184.0
248,317.0
249,164.0
250,245.0
251,234.0
252,248.0
253,372.0
254,167.0
255,177.0
256,152.0
257,49.0
258,82.0
259,157.0
260,216.0
261,251.0
262,57.0
263,179.0
264,166.0
265,237.0
266,374.0
267,140.0
268,183.0
269,120.0
270,163.0
271,136.0
272,258.0
273,132.0
274,158.0
275,174.0
276,152.0
277,164.0
278,122.0
279,104.0
280,100.0
281,136.0
282,278.0
283,115.0
284,142.0
285,315.0
286,203.0
287,14.0
288,121.0
289,230.0
290,143.0
291,220.0
292,104.0
293,276.0
294,42.0
295,97.0
296,99.0
297,130.0
298,137.0
299,160.0
