episodes,rewards
0,14.0
1,24.0
2,14.0
3,28.0
4,10.0
5,18.0
6,13.0
7,34.0
8,17.0
9,19.0
10,76.0
11,30.0
12,11.0
13,14.0
14,20.0
15,74.0
16,88.0
17,102.0
18,209.0
19,186.0
20,91.0
21,111.0
22,205.0
23,142.0
24,131.0
25,98.0
26,119.0
27,107.0
28,142.0
29,108.0
30,86.0
31,185.0
32,146.0
33,193.0
34,167.0
35,232.0
36,187.0
37,121.0
38,129.0
39,149.0
40,143.0
41,163.0
42,122.0
43,152.0
44,153.0
45,113.0
46,188.0
47,149.0
48,263.0
49,154.0
50,211.0
51,138.0
52,165.0
53,130.0
54,152.0
55,116.0
56,123.0
57,136.0
58,171.0
59,155.0
60,128.0
61,190.0
62,145.0
63,148.0
64,220.0
65,135.0
66,122.0
67,147.0
68,205.0
69,150.0
70,210.0
71,176.0
72,140.0
73,223.0
74,156.0
75,193.0
76,187.0
77,143.0
78,185.0
79,157.0
80,122.0
81,243.0
82,156.0
83,206.0
84,149.0
85,425.0
86,193.0
87,147.0
88,186.0
89,169.0
90,147.0
91,241.0
92,158.0
93,159.0
94,244.0
95,254.0
96,168.0
97,202.0
98,171.0
99,259.0
100,347.0
101,167.0
102,189.0
103,294.0
104,238.0
105,195.0
106,181.0
107,247.0
108,252.0
109,262.0
110,267.0
111,158.0
112,170.0
113,116.0
114,369.0
115,211.0
116,186.0
117,225.0
118,196.0
119,273.0
120,281.0
121,286.0
122,219.0
123,153.0
124,185.0
125,178.0
126,162.0
127,142.0
128,168.0
129,86.0
130,92.0
131,241.0
132,321.0
133,279.0
134,234.0
135,329.0
136,247.0
137,397.0
138,302.0
139,294.0
140,241.0
141,288.0
142,375.0
143,210.0
144,211.0
145,285.0
146,306.0
147,195.0
148,318.0
149,463.0
150,280.0
151,120.0
152,119.0
153,128.0
154,148.0
155,116.0
156,11.0
157,105.0
158,202.0
159,177.0
160,176.0
161,188.0
162,172.0
163,166.0
164,175.0
165,193.0
166,221.0
167,223.0
168,205.0
169,202.0
170,187.0
171,208.0
172,236.0
173,226.0
174,237.0
175,207.0
176,236.0
177,345.0
178,224.0
179,296.0
180,381.0
181,281.0
182,227.0
183,221.0
184,210.0
185,206.0
186,192.0
187,237.0
188,191.0
189,216.0
190,228.0
191,458.0
192,237.0
193,254.0
194,224.0
195,197.0
196,171.0
197,155.0
198,190.0
199,165.0
200,169.0
201,174.0
202,183.0
203,181.0
204,182.0
205,210.0
206,191.0
207,198.0
208,178.0
209,190.0
210,218.0
211,193.0
212,208.0
213,170.0
214,181.0
215,160.0
216,183.0
217,187.0
218,202.0
219,191.0
220,210.0
221,159.0
222,168.0
223,180.0
224,168.0
225,191.0
226,203.0
227,194.0
228,166.0
229,171.0
230,165.0
231,269.0
232,249.0
233,200.0
234,210.0
235,43.0
236,19.0
237,186.0
238,38.0
239,104.0
240,87.0
241,81.0
242,93.0
243,100.0
244,100.0
245,118.0
246,104.0
247,134.0
248,135.0
249,116.0
250,180.0
251,150.0
252,138.0
253,168.0
254,147.0
255,148.0
256,178.0
257,155.0
258,160.0
259,158.0
260,151.0
261,369.0
262,237.0
263,500.0
264,224.0
265,169.0
266,171.0
267,154.0
268,155.0
269,167.0
270,335.0
271,193.0
272,141.0
273,198.0
274,201.0
275,179.0
276,214.0
277,186.0
278,179.0
279,191.0
280,174.0
281,197.0
282,157.0
283,183.0
284,158.0
285,161.0
286,187.0
287,186.0
288,197.0
289,175.0
290,217.0
291,185.0
292,176.0
293,186.0
294,196.0
295,183.0
296,335.0
297,316.0
298,329.0
299,229.0
