episodes,rewards
0,14.0
1,16.0
2,17.0
3,34.0
4,31.0
5,13.0
6,13.0
7,19.0
8,14.0
9,49.0
10,35.0
11,22.0
12,20.0
13,18.0
14,25.0
15,9.0
16,32.0
17,56.0
18,17.0
19,73.0
20,34.0
21,27.0
22,91.0
23,14.0
24,111.0
25,124.0
26,21.0
27,95.0
28,192.0
29,277.0
30,173.0
31,331.0
32,275.0
33,419.0
34,188.0
35,354.0
36,315.0
37,310.0
38,416.0
39,306.0
40,318.0
41,240.0
42,342.0
43,233.0
44,193.0
45,246.0
46,246.0
47,204.0
48,186.0
49,288.0
50,239.0
51,285.0
52,309.0
53,181.0
54,183.0
55,204.0
56,266.0
57,217.0
58,195.0
59,211.0
60,242.0
61,195.0
62,285.0
63,177.0
64,256.0
65,372.0
66,346.0
67,223.0
68,210.0
69,183.0
70,196.0
71,500.0
72,294.0
73,200.0
74,429.0
75,289.0
76,273.0
77,244.0
78,229.0
79,214.0
80,198.0
81,187.0
82,249.0
83,162.0
84,193.0
85,199.0
86,196.0
87,210.0
88,168.0
89,47.0
90,202.0
91,191.0
92,133.0
93,231.0
94,177.0
95,18.0
96,14.0
97,237.0
98,160.0
99,158.0
100,128.0
101,147.0
102,164.0
103,160.0
104,132.0
105,133.0
106,176.0
107,169.0
108,165.0
109,160.0
110,157.0
111,146.0
112,185.0
113,181.0
114,183.0
115,175.0
116,158.0
117,162.0
118,144.0
119,194.0
120,203.0
121,133.0
122,190.0
123,191.0
124,235.0
125,289.0
126,392.0
127,500.0
128,189.0
129,222.0
130,231.0
131,380.0
132,196.0
133,216.0
134,230.0
135,284.0
136,218.0
137,343.0
138,243.0
139,227.0
140,332.0
141,76.0
142,71.0
143,67.0
144,194.0
145,177.0
146,234.0
147,181.0
148,152.0
149,104.0
150,145.0
151,123.0
152,151.0
153,202.0
154,114.0
155,198.0
156,111.0
157,144.0
158,124.0
159,158.0
160,148.0
161,121.0
162,100.0
163,134.0
164,154.0
165,161.0
166,143.0
167,136.0
168,152.0
169,165.0
170,119.0
171,113.0
172,152.0
173,157.0
174,153.0
175,147.0
176,150.0
177,104.0
178,156.0
179,135.0
180,149.0
181,149.0
182,155.0
183,165.0
184,146.0
185,168.0
186,138.0
187,163.0
188,151.0
189,152.0
190,166.0
191,172.0
192,172.0
193,153.0
194,155.0
195,160.0
196,195.0
197,165.0
198,252.0
199,150.0
200,144.0
201,157.0
202,166.0
203,151.0
204,144.0
205,151.0
206,143.0
207,154.0
208,132.0
209,147.0
210,164.0
211,154.0
212,150.0
213,169.0
214,166.0
215,76.0
216,140.0
217,19.0
218,12.0
219,14.0
220,212.0
221,122.0
222,117.0
223,125.0
224,163.0
225,126.0
226,103.0
227,133.0
228,134.0
229,124.0
230,104.0
231,101.0
232,122.0
233,105.0
234,106.0
235,134.0
236,125.0
237,138.0
238,129.0
239,125.0
240,161.0
241,141.0
242,143.0
243,162.0
244,155.0
245,193.0
246,156.0
247,155.0
248,157.0
249,220.0
250,158.0
251,162.0
252,190.0
253,192.0
254,172.0
255,152.0
256,152.0
257,184.0
258,175.0
259,147.0
260,169.0
261,185.0
262,144.0
263,172.0
264,149.0
265,157.0
266,178.0
267,179.0
268,188.0
269,173.0
270,168.0
271,158.0
272,167.0
273,142.0
274,148.0
275,136.0
276,146.0
277,168.0
278,148.0
279,138.0
280,148.0
281,155.0
282,159.0
283,138.0
284,156.0
285,135.0
286,159.0
287,148.0
288,146.0
289,168.0
290,164.0
291,173.0
292,157.0
293,168.0
294,169.0
295,158.0
296,158.0
297,163.0
298,345.0
299,209.0
