episodes,rewards
0,21.0
1,12.0
2,19.0
3,46.0
4,18.0
5,14.0
6,20.0
7,26.0
8,77.0
9,50.0
10,55.0
11,45.0
12,27.0
13,58.0
14,107.0
15,62.0
16,41.0
17,80.0
18,44.0
19,70.0
20,23.0
21,38.0
22,117.0
23,70.0
24,208.0
25,259.0
26,157.0
27,325.0
28,304.0
29,221.0
30,263.0
31,293.0
32,260.0
33,329.0
34,250.0
35,164.0
36,319.0
37,267.0
38,251.0
39,276.0
40,151.0
41,198.0
42,292.0
43,250.0
44,274.0
45,377.0
46,213.0
47,239.0
48,227.0
49,342.0
50,254.0
51,330.0
52,326.0
53,156.0
54,254.0
55,324.0
56,240.0
57,208.0
58,255.0
59,301.0
60,339.0
61,364.0
62,281.0
63,370.0
64,218.0
65,323.0
66,217.0
67,249.0
68,272.0
69,190.0
70,266.0
71,277.0
72,297.0
73,264.0
74,298.0
75,337.0
76,271.0
77,211.0
78,253.0
79,206.0
80,216.0
81,221.0
82,195.0
83,184.0
84,221.0
85,234.0
86,237.0
87,265.0
88,500.0
89,246.0
90,206.0
91,218.0
92,197.0
93,223.0
94,178.0
95,206.0
96,29.0
97,209.0
98,160.0
99,123.0
100,111.0
101,97.0
102,121.0
103,153.0
104,129.0
105,139.0
106,161.0
107,177.0
108,153.0
109,151.0
110,160.0
111,195.0
112,242.0
113,200.0
114,220.0
115,196.0
116,222.0
117,245.0
118,218.0
119,268.0
120,178.0
121,274.0
122,191.0
123,218.0
124,281.0
125,303.0
126,278.0
127,196.0
128,221.0
129,310.0
130,309.0
131,371.0
132,272.0
133,431.0
134,256.0
135,261.0
136,207.0
137,190.0
138,181.0
139,236.0
140,182.0
141,223.0
142,224.0
143,251.0
144,454.0
145,334.0
146,302.0
147,297.0
148,302.0
149,223.0
150,202.0
151,311.0
152,298.0
153,258.0
154,393.0
155,345.0
156,500.0
157,16.0
158,130.0
159,78.0
160,168.0
161,113.0
162,117.0
163,123.0
164,152.0
165,159.0
166,137.0
167,169.0
168,129.0
169,125.0
170,127.0
171,138.0
172,166.0
173,129.0
174,139.0
175,148.0
176,152.0
177,160.0
178,148.0
179,138.0
180,139.0
181,154.0
182,168.0
183,149.0
184,141.0
185,143.0
186,159.0
187,144.0
188,165.0
189,161.0
190,167.0
191,162.0
192,167.0
193,157.0
194,148.0
195,136.0
196,147.0
197,161.0
198,143.0
199,190.0
200,174.0
201,156.0
202,165.0
203,163.0
204,209.0
205,186.0
206,158.0
207,166.0
208,404.0
209,170.0
210,23.0
211,241.0
212,413.0
213,331.0
214,444.0
215,352.0
216,372.0
217,263.0
218,291.0
219,421.0
220,486.0
221,186.0
222,500.0
223,500.0
224,500.0
225,295.0
226,358.0
227,425.0
228,450.0
229,212.0
230,359.0
231,500.0
232,450.0
233,304.0
234,186.0
235,213.0
236,162.0
237,182.0
238,189.0
239,335.0
240,379.0
241,294.0
242,143.0
243,405.0
244,107.0
245,133.0
246,130.0
247,142.0
248,134.0
249,175.0
250,171.0
251,167.0
252,195.0
253,113.0
254,133.0
255,126.0
256,160.0
257,116.0
258,131.0
259,171.0
260,162.0
261,165.0
262,151.0
263,160.0
264,167.0
265,179.0
266,143.0
267,129.0
268,152.0
269,126.0
270,171.0
271,152.0
272,150.0
273,128.0
274,152.0
275,128.0
276,155.0
277,142.0
278,149.0
279,139.0
280,147.0
281,141.0
282,159.0
283,155.0
284,164.0
285,155.0
286,154.0
287,155.0
288,12.0
289,151.0
290,158.0
291,200.0
292,191.0
293,205.0
294,180.0
295,195.0
296,173.0
297,153.0
298,178.0
299,194.0
