episodes,rewards
0,19.0
1,17.0
2,20.0
3,15.0
4,14.0
5,11.0
6,20.0
7,12.0
8,20.0
9,18.0
10,43.0
11,61.0
12,34.0
13,13.0
14,21.0
15,48.0
16,29.0
17,34.0
18,31.0
19,14.0
20,114.0
21,93.0
22,34.0
23,48.0
24,40.0
25,96.0
26,137.0
27,157.0
28,193.0
29,157.0
30,130.0
31,250.0
32,130.0
33,153.0
34,170.0
35,153.0
36,170.0
37,159.0
38,192.0
39,193.0
40,138.0
41,156.0
42,162.0
43,184.0
44,165.0
45,203.0
46,167.0
47,144.0
48,161.0
49,171.0
50,185.0
51,203.0
52,185.0
53,183.0
54,146.0
55,173.0
56,176.0
57,294.0
58,177.0
59,147.0
60,167.0
61,181.0
62,171.0
63,178.0
64,167.0
65,242.0
66,209.0
67,270.0
68,197.0
69,367.0
70,258.0
71,205.0
72,265.0
73,233.0
74,227.0
75,198.0
76,229.0
77,197.0
78,278.0
79,194.0
80,309.0
81,315.0
82,264.0
83,281.0
84,258.0
85,250.0
86,215.0
87,305.0
88,146.0
89,83.0
90,192.0
91,176.0
92,128.0
93,171.0
94,10.0
95,175.0
96,107.0
97,148.0
98,128.0
99,157.0
100,151.0
101,161.0
102,184.0
103,214.0
104,183.0
105,211.0
106,184.0
107,190.0
108,206.0
109,223.0
110,260.0
111,218.0
112,224.0
113,255.0
114,228.0
115,275.0
116,283.0
117,255.0
118,233.0
119,228.0
120,202.0
121,293.0
122,201.0
123,197.0
124,274.0
125,212.0
126,469.0
127,202.0
128,164.0
129,186.0
130,223.0
131,226.0
132,172.0
133,161.0
134,221.0
135,418.0
136,205.0
137,218.0
138,270.0
139,223.0
140,223.0
141,276.0
142,170.0
143,199.0
144,187.0
145,192.0
146,153.0
147,349.0
148,193.0
149,260.0
150,291.0
151,156.0
152,10.0
153,10.0
154,11.0
155,155.0
156,188.0
157,210.0
158,201.0
159,221.0
160,202.0
161,251.0
162,201.0
163,226.0
164,181.0
165,264.0
166,215.0
167,213.0
168,158.0
169,42.0
170,12.0
171,143.0
172,145.0
173,188.0
174,466.0
175,261.0
176,189.0
177,206.0
178,146.0
179,190.0
180,151.0
181,152.0
182,174.0
183,169.0
184,144.0
185,181.0
186,132.0
187,182.0
188,168.0
189,199.0
190,410.0
191,500.0
192,128.0
193,500.0
194,216.0
195,155.0
196,119.0
197,257.0
198,235.0
199,153.0
200,214.0
201,281.0
202,224.0
203,214.0
204,257.0
205,204.0
206,246.0
207,238.0
208,185.0
209,136.0
210,181.0
211,153.0
212,405.0
213,252.0
214,197.0
215,183.0
216,127.0
217,164.0
218,121.0
219,126.0
220,108.0
221,153.0
222,118.0
223,129.0
224,111.0
225,111.0
226,21.0
227,168.0
228,111.0
229,178.0
230,159.0
231,163.0
232,227.0
233,175.0
234,198.0
235,376.0
236,214.0
237,222.0
238,312.0
239,257.0
240,226.0
241,221.0
242,226.0
243,232.0
244,284.0
245,181.0
246,121.0
247,428.0
248,328.0
249,450.0
250,269.0
251,475.0
252,371.0
253,132.0
254,198.0
255,172.0
256,167.0
257,102.0
258,311.0
259,500.0
260,270.0
261,26.0
262,20.0
263,211.0
264,138.0
265,145.0
266,126.0
267,133.0
268,109.0
269,144.0
270,178.0
271,185.0
272,156.0
273,196.0
274,176.0
275,191.0
276,162.0
277,195.0
278,201.0
279,232.0
280,185.0
281,172.0
282,184.0
283,219.0
284,186.0
285,179.0
286,255.0
287,247.0
288,188.0
289,174.0
290,223.0
291,207.0
292,374.0
293,197.0
294,199.0
295,308.0
296,198.0
297,450.0
298,267.0
299,225.0
