episodes,rewards
0,36.0
1,10.0
2,17.0
3,27.0
4,48.0
5,16.0
6,32.0
7,13.0
8,12.0
9,11.0
10,20.0
11,11.0
12,67.0
13,30.0
14,15.0
15,35.0
16,27.0
17,16.0
18,41.0
19,73.0
20,26.0
21,26.0
22,13.0
23,11.0
24,28.0
25,13.0
26,80.0
27,231.0
28,60.0
29,187.0
30,168.0
31,82.0
32,229.0
33,500.0
34,500.0
35,237.0
36,366.0
37,296.0
38,160.0
39,215.0
40,307.0
41,161.0
42,429.0
43,276.0
44,104.0
45,178.0
46,466.0
47,231.0
48,219.0
49,434.0
50,174.0
51,101.0
52,120.0
53,130.0
54,431.0
55,187.0
56,290.0
57,235.0
58,420.0
59,487.0
60,130.0
61,97.0
62,137.0
63,110.0
64,63.0
65,131.0
66,71.0
67,116.0
68,218.0
69,36.0
70,97.0
71,114.0
72,229.0
73,66.0
74,68.0
75,61.0
76,124.0
77,103.0
78,25.0
79,60.0
80,70.0
81,86.0
82,53.0
83,74.0
84,27.0
85,59.0
86,117.0
87,58.0
88,62.0
89,56.0
90,23.0
91,25.0
92,29.0
93,58.0
94,17.0
95,49.0
96,59.0
97,48.0
98,94.0
99,35.0
100,14.0
101,34.0
102,35.0
103,9.0
104,9.0
105,20.0
106,17.0
107,24.0
108,29.0
109,41.0
110,69.0
111,31.0
112,74.0
113,29.0
114,57.0
115,24.0
116,98.0
117,64.0
118,48.0
119,65.0
120,56.0
121,100.0
122,115.0
123,56.0
124,32.0
125,63.0
126,62.0
127,122.0
128,84.0
129,12.0
130,96.0
131,66.0
132,82.0
133,87.0
134,68.0
135,99.0
136,23.0
137,77.0
138,70.0
139,47.0
140,75.0
141,89.0
142,32.0
143,56.0
144,72.0
145,74.0
146,101.0
147,51.0
148,211.0
149,22.0
150,43.0
151,19.0
152,33.0
153,70.0
154,76.0
155,59.0
156,131.0
157,83.0
158,112.0
159,15.0
160,151.0
161,91.0
162,92.0
163,34.0
164,65.0
165,70.0
166,94.0
167,73.0
168,66.0
169,75.0
170,54.0
171,64.0
172,74.0
173,67.0
174,68.0
175,87.0
176,61.0
177,16.0
178,62.0
179,65.0
180,36.0
181,19.0
182,64.0
183,63.0
184,89.0
185,77.0
186,14.0
187,33.0
188,66.0
189,67.0
190,66.0
191,57.0
192,45.0
193,92.0
194,64.0
195,82.0
196,90.0
197,103.0
198,81.0
199,64.0
200,82.0
201,56.0
202,54.0
203,56.0
204,73.0
205,60.0
206,69.0
207,75.0
208,18.0
209,76.0
210,83.0
211,22.0
212,54.0
213,95.0
214,64.0
215,62.0
216,33.0
217,63.0
218,54.0
219,106.0
220,62.0
221,149.0
222,26.0
223,56.0
224,65.0
225,77.0
226,48.0
227,63.0
228,70.0
229,100.0
230,63.0
231,87.0
232,57.0
233,49.0
234,70.0
235,67.0
236,80.0
237,68.0
238,119.0
239,61.0
240,73.0
241,59.0
242,145.0
243,68.0
244,51.0
245,53.0
246,35.0
247,63.0
248,68.0
249,91.0
250,29.0
251,81.0
252,32.0
253,71.0
254,59.0
255,99.0
256,65.0
257,70.0
258,12.0
259,79.0
260,85.0
261,90.0
262,67.0
263,98.0
264,65.0
265,57.0
266,13.0
267,61.0
268,63.0
269,67.0
270,15.0
271,44.0
272,53.0
273,24.0
274,78.0
275,72.0
276,77.0
277,12.0
278,81.0
279,22.0
280,29.0
281,79.0
282,87.0
283,82.0
284,48.0
285,71.0
286,48.0
287,19.0
288,25.0
289,53.0
290,37.0
291,35.0
292,56.0
293,69.0
294,16.0
295,72.0
296,21.0
297,14.0
298,12.0
299,78.0
