episodes,rewards
0,39.0
1,37.0
2,18.0
3,15.0
4,65.0
5,14.0
6,11.0
7,16.0
8,19.0
9,44.0
10,8.0
11,37.0
12,45.0
13,16.0
14,20.0
15,19.0
16,52.0
17,19.0
18,30.0
19,11.0
20,41.0
21,39.0
22,71.0
23,26.0
24,24.0
25,39.0
26,28.0
27,16.0
28,60.0
29,17.0
30,15.0
31,20.0
32,12.0
33,31.0
34,15.0
35,29.0
36,46.0
37,33.0
38,22.0
39,34.0
40,53.0
41,62.0
42,35.0
43,92.0
44,54.0
45,108.0
46,15.0
47,19.0
48,91.0
49,58.0
50,100.0
51,74.0
52,113.0
53,70.0
54,47.0
55,72.0
56,40.0
57,57.0
58,76.0
59,117.0
60,122.0
61,95.0
62,76.0
63,94.0
64,85.0
65,72.0
66,87.0
67,76.0
68,113.0
69,157.0
70,138.0
71,91.0
72,77.0
73,64.0
74,130.0
75,106.0
76,125.0
77,112.0
78,98.0
79,112.0
80,116.0
81,88.0
82,92.0
83,121.0
84,124.0
85,94.0
86,73.0
87,121.0
88,129.0
89,113.0
90,169.0
91,172.0
92,134.0
93,167.0
94,137.0
95,130.0
96,101.0
97,141.0
98,88.0
99,100.0
100,123.0
101,197.0
102,214.0
103,96.0
104,134.0
105,111.0
106,160.0
107,102.0
108,121.0
109,130.0
110,113.0
111,170.0
112,105.0
113,138.0
114,182.0
115,166.0
116,110.0
117,165.0
118,89.0
119,137.0
120,124.0
121,99.0
122,253.0
123,162.0
124,97.0
125,180.0
126,130.0
127,94.0
128,179.0
129,163.0
130,109.0
131,121.0
132,93.0
133,158.0
134,131.0
135,224.0
136,183.0
137,150.0
138,181.0
139,115.0
140,253.0
141,151.0
142,143.0
143,156.0
144,287.0
145,243.0
146,108.0
147,138.0
148,136.0
149,185.0
150,235.0
151,167.0
152,123.0
153,150.0
154,132.0
155,199.0
156,192.0
157,188.0
158,182.0
159,228.0
160,128.0
161,145.0
162,122.0
163,113.0
164,161.0
165,150.0
166,214.0
167,139.0
168,124.0
169,120.0
170,148.0
171,417.0
172,202.0
173,130.0
174,117.0
175,116.0
176,199.0
177,137.0
178,144.0
179,228.0
180,147.0
181,160.0
182,163.0
183,252.0
184,115.0
185,193.0
186,141.0
187,149.0
188,128.0
189,156.0
190,183.0
191,204.0
192,237.0
193,214.0
194,186.0
195,125.0
196,168.0
197,137.0
198,182.0
199,200.0
200,181.0
201,254.0
202,154.0
203,181.0
204,175.0
205,170.0
206,150.0
207,204.0
208,181.0
209,171.0
210,140.0
211,198.0
212,192.0
213,204.0
214,180.0
215,148.0
216,231.0
217,147.0
218,201.0
219,182.0
220,158.0
221,265.0
222,195.0
223,184.0
224,207.0
225,156.0
226,298.0
227,201.0
228,203.0
229,203.0
230,216.0
231,206.0
232,145.0
233,271.0
234,285.0
235,192.0
236,160.0
237,215.0
238,156.0
239,198.0
240,193.0
241,215.0
242,309.0
243,267.0
244,171.0
245,183.0
246,153.0
247,258.0
248,157.0
249,305.0
250,184.0
251,500.0
252,224.0
253,210.0
254,207.0
255,157.0
256,377.0
257,211.0
258,198.0
259,247.0
260,273.0
261,215.0
262,347.0
263,214.0
264,278.0
265,500.0
