episodes,rewards
0,19.0
1,17.0
2,46.0
3,10.0
4,20.0
5,25.0
6,13.0
7,57.0
8,19.0
9,22.0
10,39.0
11,13.0
12,78.0
13,32.0
14,31.0
15,47.0
16,38.0
17,40.0
18,82.0
19,44.0
20,69.0
21,22.0
22,144.0
23,101.0
24,58.0
25,76.0
26,96.0
27,187.0
28,47.0
29,175.0
30,177.0
31,174.0
32,214.0
33,165.0
34,266.0
35,195.0
36,207.0
37,215.0
38,306.0
39,285.0
40,198.0
41,218.0
42,241.0
43,185.0
44,275.0
45,238.0
46,220.0
47,285.0
48,248.0
49,240.0
50,237.0
51,290.0
52,257.0
53,314.0
54,252.0
55,265.0
56,296.0
57,272.0
58,278.0
59,255.0
60,266.0
61,275.0
62,282.0
63,262.0
64,234.0
65,239.0
66,245.0
67,303.0
68,288.0
69,244.0
70,260.0
71,319.0
72,257.0
73,297.0
74,187.0
75,350.0
76,297.0
77,329.0
78,441.0
79,433.0
80,57.0
81,366.0
82,500.0
83,500.0
84,454.0
85,416.0
86,202.0
87,187.0
88,142.0
89,169.0
90,131.0
91,126.0
92,211.0
93,138.0
94,171.0
95,169.0
96,368.0
97,137.0
98,236.0
99,189.0
100,174.0
101,246.0
102,500.0
103,178.0
104,321.0
105,500.0
106,324.0
107,48.0
108,317.0
109,296.0
110,500.0
111,277.0
112,217.0
113,280.0
114,373.0
115,211.0
116,411.0
117,108.0
118,303.0
119,387.0
120,500.0
121,462.0
122,83.0
123,318.0
124,357.0
125,500.0
126,434.0
127,276.0
128,393.0
129,349.0
130,500.0
131,399.0
132,428.0
133,500.0
134,500.0
135,395.0
136,356.0
137,318.0
138,372.0
139,56.0
140,350.0
141,312.0
142,333.0
143,320.0
144,321.0
145,453.0
146,368.0
147,387.0
148,392.0
149,312.0
150,389.0
151,400.0
152,378.0
153,338.0
154,335.0
155,397.0
156,470.0
157,14.0
158,377.0
159,423.0
160,500.0
161,499.0
162,500.0
163,198.0
164,500.0
165,109.0
166,230.0
167,234.0
168,135.0
169,15.0
170,18.0
171,147.0
172,131.0
173,154.0
174,202.0
175,500.0
176,271.0
177,324.0
178,239.0
179,249.0
180,150.0
181,279.0
182,162.0
183,269.0
184,217.0
185,245.0
186,246.0
187,298.0
188,237.0
189,295.0
190,264.0
191,347.0
192,308.0
193,285.0
194,297.0
195,331.0
196,257.0
197,351.0
198,309.0
199,368.0
200,415.0
201,280.0
202,267.0
203,328.0
204,276.0
205,271.0
206,304.0
207,273.0
208,307.0
209,308.0
210,359.0
211,338.0
212,290.0
213,309.0
214,317.0
215,288.0
216,352.0
217,272.0
218,434.0
219,256.0
220,412.0
221,233.0
222,246.0
223,295.0
224,500.0
225,263.0
226,376.0
227,317.0
228,295.0
229,211.0
230,269.0
231,210.0
232,500.0
233,391.0
234,345.0
235,500.0
236,367.0
237,240.0
238,358.0
239,194.0
240,126.0
241,213.0
242,201.0
243,335.0
244,224.0
245,115.0
246,208.0
247,269.0
248,136.0
249,210.0
250,188.0
251,169.0
252,294.0
253,233.0
254,247.0
255,145.0
256,134.0
257,136.0
258,500.0
259,168.0
260,173.0
261,210.0
262,167.0
263,278.0
264,249.0
265,499.0
266,500.0
267,402.0
268,488.0
269,343.0
270,243.0
271,189.0
272,500.0
273,449.0
274,465.0
275,500.0
276,195.0
277,500.0
278,500.0
279,500.0
280,286.0
281,317.0
282,500.0
283,500.0
284,500.0
285,418.0
286,500.0
287,500.0
288,500.0
289,175.0
290,500.0
291,295.0
292,500.0
293,333.0
294,319.0
295,450.0
296,500.0
297,207.0
298,234.0
299,500.0
