episodes,rewards
0,11.0
1,46.0
2,29.0
3,44.0
4,12.0
5,20.0
6,12.0
7,9.0
8,13.0
9,14.0
10,28.0
11,11.0
12,14.0
13,28.0
14,15.0
15,17.0
16,24.0
17,16.0
18,26.0
19,29.0
20,52.0
21,9.0
22,18.0
23,15.0
24,13.0
25,12.0
26,21.0
27,31.0
28,35.0
29,59.0
30,13.0
31,76.0
32,19.0
33,22.0
34,33.0
35,28.0
36,78.0
37,26.0
38,16.0
39,14.0
40,17.0
41,15.0
42,15.0
43,50.0
44,51.0
45,25.0
46,14.0
47,16.0
48,36.0
49,28.0
50,52.0
51,40.0
52,11.0
53,149.0
54,9.0
55,57.0
56,17.0
57,29.0
58,77.0
59,17.0
60,59.0
61,148.0
62,20.0
63,33.0
64,120.0
65,27.0
66,92.0
67,85.0
68,24.0
69,29.0
70,85.0
71,56.0
72,49.0
73,30.0
74,42.0
75,285.0
76,35.0
77,24.0
78,117.0
79,174.0
80,26.0
81,281.0
82,229.0
83,42.0
84,108.0
85,32.0
86,136.0
87,308.0
88,192.0
89,80.0
90,131.0
91,164.0
92,121.0
93,330.0
94,106.0
95,98.0
96,129.0
97,188.0
98,138.0
99,119.0
100,253.0
101,171.0
102,134.0
103,79.0
104,102.0
105,135.0
106,263.0
107,125.0
108,126.0
109,163.0
110,223.0
111,122.0
112,115.0
113,153.0
114,87.0
115,97.0
116,126.0
117,222.0
118,317.0
119,298.0
120,105.0
121,173.0
122,105.0
123,299.0
124,272.0
125,105.0
126,342.0
127,348.0
128,192.0
129,219.0
130,205.0
131,143.0
132,212.0
133,234.0
134,143.0
135,156.0
136,137.0
137,260.0
138,139.0
139,155.0
140,294.0
141,286.0
142,168.0
143,299.0
144,180.0
145,245.0
146,490.0
147,194.0
148,131.0
149,214.0
150,246.0
151,135.0
152,147.0
153,238.0
154,284.0
155,171.0
156,149.0
157,238.0
158,323.0
159,233.0
160,190.0
161,337.0
162,300.0
163,331.0
164,215.0
165,225.0
166,363.0
167,223.0
168,500.0
169,164.0
170,210.0
171,137.0
172,153.0
173,141.0
174,166.0
175,172.0
176,184.0
177,238.0
178,165.0
179,296.0
180,206.0
181,232.0
182,164.0
183,212.0
184,203.0
185,200.0
186,171.0
187,312.0
188,392.0
189,305.0
190,340.0
191,315.0
192,396.0
193,275.0
194,246.0
195,290.0
196,321.0
197,230.0
198,387.0
199,268.0
200,208.0
201,196.0
202,242.0
203,211.0
204,179.0
205,200.0
206,196.0
207,183.0
208,202.0
209,189.0
210,252.0
211,181.0
212,246.0
213,188.0
214,175.0
215,197.0
216,173.0
217,163.0
218,170.0
219,154.0
220,150.0
221,164.0
222,156.0
223,155.0
224,87.0
225,165.0
226,156.0
227,146.0
228,153.0
229,140.0
230,98.0
231,147.0
232,139.0
233,13.0
234,135.0
235,157.0
236,156.0
237,253.0
238,81.0
239,80.0
240,107.0
241,138.0
242,238.0
243,160.0
244,190.0
245,214.0
246,173.0
247,188.0
248,171.0
249,214.0
250,209.0
251,176.0
252,233.0
253,203.0
254,165.0
255,171.0
256,223.0
257,189.0
258,206.0
259,206.0
260,253.0
261,235.0
262,319.0
263,230.0
264,284.0
265,249.0
266,299.0
267,292.0
268,294.0
269,376.0
270,308.0
271,323.0
272,372.0
273,258.0
274,258.0
275,263.0
276,267.0
277,209.0
278,234.0
279,255.0
280,251.0
281,209.0
282,241.0
283,266.0
284,227.0
285,262.0
286,225.0
287,218.0
288,247.0
289,261.0
290,303.0
291,264.0
292,249.0
293,248.0
294,271.0
295,236.0
296,315.0
297,219.0
298,299.0
299,251.0
