episodes,rewards
0,11
1,40
2,17
3,20
4,29
5,35
6,26
7,13
8,16
9,20
10,22
11,17
12,25
13,21
14,11
15,12
16,32
17,12
18,12
19,13
20,35
21,17
22,30
23,17
24,13
25,12
26,14
27,12
28,37
29,15
30,28
31,12
32,28
33,23
34,55
35,14
36,17
37,12
38,16
39,9
40,21
41,37
42,19
43,28
44,10
45,29
46,43
47,19
48,16
49,28
50,14
51,15
52,27
53,10
54,16
55,11
56,9
57,16
58,37
59,36
60,27
61,22
62,16
63,12
64,14
65,15
66,17
67,14
68,50
69,14
70,17
71,28
72,17
73,16
74,17
75,20
76,19
77,50
78,60
79,40
80,29
81,18
82,19
83,25
84,39
85,42
86,11
87,14
88,87
89,46
90,9
91,18
92,63
93,32
94,10
95,43
96,25
97,12
98,12
99,18
100,49
101,17
102,43
103,20
104,23
105,38
106,26
107,14
108,49
109,25
110,22
111,26
112,24
113,19
114,33
115,12
116,21
117,37
118,25
119,76
120,16
121,32
122,48
123,37
124,19
125,17
126,19
127,31
128,35
129,17
130,44
131,16
132,21
133,35
134,131
135,31
136,69
137,39
138,13
139,37
140,40
141,49
142,88
143,48
144,25
145,39
146,29
147,29
148,8
149,26
150,54
151,19
152,23
153,8
154,22
155,81
156,18
157,11
158,24
159,24
160,40
161,21
162,17
163,36
164,77
165,31
166,68
167,41
168,53
169,38
170,30
171,145
172,38
173,35
174,109
175,38
176,22
177,17
178,102
179,41
180,86
181,43
182,47
183,40
184,45
185,93
186,62
187,28
188,66
189,53
190,57
191,31
192,36
193,143
194,55
195,33
196,28
197,13
198,31
199,47
200,29
201,19
202,32
203,40
204,30
205,46
206,71
207,83
208,56
209,42
210,30
211,44
212,24
213,14
214,82
215,37
216,45
217,13
218,32
219,153
220,40
221,121
222,33
223,48
224,96
225,35
226,31
227,45
228,19
229,89
230,183
231,153
232,71
233,23
234,15
235,41
236,93
237,86
238,108
239,112
240,39
241,21
242,42
243,10
244,54
245,83
246,136
247,144
248,72
249,70
250,28
251,72
252,164
253,65
254,88
255,18
256,86
257,25
258,25
259,45
260,128
261,80
262,75
263,125
264,117
265,41
266,48
267,56
268,100
269,124
270,68
271,41
272,82
273,29
274,166
275,21
276,261
277,120
278,65
279,55
280,38
281,96
282,32
283,21
284,110
285,143
286,127
287,66
288,51
289,34
290,121
291,88
292,68
293,59
294,132
295,60
296,65
297,107
298,120
299,177
