episodes,rewards
0,-302.4027252210534
1,-616.8933075770508
2,-92.59111568418558
3,-281.84053766200736
4,-183.87506294770225
5,-437.4582502849365
6,-224.0242942815077
7,-193.94471510358164
8,-546.5478527119074
9,-388.489847607366
10,-108.95433458935258
11,-214.08156469605473
12,-357.9202672967891
13,-121.17070033198374
14,-313.3684704280687
15,-140.84876532434657
16,30.95643663656554
17,-326.0271955423631
18,-335.53386835248835
19,-182.78141627309662
20,-313.7244749657177
21,-147.56722046372062
22,-112.2790735725608
23,-117.51982182963464
24,-202.33038581851952
25,-150.81434467219123
26,-196.75199052513375
27,-356.89364836896664
28,-166.85693217822916
29,-222.60033020424777
30,-181.09210904101013
31,-276.00175685078125
32,-207.75064721569453
33,-274.08426606419243
34,-66.45542974258673
35,-155.8451837353797
36,-311.44769130316365
37,-333.80360251525974
38,-301.6247735309936
39,-375.6979112829318
40,-382.3468222918876
41,-6499.734311980266
42,-409.0637624518896
43,-483.9287396415486
44,-746.1607310156695
45,-372.1057185458138
46,-1311.302874359708
47,-672.6527872023019
48,-411.754632501479
49,-469.1156244778882
50,-724.1536866581985
51,-1113.8917374993025
52,-1127.5949062203845
53,-2959.957199168288
54,-523.0741373001322
55,-2124.3669921480964
56,-768.9870476690287
57,-1341.7444249659065
58,-999.3342388094595
59,-427.5013671511651
60,-491.9156411636466
61,-465.1600954453994
62,-610.2584308868584
63,-885.4601598458179
64,-611.9962031082223
65,-712.3759512399465
66,-834.113917787933
67,-558.6365580944885
68,-615.7825070309548
69,-671.2981215464972
70,-529.6306956442155
71,-1464.6457089904834
72,-788.3678576215752
73,-512.176508471281
74,-614.9974134744433
75,-770.1571702311678
76,-600.721091834037
77,-1089.2509523327685
78,-2666.86065043482
79,-787.5980310670643
80,-534.9728502525038
81,-991.2731364456929
82,-629.9540225474915
83,-670.7510312842402
84,-554.3403606743775
85,-593.8935559610468
86,-691.2899488859063
87,-462.7869892396004
88,-472.286001349952
89,-394.74747405019804
90,-1041.9080194734497
91,-508.2515704047994
92,-912.8756697570545
93,-1138.7501805132122
94,-554.9414067824052
95,-2130.826184313562
96,-448.10879519083863
97,-457.4482314007367
98,-800.6848683587751
99,-853.1250046580365
100,-866.5942676251258
101,-668.3793103584389
102,-590.3008925468539
103,-487.46881020203557
104,-725.7751031598491
105,-1821.728579432697
106,-526.5634367777727
107,-795.2747619999184
108,-426.29980261203053
109,-1829.0993588982803
110,-702.1400127640926
111,-2084.2710742805175
112,-591.5885732273777
113,-1034.1547588398575
114,-953.8584092257495
115,-517.0544271822112
116,-679.366062090048
117,-476.6806121242445
118,-820.9414865915203
119,-441.49108010488027
120,-534.9403867307217
121,-607.2621271341957
122,-468.81200362906515
123,-523.6386962274576
124,-62.58766529326844
125,-307.83085464207636
126,-219.95693157449
127,-300.7073445835771
128,-166.24395958808032
129,-40.05778582162853
130,-36.21079156241417
131,-63.551357148488165
132,-67.310597038358
133,-57.31702036861007
134,-261.79536252588707
135,-154.2592270125666
136,-125.44367321123488
137,-83.36526009043189
138,-77.4454448634225
139,-85.38414819964727
140,-99.67404317346136
141,-100.98518057980516
142,-125.9353650894185
143,-152.61450081559366
144,-104.51161089550516
145,-127.95212063009328
146,-135.27325149817645
147,-163.09751434448918
148,-119.12506305671886
149,-141.42206655845632
150,-91.54845069200076
151,-126.43978772289009
152,-143.04979585298287
153,-154.98536155188478
154,-113.65213435328378
155,-104.55016896291562
156,-91.09831785629508
157,-148.2759783148198
158,-166.15712470552643
159,-136.44012122322195
160,-137.93796591582282
161,-147.78994103531926
162,-193.40613849449235
163,-130.06667711844736
164,-111.65054039388784
165,-89.91995046829747
166,-88.47039094272121
167,-70.07440437486953
168,-147.0996569432788
169,-156.8766770140041
170,-112.5718875205211
171,-81.38129483305019
172,-141.71824683407937
173,-131.9720919131669
174,-75.81670498405154
175,-123.8978107858699
176,-38.86774197277802
177,5.179456661753832
178,-412.2837464630247
179,-215.83675840911613
180,-49.64256456209179
181,-216.5434678967418
182,-271.95431674045903
183,-184.91747883480247
184,-216.4584327378904
185,-337.9574076097906
186,-36.916767859420574
187,-154.23894319445867
188,3.5319965887977673
189,-355.6656504714174
190,-16.731629373236643
191,-187.8099184986721
192,-244.89286945817994
193,-393.7375221670018
194,-90.23492261987789
195,-444.4425656541952
196,-169.07090402578336
197,-31.736283111176945
198,-220.273933022086
199,-216.5615546258443
200,-12.610474392115634
201,-164.50352669523875
202,-133.10110381324657
203,-147.58328159553758
204,-22.13511810350667
205,-124.03689244671267
206,-258.8387966534733
207,-139.87593190843097
208,-82.80126536227401
209,-166.07899844156043
210,-123.17922775847484
211,-135.75744945967602
212,-92.96654290271867
213,-125.4212449219963
214,-139.90406623190322
215,-78.26196828638058
216,-243.8516054180135
217,12.36309015917783
218,-113.14968366135065
219,-54.119108856506855
220,-220.15178480491045
221,-238.05424055627162
222,-102.74506693165242
223,-208.99810664631033
224,-212.38896478651878
225,-123.41581100983547
226,-312.9534995437814
227,-149.68179297463817
228,-113.15821655814628
229,21.11389112884497
230,-190.27862422995526
231,-14.267334964295955
232,-115.70616895323461
233,-27.841017246428365
234,-14.810482377231224
235,-39.55782069636601
236,-107.08206981551442
237,-258.68540001988816
238,-439.5900003815292
239,-159.30685143057644
240,-143.14597089804883
241,-420.79177106656397
242,-192.82948902147808
243,-180.08406454202395
244,-200.97959084344558
245,-309.82009739571356
246,-263.1136860134308
247,-372.2869289326227
248,-243.2958618441477
249,-94.68695926020177
250,-228.85129735838436
251,-84.921360253934
252,-68.27070619335207
253,-117.173235217517
254,-78.54570287041008
255,-280.9030096249232
256,-192.11874071511875
257,-28.82206864504441
258,-7.322974646711472
259,-65.49891626436562
260,-91.4031905210272
261,-118.12362855960578
262,-58.830790742720495
263,-85.08964970986607
264,-144.91695508184762
265,-168.6406595397732
266,-87.27854682110313
267,-93.96777360057511
268,-224.97963481866014
269,-57.33059216956552
270,-84.68512161146862
271,-204.77244350944738
272,-230.56561237557003
273,-175.3226639543187
274,-298.28779811171273
275,-276.24272907054996
276,-219.50233482817316
277,-194.83226974496
278,15.447844099167241
279,-190.52754023069338
280,-153.21772425308336
281,-339.931978698343
282,-28.958158545822343
283,-284.43704776550607
284,2.159561940976701
285,-87.73021148223344
286,-139.72876751751687
287,-275.1848159215922
288,-177.9898887802991
289,-266.60854085975467
290,-358.19939932782955
291,-145.28884482303067
292,-136.5461836050793
293,-429.47224454981034
294,-241.13705250209063
295,-20.221036575277452
296,-436.7466151642375
297,-314.79109332901635
298,-451.87072478502284
299,-495.6199294207041
