episodes,rewards
0,-361.30371592469373
1,-267.3429071058164
2,-310.94314961149433
3,-42.39772400780278
4,-186.17208773985445
5,-138.815600169218
6,-24.073519430732276
7,-41.17417645968868
8,-211.638511460676
9,-58.974822749542135
10,-194.0140948530941
11,-3.2719119726150723
12,-71.99143693820261
13,-207.88568665150527
14,-35.776382244364335
15,-34.69804212255231
16,-112.1765527756097
17,-66.40546522426443
18,-205.77155094199068
19,-262.47221129581953
20,-214.25408897764774
21,-63.749031185116976
22,-79.44984075382287
23,-23.677901086972003
24,-45.80852108656633
25,-75.91548967266438
26,-65.85479018420465
27,-61.949584845303335
28,-63.651915731635555
29,-21.51258076899623
30,17.798886698100617
31,-131.8887858014503
32,-64.6119074392731
33,-348.2128966179873
34,-452.0904865789634
35,-2.8759224771424385
36,-85.28595091546028
37,-315.76067926995813
38,-19.825173448320967
39,-73.25638426484176
40,-123.5370838314588
41,-13.88248842635852
42,-80.43087615610449
43,-47.13636607019188
44,-113.78958175281171
45,-188.1406417029033
46,-158.5918940903029
47,-184.06798174931043
48,-57.18257557765338
49,-118.57324879228179
50,-85.89376930009311
51,-89.49563283519184
52,-116.61955615945108
53,-66.77612051427313
54,-64.70725901853709
55,-224.58735174875062
56,-154.43919920100618
57,-127.95236992714973
58,-47.04371996938938
59,-75.22043920688363
60,169.56184871317382
61,-325.1875520243482
62,-471.96830765224735
63,29.78695554577601
64,-283.79384659030615
65,-496.79620401649356
66,-199.04113633106908
67,-208.42981552737655
68,-152.51788954909495
69,-366.64818833669284
70,-430.2816917351678
71,-111.28802522885027
72,-148.87424095138468
73,-101.06686712084286
74,-166.8899468167509
75,-71.48500050118608
76,-100.81107839280142
77,-109.5649176459679
78,-4.19147308025831
79,-370.17523275272634
80,-34.63256014808127
81,-99.59361386163991
82,-222.13146864275816
83,-62.811887083293605
84,-94.62240028480252
85,-88.32918959852307
86,-75.85261441470556
87,-270.60422966811734
88,-373.8907347588172
89,-223.26015660944483
90,-264.96643005787155
91,-372.1359251580329
92,-34.39522158148203
93,-127.43336340912631
94,-78.1650682634628
95,-139.66716253279165
96,-83.17108340461114
97,-193.73091982816857
98,-56.4929621833205
99,-74.69815868306144
100,-14.381103141152632
101,-175.01269663412702
102,-152.20592242612668
103,-24.750659805741165
104,-150.40273901130584
105,-70.73356772754657
106,-129.70680191335322
107,-125.88716633065255
108,-110.04888021844675
109,-117.22659555962444
110,-65.2651582837205
111,-704.87179955785
112,-180.893647614393
113,-144.24270562809494
114,-129.78372858207808
115,-142.52587961561275
116,-249.84751427283743
117,-73.76403823033752
118,5.421150323237569
119,-41.73562447834056
120,-122.3183718144347
121,-89.90885680510688
122,-178.0740111458593
123,-133.47669388555428
124,-289.1937710498672
125,-226.91927845177727
126,-237.37699501461648
127,-473.3552242207161
128,-115.19561315579769
129,-82.66751392616392
130,-76.57530165912442
131,-101.01983387539109
132,-37.35620915835672
133,-121.07771756106595
134,-113.88309855087216
135,-21.222312930611395
136,20.447240856322736
137,-75.59862618788733
138,-67.888591407109
139,-552.4907271193246
140,-429.17266499868936
141,-37.555807059411684
142,-244.92661998425362
143,-95.55751285875554
144,-57.30130677926938
145,-62.61152386024155
146,-93.56959835198543
147,-124.44300349346622
148,-104.80369366536308
149,-93.7988562950787
150,-87.35673817259412
151,-42.525842998948136
152,-41.53198709212104
153,29.817480666378174
154,-131.71049184540243
155,-120.5195283964973
156,-77.03691552456574
157,-281.12370553168716
158,-101.29322989716333
159,-118.13287366781981
160,-183.11405264803108
161,-371.88307257488833
162,-80.30372476820604
163,-91.75750198365559
164,-146.30368124393868
165,-470.3638818792291
166,0.30532401704934387
167,-26.56382205567546
168,-144.3612642410649
169,-170.43155937928785
170,-205.86844171075865
171,-296.0865865918274
172,-151.93300368082149
173,-122.7007392714722
174,-98.96882798826238
175,-80.90091028531407
176,-469.5655994947232
177,-349.4203313007653
178,-534.4989130209035
179,-494.82052291706003
180,-158.82049209617077
181,-87.13403741666187
182,-70.40695857430993
183,-252.77163090917162
184,-37.18134249846721
185,-270.4720733532974
186,-394.6985114969846
187,-328.11164108342604
188,-297.372532981092
189,-126.87713792362182
190,-67.47177736246283
191,-266.8609107010028
192,-145.14602258982052
193,-151.1537761144148
194,-34.44442337810044
195,-145.69163843051192
