episodes,rewards
0,20
1,12
2,12
3,10
4,22
5,10
6,34
7,10
8,9
9,9
10,11
11,12
12,15
13,11
14,11
15,8
16,11
17,20
18,11
19,9
20,9
21,11
22,8
23,11
24,16
25,14
26,10
27,17
28,27
29,22
30,15
31,18
32,30
33,14
34,13
35,37
36,13
37,25
38,22
39,20
40,11
41,27
42,22
43,132
44,26
45,9
46,17
47,98
48,52
49,41
50,110
51,48
52,13
53,16
54,29
55,30
56,24
57,71
58,90
59,32
60,152
61,65
62,42
63,45
64,29
65,14
66,60
67,35
68,56
69,75
70,72
71,103
72,152
73,91
74,40
75,37
76,25
77,45
78,96
79,129
80,232
81,149
82,15
83,68
84,114
85,159
86,81
87,146
88,329
89,144
90,314
91,104
92,109
93,123
94,51
95,104
96,216
97,190
98,72
99,86
100,345
101,263
102,145
103,117
104,240
105,437
106,371
107,134
108,114
109,477
110,118
111,415
112,212
113,227
114,151
115,243
116,175
117,207
118,328
119,215
120,244
121,199
122,170
123,204
124,390
125,367
126,233
127,143
128,204
129,135
130,211
131,359
132,216
133,241
134,214
135,370
136,164
137,532
138,377
139,298
140,400
141,572
142,273
143,261
144,1029
145,795
146,371
147,496
148,565
149,205
150,346
151,419
152,291
153,371
154,193
155,270
156,642
157,165
158,507
159,372
160,399
161,107
162,216
163,341
164,207
165,242
166,113
167,418
168,256
169,577
170,458
171,283
172,953
173,211
174,320
175,316
176,169
177,371
178,379
179,361
180,326
181,348
182,193
183,439
184,763
185,377
186,152
187,338
188,683
189,255
190,185
191,200
192,186
193,123
194,136
195,137
196,127
197,139
198,117
199,95
200,105
201,131
202,107
203,137
204,106
205,73
206,117
207,172
208,190
209,188
210,219
211,162
212,227
213,383
214,306
215,309
216,426
217,507
218,529
219,295
220,620
221,691
222,152
223,446
224,759
225,507
226,287
227,249
228,392
229,383
230,500
231,369
232,246
233,286
234,234
235,210
236,240
237,232
238,229
239,229
240,204
241,258
242,168
243,163
244,138
245,68
246,232
247,220
248,282
249,635
250,407
251,806
252,385
253,2675
254,653
255,163
256,1163
257,1201
258,976
259,278
260,486
261,589
262,417
263,643
264,407
265,805
266,477
267,1153
268,592
269,585
270,279
271,849
272,398
273,337
274,235
275,280
276,160
277,130
278,133
279,127
280,113
281,85
282,104
283,72
284,112
285,118
286,134
287,144
288,132
289,124
290,122
291,121
292,148
293,163
294,146
295,152
296,179
297,154
298,184
299,208
