episodes,rewards
0,18
1,26
2,19
3,28
4,15
5,21
6,27
7,57
8,16
9,16
10,11
11,20
12,47
13,18
14,24
15,16
16,30
17,20
18,27
19,66
20,12
21,21
22,25
23,14
24,17
25,46
26,29
27,59
28,55
29,18
30,38
31,13
32,14
33,18
34,13
35,15
36,17
37,32
38,17
39,21
40,15
41,24
42,17
43,14
44,45
45,14
46,15
47,42
48,20
49,13
50,23
51,17
52,20
53,19
54,48
55,16
56,28
57,19
58,11
59,15
60,36
61,12
62,47
63,60
64,44
65,16
66,25
67,18
68,16
69,45
70,31
71,20
72,60
73,22
74,43
75,35
76,21
77,51
78,15
79,137
80,12
81,15
82,41
83,121
84,37
85,24
86,25
87,60
88,21
89,28
90,20
91,13
92,9
93,25
94,10
95,16
96,27
97,10
98,11
99,28
100,16
101,13
102,15
103,29
104,40
105,43
106,86
107,17
108,46
109,82
110,12
111,21
112,22
113,35
114,49
115,22
116,100
117,17
118,36
119,10
120,37
121,21
122,25
123,28
124,20
125,33
126,26
127,34
128,13
129,27
130,28
131,31
132,21
133,80
134,21
135,46
136,14
137,27
138,21
139,80
140,23
141,23
142,27
143,26
144,18
145,51
146,35
147,57
148,9
149,21
150,19
151,16
152,13
153,25
154,24
155,15
156,84
157,26
158,26
159,15
160,27
161,36
162,17
163,61
164,41
165,66
166,32
167,41
168,66
169,31
170,14
171,158
172,27
173,64
174,32
175,77
176,29
177,18
178,51
179,19
180,11
181,100
182,23
183,14
184,15
185,66
186,38
187,32
188,19
189,39
190,18
191,16
192,25
193,15
194,50
195,18
196,56
197,29
198,24
199,18
200,22
201,24
202,58
203,39
204,113
205,47
206,12
207,14
208,36
209,21
210,28
211,80
212,27
213,32
214,66
215,51
216,31
217,37
218,26
219,25
220,30
221,54
222,34
223,49
224,28
225,30
226,20
227,60
228,31
229,66
230,32
231,83
232,56
233,31
234,30
235,59
236,25
237,40
238,40
239,24
240,47
241,36
242,21
243,36
244,59
245,37
246,40
247,31
248,49
249,17
250,39
251,41
252,37
253,58
254,39
255,19
256,28
257,31
258,55
259,39
260,29
261,42
262,15
263,37
264,86
265,99
266,16
267,35
268,79
269,52
270,78
271,47
272,31
273,57
274,35
275,90
276,34
277,45
278,29
279,23
280,64
281,48
282,77
283,96
284,70
285,31
286,107
287,100
288,20
289,21
290,37
291,71
292,64
293,24
294,135
295,65
296,25
297,85
298,76
299,34
