episodes,rewards
0,18.0
1,33.0
2,29.0
3,14.0
4,19.0
5,18.0
6,15.0
7,18.0
8,16.0
9,11.0
10,14.0
11,17.0
12,12.0
13,12.0
14,11.0
15,18.0
16,20.0
17,21.0
18,19.0
19,13.0
20,11.0
21,36.0
22,23.0
23,13.0
24,35.0
25,16.0
26,16.0
27,22.0
28,25.0
29,36.0
30,62.0
31,13.0
32,21.0
33,13.0
34,11.0
35,15.0
36,19.0
37,18.0
38,16.0
39,13.0
40,23.0
41,32.0
42,32.0
43,33.0
44,24.0
45,12.0
46,11.0
47,26.0
48,19.0
49,23.0
50,15.0
51,51.0
52,33.0
53,13.0
54,28.0
55,28.0
56,46.0
57,11.0
58,31.0
59,15.0
60,46.0
61,40.0
62,31.0
63,27.0
64,15.0
65,14.0
66,41.0
67,31.0
68,52.0
69,17.0
70,29.0
71,35.0
72,40.0
73,55.0
74,33.0
75,11.0
76,18.0
77,11.0
78,23.0
79,45.0
80,15.0
81,16.0
82,27.0
83,35.0
84,34.0
85,44.0
86,26.0
87,12.0
88,22.0
89,44.0
90,13.0
91,20.0
92,17.0
93,35.0
94,34.0
95,18.0
96,12.0
97,12.0
98,30.0
99,16.0
100,12.0
101,41.0
102,17.0
103,32.0
104,62.0
105,16.0
106,28.0
107,31.0
108,28.0
109,30.0
110,31.0
111,17.0
112,31.0
113,25.0
114,16.0
115,30.0
116,41.0
117,12.0
118,27.0
119,29.0
120,41.0
121,32.0
122,28.0
123,34.0
124,36.0
125,43.0
126,33.0
127,17.0
128,37.0
129,45.0
130,17.0
131,27.0
132,11.0
133,27.0
134,21.0
135,42.0
136,13.0
137,44.0
138,16.0
139,30.0
140,20.0
141,52.0
142,32.0
143,26.0
144,16.0
145,30.0
146,23.0
147,38.0
148,25.0
149,40.0
150,27.0
151,40.0
152,21.0
153,51.0
154,13.0
155,14.0
156,13.0
157,30.0
158,28.0
159,29.0
160,13.0
161,26.0
162,15.0
163,15.0
164,47.0
165,28.0
166,26.0
167,32.0
168,22.0
169,17.0
170,41.0
171,22.0
172,17.0
173,13.0
174,16.0
175,11.0
176,14.0
177,22.0
178,16.0
179,12.0
180,22.0
181,31.0
182,46.0
183,15.0
184,13.0
185,15.0
186,12.0
187,64.0
188,38.0
189,60.0
190,33.0
191,21.0
192,20.0
193,17.0
194,34.0
195,31.0
196,24.0
197,18.0
198,40.0
199,20.0
200,15.0
201,24.0
202,28.0
203,23.0
204,15.0
205,23.0
206,52.0
207,28.0
208,55.0
209,50.0
210,21.0
211,25.0
212,36.0
213,25.0
214,15.0
215,32.0
216,18.0
217,48.0
218,14.0
219,12.0
220,22.0
221,46.0
222,18.0
223,11.0
224,33.0
225,29.0
226,26.0
227,39.0
228,14.0
229,34.0
230,18.0
231,36.0
232,46.0
233,19.0
234,27.0
235,33.0
236,17.0
237,22.0
238,43.0
239,13.0
240,36.0
241,29.0
242,26.0
243,18.0
244,16.0
245,31.0
246,43.0
247,17.0
248,45.0
249,14.0
250,17.0
251,31.0
252,22.0
253,49.0
254,23.0
255,21.0
256,25.0
257,33.0
258,28.0
259,33.0
260,34.0
261,35.0
262,41.0
263,12.0
264,14.0
265,16.0
266,22.0
267,16.0
268,18.0
269,13.0
270,68.0
271,32.0
272,31.0
273,34.0
274,44.0
275,16.0
276,40.0
277,10.0
278,15.0
279,30.0
280,10.0
281,21.0
282,27.0
283,14.0
284,21.0
285,26.0
286,74.0
287,15.0
288,18.0
289,33.0
290,21.0
291,31.0
292,27.0
293,32.0
294,14.0
295,32.0
296,25.0
297,28.0
298,47.0
299,13.0
