episodes,rewards
0,-89.94870349241549
1,-517.6169491172019
2,-525.9608736466903
3,-533.5918731014347
4,-814.6369115256233
5,-554.1870452575283
6,-1018.7519251879619
7,-528.2418113469879
8,-721.6609364315821
9,-459.59435274827354
10,-638.8249758552378
11,-722.0092836153547
12,-698.736790179584
13,-712.610252219424
14,-700.2128741937435
15,-316.4894587149686
16,-508.78435207045806
17,-492.75525812119264
18,-630.7490550812547
19,-563.9801121529329
20,-506.00317128827254
21,-690.4994818489101
22,-515.0819220655476
23,-517.6173071320875
24,-655.7584452731794
25,-730.572192511008
26,-329.0290588694891
27,-495.16091045745395
28,-655.5122875220183
29,-354.63531955766086
30,-343.1335550702628
31,-636.6236734090405
32,-450.3128343518408
33,-930.7003242903912
34,-705.1573256080871
35,-457.0344273497946
36,-449.7203931264287
37,-422.3325987442727
38,-795.3814322491992
39,-394.41971542925575
40,-427.1088906924388
41,-835.8521008392219
42,-524.8936008450595
43,-1092.6570949526933
44,-749.8901723657303
45,-476.21068674795487
46,-448.54792326872996
47,-584.5132179123455
48,-570.7373568952514
49,-449.73262193965365
50,-886.2331668269335
51,-421.3123521536824
52,-521.0731465443295
53,-644.7099080968243
54,-536.6003502349906
55,-454.7760980370223
56,-407.65582861732213
57,-458.94900181796015
58,-545.40449435297
59,-661.7815196182979
60,-721.4112396622255
61,-332.9212828395357
62,-345.19271001251207
63,-1044.8008627122904
64,-517.292648548206
65,-614.930580404066
66,-964.0932261398746
67,-577.1040012238499
68,-469.34244146605215
69,-779.8754947718152
70,-576.2465647520191
71,-696.0985464199691
72,-776.1062440570091
73,-394.68681752746767
74,-1006.6392293721635
75,-350.88150531699216
76,-516.3460401830932
77,-489.55389818439266
78,-845.8077294942897
79,-724.637111031258
80,-638.3306888118905
81,-798.3578576479481
82,-876.3374475221783
83,-328.3822804011633
84,-571.7001316065456
85,-570.1594528069659
86,-683.7997573607308
87,-781.6342677601149
88,-434.595672443144
89,-864.8147948850193
90,-325.62997420314656
91,-574.8743402695679
92,-751.8932582526928
93,-472.51283881701215
94,-676.5136227591914
95,-402.4682044231276
96,-782.3772846128119
97,-575.9066666161751
98,-407.20581491443403
99,-480.6307096578862
100,-490.3920287711388
101,-499.2675308882474
102,-402.58154390382595
103,-536.1724326236977
104,-649.1673283930201
105,-420.0391977933476
106,-959.2374220478627
107,-576.969154344422
108,-887.4488047980816
109,-739.6137611320836
110,-423.78527206821065
111,-362.4354874120676
112,-506.55043456862734
113,-854.5549717298893
114,-416.4381532774167
115,-559.4973043766838
