episodes,rewards
0,18.0
1,10.0
2,22.0
3,14.0
4,17.0
5,19.0
6,16.0
7,13.0
8,19.0
9,19.0
10,34.0
11,12.0
12,26.0
13,34.0
14,17.0
15,26.0
16,30.0
17,11.0
18,30.0
19,11.0
20,15.0
21,17.0
22,24.0
23,59.0
24,28.0
25,16.0
26,24.0
27,20.0
28,16.0
29,23.0
30,28.0
31,50.0
32,44.0
33,15.0
34,29.0
35,111.0
36,88.0
37,115.0
38,20.0
39,107.0
40,123.0
41,142.0
42,134.0
43,164.0
44,143.0
45,158.0
46,148.0
47,254.0
48,159.0
49,149.0
50,166.0
51,175.0
52,148.0
53,133.0
54,164.0
55,161.0
56,157.0
57,168.0
58,155.0
59,138.0
60,147.0
61,125.0
62,146.0
63,221.0
64,162.0
65,135.0
66,155.0
67,169.0
68,152.0
69,152.0
70,130.0
71,144.0
72,134.0
73,238.0
74,144.0
75,163.0
76,183.0
77,142.0
78,247.0
79,166.0
80,189.0
81,195.0
82,423.0
83,150.0
84,158.0
85,163.0
86,159.0
87,189.0
88,159.0
89,196.0
90,202.0
91,195.0
92,235.0
93,182.0
94,306.0
95,258.0
96,334.0
97,218.0
98,217.0
99,228.0
100,164.0
101,228.0
102,333.0
103,161.0
104,182.0
105,137.0
106,81.0
107,42.0
108,9.0
109,38.0
110,94.0
111,64.0
112,16.0
113,10.0
114,145.0
115,253.0
116,223.0
117,150.0
118,174.0
119,185.0
120,181.0
121,186.0
122,206.0
123,174.0
124,179.0
125,221.0
126,179.0
127,196.0
128,184.0
129,155.0
130,188.0
131,208.0
132,180.0
133,161.0
134,244.0
135,150.0
136,152.0
137,173.0
138,197.0
139,233.0
140,174.0
141,185.0
142,234.0
143,171.0
144,194.0
145,191.0
146,204.0
147,247.0
148,223.0
149,188.0
150,153.0
151,213.0
152,246.0
153,245.0
154,241.0
155,346.0
156,331.0
157,203.0
158,206.0
159,260.0
160,203.0
161,368.0
162,277.0
163,264.0
164,286.0
165,276.0
166,296.0
167,217.0
168,354.0
169,281.0
170,500.0
171,500.0
172,347.0
173,351.0
174,316.0
175,317.0
176,315.0
177,264.0
178,500.0
179,223.0
180,233.0
181,413.0
182,380.0
183,279.0
184,251.0
185,500.0
186,304.0
187,264.0
188,309.0
189,320.0
190,483.0
191,500.0
192,319.0
193,275.0
194,260.0
195,230.0
196,288.0
197,282.0
198,242.0
199,409.0
200,269.0
201,312.0
202,298.0
203,337.0
204,361.0
205,500.0
206,500.0
207,500.0
208,423.0
209,360.0
210,355.0
211,305.0
212,287.0
213,276.0
214,276.0
215,393.0
216,418.0
217,213.0
218,276.0
219,226.0
220,9.0
221,9.0
222,226.0
223,380.0
224,243.0
225,386.0
226,467.0
227,428.0
228,328.0
229,233.0
230,500.0
231,346.0
232,407.0
233,339.0
234,406.0
235,438.0
236,434.0
237,500.0
238,407.0
239,500.0
240,365.0
241,390.0
242,500.0
243,500.0
244,500.0
245,500.0
246,500.0
247,500.0
248,459.0
249,399.0
250,253.0
251,394.0
252,382.0
253,171.0
254,281.0
255,238.0
256,196.0
257,335.0
258,418.0
259,491.0
260,468.0
261,68.0
262,251.0
263,158.0
264,338.0
265,144.0
266,339.0
267,192.0
268,251.0
269,500.0
270,427.0
271,312.0
272,178.0
273,172.0
274,489.0
275,466.0
276,337.0
277,396.0
278,327.0
279,322.0
280,390.0
281,356.0
282,364.0
283,321.0
284,354.0
285,370.0
286,413.0
287,425.0
288,472.0
289,451.0
290,452.0
291,500.0
292,15.0
293,15.0
294,17.0
295,8.0
296,9.0
297,28.0
298,60.0
299,89.0
