episodes,rewards
0,25.0
1,13.0
2,21.0
3,16.0
4,17.0
5,11.0
6,20.0
7,39.0
8,12.0
9,13.0
10,26.0
11,34.0
12,17.0
13,15.0
14,34.0
15,58.0
16,42.0
17,44.0
18,28.0
19,61.0
20,32.0
21,100.0
22,63.0
23,57.0
24,61.0
25,55.0
26,47.0
27,120.0
28,358.0
29,248.0
30,420.0
31,268.0
32,145.0
33,253.0
34,275.0
35,258.0
36,206.0
37,219.0
38,266.0
39,247.0
40,294.0
41,323.0
42,238.0
43,243.0
44,217.0
45,224.0
46,209.0
47,428.0
48,490.0
49,220.0
50,215.0
51,326.0
52,384.0
53,222.0
54,343.0
55,445.0
56,328.0
57,348.0
58,339.0
59,239.0
60,269.0
61,312.0
62,234.0
63,223.0
64,266.0
65,252.0
66,389.0
67,247.0
68,270.0
69,275.0
70,500.0
71,500.0
72,83.0
73,418.0
74,394.0
75,51.0
76,10.0
77,9.0
78,192.0
79,387.0
80,331.0
81,244.0
82,277.0
83,325.0
84,280.0
85,190.0
86,250.0
87,300.0
88,463.0
89,500.0
90,369.0
91,500.0
92,321.0
93,500.0
94,239.0
95,500.0
96,271.0
97,500.0
98,437.0
99,244.0
100,461.0
101,492.0
102,286.0
103,434.0
104,334.0
105,353.0
106,327.0
107,270.0
108,191.0
109,387.0
110,422.0
111,362.0
112,266.0
113,301.0
114,272.0
115,212.0
116,220.0
117,259.0
118,217.0
119,320.0
120,122.0
121,212.0
122,244.0
123,342.0
124,193.0
125,372.0
126,348.0
127,51.0
128,295.0
129,465.0
130,235.0
131,228.0
132,262.0
133,215.0
134,220.0
135,250.0
136,205.0
137,206.0
138,183.0
139,242.0
140,190.0
141,42.0
142,121.0
143,216.0
144,47.0
145,168.0
146,166.0
147,177.0
148,163.0
149,153.0
150,146.0
151,183.0
152,158.0
153,167.0
154,159.0
155,136.0
156,167.0
157,174.0
158,162.0
159,153.0
160,187.0
161,179.0
162,157.0
163,146.0
164,136.0
165,133.0
166,165.0
167,177.0
168,164.0
169,189.0
170,159.0
171,183.0
172,194.0
173,140.0
174,166.0
175,185.0
176,192.0
177,145.0
178,207.0
179,165.0
180,169.0
181,136.0
182,143.0
183,151.0
184,179.0
185,190.0
186,168.0
187,168.0
188,237.0
189,237.0
190,198.0
191,188.0
192,225.0
193,170.0
194,204.0
195,169.0
196,169.0
197,167.0
198,197.0
199,147.0
200,162.0
201,174.0
202,165.0
203,213.0
204,177.0
