episodes,rewards
0,-149.02989172996774
1,-70.95139469827986
2,-175.34562773142702
3,-377.0412541476271
4,-151.00285667849516
5,-187.95090722727574
6,-133.0517348211261
7,-75.221508788665
8,-246.46204579950307
9,1.8818453367945835
10,-74.82111906201888
11,-412.8419642134621
12,-32.72221393511977
13,-22.307933244906835
14,-130.24009983406367
15,-111.46528165837235
16,-205.48205919089452
17,-173.0857065130053
18,-69.26542570602288
19,22.851019310227343
20,-195.02323072027184
21,-45.69912880578502
22,-104.47210339240378
23,-131.19018124350757
24,-290.7210252221097
25,-186.99363867033136
26,-66.38977606603787
27,-43.748987681177866
28,-61.72813749974699
29,-71.4882712846794
30,-52.00036736531165
31,-251.24322078663405
32,-35.05280955206308
33,-175.2490755118458
34,-104.26979799446491
35,-216.03347670150652
36,-289.63279702650993
37,-205.69605375779287
38,-6.697225076075682
39,-81.70302087076864
40,-50.039844431668605
41,-110.33178045662986
42,-461.5780098998479
43,-201.56012492507722
44,-351.92312162154997
45,-81.57605725016984
46,-191.99329890047125
47,-130.4233196680022
48,34.701966952444195
49,-146.72601299566634
50,-85.82636394701888
51,-213.44336993999084
52,-25.832541143178716
53,-54.65007819318393
54,-56.56009977572679
55,-62.07708096278816
56,-85.69995692721332
57,-6.055993413203495
58,-51.503758709062915
59,-55.26803706456823
60,-168.5310543128342
61,-6.535004483543673
62,-202.2824235041648
63,-212.61630454843592
64,-48.31383929282345
65,-69.22535917129201
66,-274.2491481418317
67,-198.546818874313
68,-164.3548240536324
69,-33.325717996179804
70,35.4194035196291
71,-325.00373478080814
72,-364.5262476757808
73,-334.8575290879544
74,-86.90593643694206
75,37.66053201590884
76,-180.3645111286799
77,-194.75054816675453
78,175.56192006035897
79,-193.85422829355508
80,47.50841601195788
81,-99.6491734102498
82,-20.26343503507735
83,225.13990898661712
84,-55.04328701194988
85,-220.67761498194577
86,-135.9869513488876
87,-67.55167688096175
88,-55.84293611736683
89,-446.54710091075447
90,-67.16217096251823
91,-44.31807691034218
92,-124.98428776108183
93,-51.75902206012522
94,-375.1297822488333
95,-508.161739596717
96,-53.668564312110256
97,-130.7348074301067
98,-420.94010935948586
99,-347.6283277858083
100,-85.79807147707056
101,10.620965762576873
102,-37.97047789199955
103,-531.3308381886416
104,-193.9957618267721
105,-197.022496901031
106,-217.30055867692153
107,-393.4624945009446
108,-349.4286150463114
109,-85.7611175514067
110,-569.2595189085791
111,-579.9370014584804
112,-115.7698886312457
113,-515.3401395928679
114,-317.1506235740775
115,-529.3367952741869
116,-14.96151266947281
117,-684.5795711329495
