episodes,rewards
0,105
1,78
2,61
3,87
4,62
5,70
6,72
7,65
8,58
9,54
10,63
11,67
12,61
13,60
14,73
15,68
16,52
17,72
18,88
19,54
20,72
21,65
22,70
23,62
24,70
25,82
26,76
27,86
28,66
29,83
30,77
31,66
32,58
33,77
34,62
35,77
36,88
37,77
38,54
39,68
40,101
41,84
42,57
43,68
44,87
45,51
46,72
47,73
48,88
49,55
50,55
51,75
52,88
53,53
54,79
55,79
56,71
57,69
58,76
59,88
60,62
61,52
62,83
63,62
64,54
65,79
66,73
67,113
68,57
69,68
70,58
71,80
72,64
73,65
74,66
75,78
76,84
77,66
78,65
79,74
80,78
81,58
82,49
83,80
84,79
85,81
86,57
87,56
88,74
89,52
90,78
91,61
92,57
93,65
94,57
95,89
96,70
97,78
98,52
99,55
100,59
101,83
102,66
103,59
104,88
105,56
106,74
107,71
108,72
109,57
110,78
111,70
112,71
113,57
114,59
115,61
116,69
117,51
118,67
119,54
120,79
121,82
122,71
123,71
124,67
125,64
126,57
127,69
128,56
129,79
130,54
131,92
132,53
133,68
134,76
135,68
136,69
137,57
138,73
139,64
140,59
141,73
142,74
143,80
144,78
145,71
146,66
147,82
148,56
149,83
150,90
151,84
152,54
153,65
154,88
155,81
156,89
157,64
158,74
159,53
160,60
161,72
162,77
163,69
164,92
165,56
166,74
167,72
168,66
169,69
170,86
171,75
172,54
173,84
174,64
175,54
176,88
177,80
178,69
179,63
180,83
181,58
182,72
183,66
184,62
185,80
186,53
187,55
188,89
189,77
190,57
191,56
192,53
193,52
194,55
195,60
196,70
197,52
198,51
199,66
200,69
201,53
202,87
203,56
204,61
205,73
206,51
207,71
208,65
209,66
210,51
211,72
212,77
213,67
214,64
215,73
216,67
217,60
218,55
219,55
220,87
221,73
222,62
223,57
224,61
225,78
226,53
227,54
228,82
229,86
230,57
231,64
232,79
233,59
234,54
235,56
236,78
237,56
238,70
239,61
240,51
241,76
242,86
243,71
244,112
245,82
246,74
247,87
248,81
249,53
250,115
251,84
252,53
253,64
254,56
255,65
256,65
257,65
258,57
259,62
260,80
261,64
262,86
263,58
264,52
265,82
266,73
267,86
268,78
269,79
270,53
271,72
272,79
273,88
274,75
275,67
276,67
277,71
278,61
279,84
280,91
281,73
282,73
283,64
284,65
285,68
286,51
287,77
288,70
289,53
290,83
291,86
292,61
293,82
294,66
295,58
296,60
297,73
298,51
299,54
300,71
301,76
302,54
303,57
304,70
305,69
306,54
307,82
308,69
309,71
310,58
311,81
312,55
313,62
314,56
315,82
316,56
317,81
318,56
319,61
320,76
321,87
322,81
323,60
324,73
325,74
326,68
327,75
328,57
329,77
330,80
331,96
332,56
333,81
334,87
335,64
336,70
337,62
338,55
339,51
340,60
341,69
342,57
343,77
344,63
345,80
346,65
347,51
348,75
349,79
350,82
351,52
352,54
353,77
354,59
355,53
356,51
357,70
358,66
359,83
360,69
361,55
362,76
363,51
364,54
365,75
366,67
367,59
368,54
369,86
370,54
371,55
372,52
373,64
374,78
375,64
376,72
377,59
378,68
379,55
380,52
381,78
382,67
383,66
384,63
385,74
386,56
387,80
388,60
389,70
390,87
391,73
392,51
393,55
394,73
395,79
396,69
397,82
398,69
399,71
400,51
401,65
402,77
403,77
404,67
405,53
406,72
407,58
408,54
409,57
410,60
411,65
412,81
413,61
414,71
415,54
416,74
417,87
418,54
419,62
420,54
421,82
422,64
423,66
424,55
425,65
426,53
427,54
428,62
429,65
430,75
431,65
432,56
433,78
434,54
435,75
436,80
437,63
438,65
439,82
440,52
441,85
442,68
443,59
444,62
445,78
446,62
447,84
448,53
449,57
450,76
451,81
452,55
453,82
454,76
455,58
456,67
457,64
458,56
459,69
460,68
461,75
462,57
463,87
464,71
465,71
466,56
467,72
468,59
469,53
470,81
471,85
472,66
473,96
474,66
475,61
476,52
477,50
478,58
479,62
480,59
481,54
482,81
483,66
484,59
485,56
486,86
487,60
488,63
489,65
490,92
491,72
492,56
493,66
494,59
495,95
496,82
497,79
498,68
499,58
500,99
501,59
502,84
503,50
504,70
505,68
506,83
507,59
508,69
509,61
510,75
511,64
512,70
513,81
514,66
515,57
516,54
517,60
518,62
519,81
520,70
521,84
522,60
523,71
524,84
525,64
526,64
527,89
528,77
529,59
530,89
531,80
532,54
533,58
534,52
535,85
536,61
537,84
538,52
539,89
540,54
541,50
542,72
543,51
544,75
545,59
546,66
547,58
548,57
549,54
550,80
551,54
552,82
553,83
554,64
555,70
556,60
557,78
558,58
559,56
560,70
561,61
562,71
563,77
564,73
565,66
566,55
567,69
568,79
569,82
570,52
571,69
572,63
573,72
574,63
575,86
576,54
577,57
578,70
579,78
580,51
581,53
582,65
583,68
584,57
585,72
586,56
587,53
588,51
589,74
590,76
591,53
592,58
593,72
594,66
595,82
596,75
597,77
598,82
599,63
600,72
601,72
602,54
603,50
604,72
605,62
606,49
607,60
608,89
609,83
610,67
611,75
612,64
613,71
614,54
615,81
616,85
617,74
618,57
619,72
620,60
621,66
622,56
623,80
624,80
625,53
626,86
627,67
628,78
629,58
630,54
631,80
632,54
633,80
634,66
635,80
636,82
637,56
638,62
639,60
640,68
641,75
642,67
643,69
644,87
645,64
646,60
647,52
648,71
649,73
650,81
651,74
652,59
653,76
654,60
655,83
656,52
657,77
658,84
659,90
660,66
661,91
662,89
663,62
664,55
665,61
666,65
667,85
668,71
669,53
670,67
671,67
672,50
673,78
674,52
675,77
676,73
677,56
678,69
679,53
680,66
681,85
682,58
683,55
684,61
685,52
686,52
687,57
688,75
689,83
690,55
691,88
692,61
693,87
694,92
695,81
696,69
697,66
698,69
699,66
700,51
701,71
702,79
703,69
704,71
705,57
706,85
707,76
708,55
709,91
710,87
711,82
712,54
713,70
714,51
715,85
716,79
717,87
718,89
719,77
720,82
721,74
722,52
723,57
724,57
725,64
726,55
727,87
728,55
729,76
730,94
731,65
732,63
733,57
734,89
735,56
736,70
737,63
738,73
739,87
740,64
741,48
742,78
743,82
744,82
745,49
746,75
747,90
748,86
749,67
750,52
751,83
752,58
753,62
754,76
755,52
756,56
757,76
758,65
759,83
760,74
761,53
762,69
763,89
764,62
765,78
766,73
767,88
768,61
769,91
770,68
771,85
772,58
773,51
774,88
775,66
776,95
777,71
778,58
779,71
780,60
781,73
782,52
783,78
784,85
785,79
786,56
787,89
788,80
789,53
790,84
791,53
792,79
793,55
794,56
795,78
796,62
797,81
798,55
799,70
800,68
801,89
802,90
803,78
804,88
805,60
806,89
807,55
808,72
809,52
810,82
811,90
812,68
813,90
814,58
815,86
816,77
817,81
818,51
819,69
820,55
821,50
822,76
823,89
824,60
825,54
826,74
827,89
828,67
829,52
830,87
831,80
832,57
833,58
834,85
835,82
836,55
837,64
838,80
839,68
840,61
841,64
842,64
843,55
844,59
845,80
846,67
847,64
848,62
849,85
850,60
851,48
852,58
853,60
854,71
855,72
856,83
857,61
858,87
859,80
860,61
861,85
862,72
863,55
864,54
865,72
866,72
867,82
868,86
869,57
870,73
871,72
872,85
873,89
874,60
875,81
876,62
877,69
878,80
879,83
880,76
881,82
882,83
883,52
884,51
885,61
886,58
887,86
888,57
889,59
