episodes,rewards
0,-251.99049357836876
1,-310.0296388445191
2,-130.79620664303616
3,-360.75048907442323
4,-91.99563962660704
5,-172.94855533298173
6,-264.7569211655421
7,-120.41791578581672
8,-151.38376917855518
9,-169.40754370133504
10,-144.79035411801442
11,-130.16172256872767
12,-209.51552414116605
13,-130.18103868180776
14,-95.30665496523935
15,-37.03969033521636
16,-174.56667962122629
17,-48.75358194064171
18,8.059552744576393
19,-121.15285081180977
20,-128.24408406566002
21,-456.0589452850506
22,-134.65214612052569
23,-137.42416769083334
24,-134.50769037173114
25,-151.25066270624657
26,-109.00359217901452
27,-381.7640438076155
28,-288.800030094401
29,-94.27979430377015
30,-91.088726763536
31,12.271068246300942
32,-293.47210283368173
33,-205.48247443722965
34,-229.44010827132098
35,-120.2533327170564
36,-124.58746520280229
37,-206.7355141890536
38,-303.26977513890375
39,-165.173698820924
40,-249.70963613553047
41,-96.94126124036676
42,-109.80701109610857
43,-208.65925741137676
44,-43.37419577454777
45,-309.2736049216933
46,-174.56155283628598
47,-45.71841992323006
48,-403.5993535360013
49,-329.71765558157915
50,-176.4996587540624
51,-114.48299718073511
52,-78.60366161780607
53,-184.33066185616906
54,-215.1091910173875
55,-81.06918413094037
56,-269.58744888057953
57,-389.47040768292356
58,-164.61070513111866
59,-239.3722292882718
60,-113.1329566576215
61,-214.01583431055798
62,-128.1088546238084
63,-232.45699477412475
64,9.958632527447591
65,-117.80196933774994
66,-401.3719148548305
67,-100.11227922063752
68,-141.33443237104316
69,-114.33170492176501
70,-97.17845885595051
71,-153.23766843512726
72,-100.81009058162333
73,-159.0177334053107
74,-335.2476582739806
75,-146.37868335898082
76,-54.658175034623135
77,-68.31671090613811
78,-320.363778108142
79,-58.906327045308366
80,-203.84091265843938
81,-162.1608034287384
82,-253.88597778662256
83,-105.88842689341347
84,-76.5865854538964
85,-333.89325998024367
86,-96.01295676410707
87,-265.7918153756094
88,-282.4694247824373
89,-214.46342001322762
90,-113.19610803771673
91,-361.3761687343384
92,-183.71601853113432
93,-191.97315821709373
94,-139.6364922387565
95,-132.42821009878864
96,-117.92416043209897
97,-89.20825238809107
98,-288.9764142699148
99,-158.8528391364874
100,-154.11282161495984
101,-11.526038220997194
102,-109.21438502960437
103,-88.10075844286786
104,-243.81071463505387
105,-90.48382101271773
106,-130.51474558067747
107,-114.54700882939883
108,-395.41025758592514
109,-268.7252574480689
110,-82.30574844154691
111,-134.14996035214327
112,-107.47112822064157
113,-149.31979988466554
114,-314.35539792516397
115,-121.95482148602328
116,-73.62651583934961
117,-391.95619531172
118,-288.49395946207926
119,-165.88188144245964
120,-158.93757904086976
121,-90.6288267140974
122,-91.61392693710985
123,-386.7168110220547
124,-161.47030859699396
125,-127.75777880720943
126,-143.93892696655348
127,-344.9721725093359
128,-100.99873008756612
129,-441.75287373117783
130,-239.87395764660513
131,-117.70838810257749
132,-284.42303678130423
133,-87.66479133898765
134,-93.53455388326441
135,-367.29135226172184
136,-342.00442735837925
137,-119.36576095882182
138,-149.49950066455284
139,-143.96954408041717
140,-89.27641967199108
141,-337.3883353601469
142,-402.1189858346522
143,-308.523238648183
144,-204.0949286009979
145,-110.60465769612162
146,-188.9164009466202
147,-28.80117850975033
148,-144.54826710734756
149,-98.3397920278162
150,-140.84747555216714
151,-92.89453435170402
152,-165.30538471032344
153,-159.33776849253198
154,-113.8881540087003
155,-277.3737587140887
156,-128.42401945880707
157,-352.48031312646003
158,-179.63719816404898
159,-81.2891181446308
160,-105.96356681875433
161,-219.07165312007464
162,-62.09234347249689
163,-88.58576505167947
164,-41.07361929228887
165,-321.27530115695686
166,-107.15496183350972
167,-98.80655907198194
168,-272.46654225917126
169,-204.17697407195917
170,-126.86351225165795
171,-137.34564231538775
172,-111.81163507978604
173,-141.12835644685686
174,-332.79295725746874
175,-71.70468943911146
176,-87.5577949775991
177,-118.87504267133113
178,-312.64276525047023
179,-68.76581224279661
180,-58.96894494087032
181,-71.7125085235416
182,-118.84986918917431
183,-80.16286149458868
184,-78.9417194226262
185,-152.53199455513413
186,-211.0725287445158
187,-92.56299432271136
188,-62.15812819128753
189,-58.562096970358624
190,-178.69784529742793
191,-267.0483141482853
192,-79.77102949486665
193,-80.00210560568746
194,-77.72439522237434
195,-121.35284319002083
196,-55.551871965159016
197,-368.45552129691663
198,-425.1913773965696
199,-148.66704897979258
200,-76.71361545267787
201,-67.39507013172926
202,-104.09762193611859
203,-125.60171424630504
204,-328.3140851361596
205,-120.74388920411496
206,-69.82026189442968
207,-138.68079864333978
208,-52.71916305755951
209,-264.4886364103347
210,-225.303162878818
211,-170.20548390588993
212,-106.14598401028958
213,-102.84795166330932
214,-85.98654401895975
215,-104.66151591728305
