episodes,rewards
0,-144.06303319624078
1,-431.6522653771764
2,-288.19290684767475
3,-139.19668892292984
4,-25.36964309348356
5,-202.1777995725493
6,-118.79141991963564
7,-76.7634664901642
8,-225.11055945689472
9,-104.3729857515203
10,-111.3798948687651
11,-84.63573564624663
12,-270.5371272308229
13,-402.58680006341103
14,-121.01266120960926
15,-113.31257494717656
16,-488.6234195393907
17,-344.556391924722
18,-340.63310546232515
19,-206.0953625680732
20,-248.93851241608309
21,-124.80189537002255
22,-226.470908422031
23,-76.54960928054965
24,-273.0670159807771
25,-91.92383698809967
26,-527.2476360299962
27,-385.1335431835461
28,-151.89979208434505
29,-71.05649944430007
30,-186.63099994227971
31,-156.12914706053323
32,-470.62860672545867
33,-54.85425346445122
34,-263.1583097881541
35,-144.315041693038
36,-254.4215358381061
37,-92.2839798184183
38,-212.44363636580943
39,-214.73933748695748
40,-57.05950295499962
41,-59.913302433113195
42,-424.7469529640022
43,-428.4752426862283
44,-83.13878806335305
45,-135.91256104368483
46,-261.48609249966785
47,-335.2935494527258
48,-392.22039490819725
49,-64.29150747727289
50,-104.7306029943722
51,-83.1041667520017
52,-305.6195205663133
53,7.140243100118141
54,-201.15302911530307
55,-563.915161622341
56,-281.1450940211498
57,-556.252145012721
58,-264.55617398123627
59,-99.68754070866375
60,-46.44588100918921
61,-499.75619100226714
62,-236.69589110182832
63,-3.2669271790614403
64,-117.78472796621348
65,-59.710034270364986
66,-589.5294729833338
67,-277.85147629112345
68,-220.572919135398
69,-472.0340502182761
70,-497.9185654320174
71,-569.7271485551578
72,-154.87434967830788
73,-565.0996591427279
74,-620.8123249248383
75,-254.93126409246676
76,-130.75354071627345
77,-335.28467411518267
78,-182.0572130965867
79,-504.1247595152914
80,-317.57172968806526
81,-432.0612200590647
82,-336.7308909481899
83,-90.52603667824043
84,-72.89217387916806
85,-233.83363573769364
86,-138.0840734698393
87,-56.131488093654056
88,-48.17979574756574
89,-32.99067792781105
90,-154.40741779879102
91,-211.48709819597195
92,-260.588440549436
93,-620.1134798713205
94,-225.80306677940763
95,-260.83810029648737
96,-16.094001896647654
97,-188.14284411337846
98,-347.0762283028537
99,-81.13531644557084
100,-256.4826186570764
101,-89.55725482784038
102,-405.0248793094907
103,-76.694711125788
104,-78.04357190347807
105,-59.78628247355532
106,-79.24626034662323
107,-64.3549776499414
108,-2.6862457516969016
109,-20.75371705283274
110,-263.33209842249914
111,-276.9128843865205
112,-146.42638309142896
113,-222.86544019943318
114,-264.0011506674675
115,-16.922024601846275
116,-64.46622589695032
117,-363.9826014852354
118,-315.32665608998684
119,-324.7448578880761
120,-86.34317544680634
121,-339.4209565000624
122,-308.86550217730377
123,-20.20111294978544
124,-623.9847707676406
125,-25.927886634612562
126,-115.29643454331388
127,-54.18076492597204
128,-85.99852694090856
129,24.18872918863488
130,-55.39188296783177
131,-325.442292399068
132,-227.15936217537381
133,-240.10494251301324
134,-120.12198582462302
135,-182.06491735462305
136,-220.06171643715425
137,-217.08433551145322
138,-52.09043996705002
139,-7.542737092507082
140,-351.546831101402
141,-232.54725267500757
142,-128.97980464428713
143,-152.39402040035702
144,-262.9482995039958
145,-261.6180487386025
146,-221.76892788223586
147,-157.20844056753668
148,-115.22408587029786
149,-134.32495417548347
150,-379.02909213987203
151,-102.18200142473827
152,-227.88463979307147
153,-47.43263307082398
154,-54.74034228930213
155,-39.69831949885628
156,-311.34362454966333
157,-17.865619765084517
158,-218.79138964742475
159,-32.0797008908868
160,-21.353350053461114
161,-266.2125145175073
162,-13.925597655398889
163,-64.43052061828536
164,-40.05866858818926
165,-330.52295675531934
166,-329.54784746594544
167,-133.27594403049213
168,-47.83648359929282
169,-49.02955113142069
170,-198.1621586210967
171,-159.53377853734182
172,-29.327449985285583
173,-76.11575392855555
174,-100.72479063350846
175,-66.31979016407962
176,-29.323591162355797
177,-196.78099570296916
178,-0.10558058871102105
179,-142.81465884685844
180,-344.4838365328394
181,-67.68828255167007
182,-163.01965693987927
183,-18.086577429324308
184,-297.8159598451957
185,-215.5037667880046
186,-35.21841902729702
187,-34.294209232903015
188,-33.62571321234181
189,-289.15320371026974
190,-218.1199536563542
191,21.65852377819448
192,-176.08853382655627
193,-436.4641179907486
194,-11.52892499637153
195,-222.3367237741756
196,-701.3914546002644
197,63.093907453025395
198,-619.6974561969688
199,37.92805957137264
200,-38.363842816531
201,-654.3254467246232
202,4.103597876401935
203,-57.76232878280399
204,-195.71480487879757
205,-1.2025951465382292
206,6.485855966932007
207,-39.033649509087155
208,37.25186357874179
209,-83.97842622604057
210,-219.52041750053542
211,-33.30493017268121
212,-10.03682776665623
213,-151.9256542725539
214,-277.0840940217947
215,-244.82980640986634
216,-228.47648577219022
217,-154.71987457674874
218,-581.2997156131163
219,-214.65622838414853
220,-160.08848316674218
221,-162.72931642331855
222,-25.152434116288646
223,-26.240030920477082
224,-29.976492612180536
225,-14.738612489848109
226,-38.90291810448872
227,15.529430793120554
228,-185.54215836308862
229,-169.9568986487762
230,-246.2182917539742
231,-320.35411346943977
232,-608.3630782982652
233,-454.48299105126864
234,-187.29370962738847
235,-9.726028356081514
236,-2.1068915838877302
237,15.094784936873566
238,-6.68559312412178
239,1.061165784353122
240,67.02948370562258
241,-34.06788937113615
242,-216.41037584233294
243,-14.464822514372273
244,-11.842235080620327
245,-10.653484947168081
246,15.499663866928216
247,11.578658408195707
248,-33.1126522334383
249,-13.001071042850285
250,-65.5255272022386
251,-105.46210138364061
252,-73.56185513748626
253,-32.44226991334587
254,-231.98636930456382
255,-190.23599185763197
256,-37.38570668617324
257,-85.36899636554699
258,-49.22195486440484
259,-30.7528912650873
260,-35.635426492976435
261,-35.250497850945735
262,-187.93543813936225
263,6.3485098324172355
264,-74.2767062431543
265,-3.364656995802804
266,125.2581666214925
267,-272.84785309244864
268,175.59174571590177
269,-161.66583826868742
270,-31.661402772966326
271,-147.88321390096266
272,-14.51478628881516
273,36.329680450642854
274,-92.01307202769999
275,4.934882292000054
276,-44.191609000899405
277,-59.2425102835915
278,-20.91953220555513
279,-232.65743787958442
280,226.91470898925905
281,-20.39711370154751
282,-15.766849115986744
283,-99.86055717505562
284,-36.23321814158136
285,-19.221425455884358
286,-4.453768672008607
287,-197.0626582509861
288,-209.94027302102455
289,-174.86005509739715
290,-59.30972700607809
291,17.392051318349488
292,-34.208375288151956
293,-270.85156253525486
294,273.8049029324379
295,-40.16894989733194
296,-36.84531090684172
297,11.422757917574259
298,-185.4518046998772
299,-175.60828265706812
