episodes,rewards
0,26.0
1,25.0
2,25.0
3,23.0
4,34.0
5,39.0
6,47.0
7,48.0
8,29.0
9,45.0
10,42.0
11,32.0
12,37.0
13,22.0
14,20.0
15,12.0
16,61.0
17,55.0
18,65.0
19,20.0
20,15.0
21,38.0
22,55.0
23,29.0
24,11.0
25,59.0
26,101.0
27,64.0
28,60.0
29,108.0
30,97.0
31,155.0
32,184.0
33,129.0
34,171.0
35,194.0
36,121.0
37,180.0
38,165.0
39,193.0
40,256.0
41,266.0
42,259.0
43,174.0
44,233.0
45,164.0
46,262.0
47,365.0
48,236.0
49,192.0
50,250.0
51,204.0
52,210.0
53,198.0
54,187.0
55,262.0
56,199.0
57,243.0
58,187.0
59,206.0
60,185.0
61,210.0
62,211.0
63,217.0
64,198.0
65,251.0
66,212.0
67,191.0
68,201.0
69,251.0
70,177.0
71,500.0
72,191.0
73,344.0
74,282.0
75,205.0
76,194.0
77,277.0
78,181.0
79,280.0
80,181.0
81,406.0
82,385.0
83,181.0
84,193.0
85,197.0
86,224.0
87,204.0
88,176.0
89,240.0
90,233.0
91,229.0
92,217.0
93,210.0
94,241.0
95,220.0
96,237.0
97,165.0
98,142.0
99,195.0
100,189.0
101,151.0
102,167.0
103,160.0
104,189.0
105,166.0
106,82.0
107,153.0
108,42.0
109,22.0
110,19.0
111,14.0
112,9.0
113,10.0
114,9.0
115,231.0
116,387.0
117,209.0
118,384.0
119,230.0
120,332.0
121,328.0
122,274.0
123,278.0
124,305.0
125,266.0
126,256.0
127,255.0
128,264.0
129,435.0
130,327.0
131,365.0
132,238.0
133,213.0
134,244.0
135,320.0
136,201.0
137,222.0
138,320.0
139,234.0
140,277.0
141,297.0
142,240.0
143,330.0
144,307.0
145,210.0
146,12.0
147,13.0
148,19.0
149,43.0
150,25.0
151,239.0
152,281.0
153,200.0
154,245.0
155,265.0
156,212.0
157,219.0
158,219.0
159,162.0
160,202.0
161,209.0
162,229.0
163,194.0
164,219.0
165,260.0
166,243.0
167,224.0
168,330.0
169,223.0
170,276.0
171,206.0
172,304.0
173,323.0
174,248.0
175,309.0
176,252.0
177,262.0
178,255.0
179,261.0
180,309.0
181,267.0
182,334.0
183,250.0
184,273.0
185,246.0
186,211.0
187,256.0
188,288.0
189,247.0
190,309.0
191,363.0
192,303.0
193,202.0
194,308.0
195,250.0
196,274.0
197,425.0
198,143.0
199,150.0
200,269.0
201,303.0
202,218.0
203,318.0
204,220.0
205,351.0
206,223.0
207,249.0
208,245.0
209,86.0
210,32.0
211,11.0
212,134.0
213,177.0
214,161.0
215,161.0
216,126.0
217,156.0
218,128.0
219,136.0
220,144.0
221,147.0
222,177.0
223,156.0
224,142.0
225,165.0
226,175.0
227,186.0
228,194.0
229,191.0
230,205.0
231,192.0
232,176.0
233,209.0
234,184.0
235,177.0
236,169.0
237,173.0
238,172.0
239,194.0
240,184.0
241,164.0
242,185.0
243,198.0
244,200.0
245,189.0
246,181.0
247,202.0
248,195.0
249,264.0
250,193.0
251,191.0
252,181.0
253,201.0
254,202.0
255,191.0
256,231.0
257,186.0
258,196.0
259,204.0
260,182.0
261,198.0
262,170.0
263,198.0
264,168.0
265,169.0
266,165.0
267,185.0
268,219.0
269,206.0
270,228.0
271,230.0
272,213.0
273,154.0
274,211.0
275,196.0
276,226.0
277,239.0
278,186.0
279,227.0
280,167.0
281,245.0
282,202.0
283,215.0
284,208.0
285,229.0
286,211.0
287,220.0
288,227.0
289,274.0
290,231.0
291,317.0
292,125.0
293,153.0
294,133.0
295,181.0
296,185.0
297,183.0
298,172.0
299,221.0
