episodes,rewards
0,-128.35486622349245
1,-212.11816140132
2,-137.79447191132377
3,-324.7676891468983
4,-46.09797120118732
5,-296.50130340106364
6,-99.53876178509057
7,-58.26089841049192
8,-148.90502461389926
9,-249.14192892519753
10,-119.00790219228807
11,-122.27024621079964
12,-130.47584685821994
13,-145.88012695388886
14,-111.04545613353564
15,-57.48672879202586
16,-97.86289517505635
17,-175.5409680239847
18,-110.47605107172639
19,-261.0062389844806
20,-150.1464422269426
21,-316.962675840007
22,-299.4077529220766
23,-84.84884413311742
24,-51.34896756282486
25,-99.56347889796898
26,-144.83526888458857
27,-54.19126443272002
28,-134.16250944805256
29,-150.50391975601326
30,-121.18930939330325
31,-104.42135218326732
32,-145.84828969440343
33,-165.21875360887788
34,-327.93188430928626
35,-137.00413701078506
36,-186.10934480195812
37,-216.62756772677676
38,-118.31800950138174
39,-328.15544492433924
40,-135.4739266339149
41,-178.7792144456327
42,-53.640326300337186
43,-131.50869197053598
44,-31.74060222378357
45,-238.13153191602748
46,-300.3411460415209
47,-91.28815895400044
48,-151.4346140071899
49,-129.69780798762733
50,-201.0153598021887
51,-110.92037677590882
52,-236.44507748459526
53,-22.59550337800026
54,-29.887224301940734
55,-62.04177813765337
56,164.01845381991228
57,-38.42852849802739
58,-20.82726413463412
59,-117.63480153166657
60,-220.83816850900047
61,-196.5019394323674
62,-60.319139363758204
63,-119.21070734023604
64,224.81877680090815
65,-16.535719175077205
66,-15.122411094476192
67,-83.48640989029838
68,-30.902257919299487
69,56.09259583388689
70,-48.977303748840775
71,16.667175776411085
72,-100.02818441535912
73,-26.994741999981116
74,-32.35818892649766
75,-138.89990853055238
76,-161.89743173467042
77,-211.09421876529422
78,-60.660856133351906
79,-90.24501841086612
80,-27.5112712134096
81,-120.0923492678203
82,-75.02814225622072
83,-64.92075001022809
84,-77.66573165629366
85,-62.368028369244676
86,-25.354093358368758
87,-58.91331698439236
88,-55.62692369478006
89,-39.64574943509537
90,-240.03386430332867
91,-167.66710103294895
92,-48.57310256181103
93,-202.71485678521407
94,17.05515292340999
95,-92.01279169892938
96,-253.430733191803
97,-198.74772507351264
98,-130.22073953170133
99,-257.4529398931588
100,-50.940447689429696
101,-116.0971976312101
102,-403.9313388843739
103,-83.3866627585321
104,-310.8926255919115
105,-265.91545643928345
106,-252.62338679899597
107,-208.59641555639246
108,-260.737491143985
109,-145.30470226875667
110,-121.79077217465709
111,1.283240144612023
112,-69.62693770923987
113,-75.57696056549287
114,-16.2496998617669
115,12.690996080536735
116,-214.4674886420574
117,-31.86870301880394
118,-184.26746250001202
119,-27.502361223215715
120,-74.17464990026978
121,-6.154639290987049
122,-75.31163634723802
123,-85.79729734944554
124,-33.05715163681492
125,-8.697315310366164
126,-4.120219684386271
127,7.1509060819076495
128,-213.15610902831367
129,-178.90439406114487
130,-0.14074777889246093
131,-29.355950643927514
132,-21.050768583903874
133,-55.526879403599494
134,10.90905623586201
135,-217.82423690370894
136,-18.186856333317266
137,18.715865141963718
138,-8.236322205212872
139,-121.99419812846043
140,-25.520498596520966
141,-43.66713770544775
142,32.11368716540554
143,9.76936359451247
144,-39.29975296544842
145,-237.89974615689337
146,-71.36566648658359
147,-26.281376562043505
148,-150.72857135792174
149,-24.02173576214153
150,-84.33503906337266
151,35.30849229756208
152,34.28519771849457
153,-32.34492554244167
154,-0.6474546846610911
155,-61.971458893034814
156,-166.83593960844192
157,-70.01642750240576
158,-166.7335813289008
159,-17.823306905251613
160,-221.32869072326804
161,-27.339889120735194
162,-105.37602052646187
163,-2.7261215884195593
164,-45.32771222149058
165,-47.66712403734107
166,2.8627191976333535
167,-44.95935804721573
168,-83.01366333628548
169,-211.82793135404674
170,-166.89659670604996
171,70.4360038331215
172,-14.367848256724102
173,-18.445698304458237
174,-52.319717744401885
175,-176.56140883127992
176,-44.12017326109863
177,-37.367269745323014
178,29.73136655035097
179,-216.87468037188796
180,173.19994808208202
181,-10.694480529446807
182,-27.52022611835883
183,-37.82871476377703
184,-198.82956122581072
185,-41.261887351851925
186,-201.2927382134647
187,-171.82574732340433
188,19.99558638957835
189,-55.51825440087284
190,-194.6395555219584
191,-129.4616145777669
192,-239.90459270332553
193,-160.8466311249581
194,-230.44610528009747
195,-1.0310458906722317
196,3.252382674325162
197,-97.84322621915223
198,-26.477517589238975
199,-87.13519755084732
200,-37.2075286116452
201,-45.25248074819275
202,-126.04085401182996
203,-27.580554603883954
204,-28.674816031416483
205,-191.85508827097266
206,172.5779108927763
207,-13.916023130628474
208,15.473983575180995
209,-48.249377355395964
210,-235.66902049949266
211,-68.98789038859003
212,-5.70945606837698
213,11.884070863300352
214,-140.77974262973356
215,-35.79380838232741
216,-78.0216494040074
217,-201.46132335014954
218,-50.54227089844868
219,-177.47249512154983
220,-203.55405147783466
221,-4.045208879865072
222,-55.49867243576572
223,-181.5327599163472
224,-4.275424687638335
225,-46.340251073638576
226,-16.66469724371727
227,-33.94653358222689
228,-61.407543244419585
229,-11.889685045026724
230,8.811880094984303
231,-4.014221188499818
232,-18.86500062046619
233,-163.55690007080685
234,-206.43311729731192
235,-196.76324064182424
236,-52.26886653949335
237,-41.536185615850826
238,-200.89969215661353
239,-232.90841587130492
240,10.016455297342773
241,-62.397395302340556
242,-30.973589949905303
243,-25.227729873811157
244,-14.711449633347328
245,-253.71081795993376
246,14.340734651520748
247,-211.76842776339083
248,-235.18034853421727
249,-190.8764777871449
250,-13.269431269910328
251,-21.364790863310347
