episodes,rewards
0,77
1,54
2,59
3,56
4,84
5,86
6,61
7,85
8,54
9,74
10,77
11,52
12,54
13,85
14,47
15,64
16,65
17,55
18,54
19,69
20,57
21,53
22,60
23,79
24,68
25,76
26,86
27,83
28,73
29,59
30,58
31,62
32,51
33,78
34,87
35,52
36,70
37,59
38,50
39,62
40,78
41,86
42,60
43,108
44,79
45,52
46,72
47,66
48,73
49,59
50,82
51,53
52,64
53,73
54,55
55,58
56,76
57,59
58,85
59,79
60,54
61,51
62,81
63,57
64,62
65,82
66,76
67,59
68,81
69,61
70,76
71,70
72,72
73,59
74,55
75,79
76,67
77,83
78,81
79,58
80,71
81,50
82,81
83,51
84,60
85,74
86,75
87,73
88,76
89,83
90,68
91,81
92,62
93,50
94,72
95,59
96,63
97,68
98,50
99,58
100,51
101,54
102,65
103,61
104,53
105,68
106,71
107,67
108,50
109,55
110,55
111,72
112,54
113,61
114,66
115,61
116,70
117,62
118,52
119,64
120,58
121,78
122,58
123,55
124,81
125,83
126,80
127,79
128,64
129,57
130,84
131,104
132,56
133,64
134,78
135,59
136,67
137,76
138,59
139,54
140,74
141,63
142,110
143,56
144,65
145,62
146,73
147,52
148,73
149,59
150,52
151,64
152,73
153,51
154,47
155,70
156,53
157,62
158,62
159,84
160,86
161,70
162,68
163,59
164,58
165,57
166,91
167,66
168,70
169,73
170,83
171,59
172,64
173,62
174,53
175,88
176,52
177,87
178,62
179,67
180,57
181,64
182,61
183,77
184,61
185,49
186,78
187,64
188,68
189,71
190,79
191,46
192,64
193,51
194,57
195,50
196,78
197,60
198,85
199,58
200,75
201,58
202,74
203,79
204,74
205,55
206,53
207,53
208,49
209,61
210,48
211,58
212,77
213,82
214,84
215,49
216,83
217,53
218,69
219,81
220,69
221,58
222,62
223,51
224,50
225,50
226,66
227,73
228,58
229,59
230,81
231,85
232,53
233,81
234,66
235,69
236,76
237,59
238,60
239,80
240,64
241,57
242,64
243,59
244,78
245,58
246,80
247,86
248,71
249,52
250,54
251,84
252,81
253,51
254,77
255,85
256,82
257,69
258,74
259,59
260,60
261,67
262,77
263,78
264,82
265,68
266,55
267,57
268,58
269,85
270,56
271,61
272,81
273,56
274,74
275,76
276,56
277,50
278,54
279,78
280,83
281,76
282,64
283,73
284,83
285,57
286,54
287,59
288,87
289,73
290,55
291,56
292,68
293,73
294,84
295,71
296,78
297,71
298,57
299,76
