episodes,rewards
0,13.0
1,14.0
2,12.0
3,13.0
4,27.0
5,19.0
6,19.0
7,73.0
8,21.0
9,16.0
10,26.0
11,37.0
12,25.0
13,14.0
14,23.0
15,31.0
16,52.0
17,15.0
18,16.0
19,53.0
20,50.0
21,67.0
22,90.0
23,51.0
24,68.0
25,16.0
26,56.0
27,42.0
28,17.0
29,119.0
30,138.0
31,341.0
32,380.0
33,115.0
34,297.0
35,89.0
36,116.0
37,206.0
38,217.0
39,190.0
40,185.0
41,174.0
42,176.0
43,161.0
44,210.0
45,200.0
46,226.0
47,273.0
48,239.0
49,251.0
50,235.0
51,271.0
52,422.0
53,276.0
54,237.0
55,259.0
56,272.0
57,166.0
58,322.0
59,363.0
60,188.0
61,184.0
62,281.0
63,209.0
64,116.0
65,242.0
66,224.0
67,234.0
68,305.0
69,205.0
70,151.0
71,312.0
72,276.0
73,261.0
74,264.0
75,282.0
76,289.0
77,62.0
78,116.0
79,71.0
80,165.0
81,259.0
82,186.0
83,142.0
84,298.0
85,156.0
86,202.0
87,88.0
88,239.0
89,33.0
90,344.0
91,288.0
92,179.0
93,178.0
94,268.0
95,319.0
96,277.0
97,192.0
98,205.0
99,24.0
100,251.0
101,222.0
102,246.0
103,235.0
104,138.0
105,139.0
106,13.0
107,10.0
108,183.0
109,297.0
110,221.0
111,272.0
112,181.0
113,256.0
114,162.0
115,265.0
116,386.0
117,209.0
118,216.0
119,263.0
120,62.0
121,196.0
122,356.0
123,205.0
124,215.0
125,224.0
126,180.0
127,400.0
128,211.0
129,283.0
130,314.0
131,178.0
132,301.0
133,233.0
134,308.0
135,270.0
136,159.0
137,265.0
138,184.0
139,129.0
140,190.0
141,360.0
142,142.0
143,128.0
144,171.0
145,259.0
146,118.0
147,141.0
148,172.0
149,151.0
150,175.0
151,325.0
152,267.0
153,319.0
154,304.0
155,62.0
156,67.0
157,366.0
158,135.0
159,171.0
160,132.0
161,173.0
162,212.0
163,203.0
164,301.0
165,165.0
166,244.0
167,209.0
168,192.0
169,178.0
170,194.0
171,216.0
172,176.0
173,169.0
174,141.0
175,251.0
176,134.0
177,281.0
178,228.0
179,322.0
180,250.0
181,174.0
182,143.0
183,265.0
184,145.0
185,58.0
186,295.0
187,157.0
188,261.0
189,289.0
190,245.0
191,237.0
192,370.0
193,32.0
194,65.0
195,306.0
196,249.0
197,500.0
198,158.0
199,107.0
200,186.0
201,158.0
202,190.0
203,213.0
204,239.0
205,269.0
206,146.0
207,223.0
208,167.0
209,193.0
210,287.0
211,16.0
212,101.0
213,366.0
214,268.0
215,500.0
216,215.0
217,324.0
218,162.0
219,83.0
220,119.0
221,82.0
222,126.0
223,137.0
224,139.0
225,32.0
226,163.0
227,133.0
228,165.0
229,217.0
230,232.0
231,122.0
232,30.0
233,149.0
234,131.0
235,235.0
236,172.0
237,158.0
238,178.0
239,202.0
240,119.0
241,39.0
242,158.0
243,338.0
244,158.0
245,158.0
246,177.0
247,177.0
248,420.0
249,144.0
250,139.0
251,119.0
252,252.0
253,153.0
254,147.0
255,121.0
256,104.0
257,201.0
258,154.0
259,162.0
260,56.0
261,188.0
262,141.0
263,232.0
264,263.0
265,153.0
266,117.0
267,123.0
268,142.0
269,212.0
270,144.0
271,29.0
272,61.0
273,130.0
274,226.0
275,124.0
276,186.0
277,116.0
278,137.0
279,399.0
280,161.0
281,226.0
282,143.0
283,120.0
284,297.0
285,238.0
286,152.0
287,345.0
288,303.0
289,176.0
290,222.0
291,160.0
292,148.0
293,178.0
294,248.0
295,112.0
296,148.0
297,272.0
298,323.0
299,251.0
