episodes,rewards
0,12
1,16
2,23
3,26
4,12
5,11
6,18
7,46
8,26
9,18
10,9
11,25
12,31
13,26
14,25
15,11
16,13
17,34
18,53
19,18
20,19
21,18
22,13
23,19
24,22
25,13
26,19
27,12
28,20
29,50
30,10
31,15
32,51
33,18
34,33
35,20
36,18
37,31
38,18
39,21
40,13
41,36
42,22
43,13
44,55
45,15
46,13
47,13
48,26
49,14
50,26
51,13
52,10
53,22
54,33
55,14
56,19
57,22
58,37
59,29
60,11
61,22
62,65
63,12
64,41
65,11
66,15
67,38
68,43
69,18
70,34
71,18
72,37
73,10
74,22
75,32
76,15
77,34
78,29
79,43
80,14
81,16
82,30
83,25
84,26
85,13
86,20
87,35
88,19
89,11
90,29
91,20
92,9
93,24
94,44
95,24
96,44
97,13
98,28
99,14
100,10
101,42
102,20
103,18
104,13
105,16
106,35
107,12
108,25
109,27
110,9
111,13
112,8
113,31
114,14
115,19
116,25
117,50
118,18
119,23
120,32
121,14
122,22
123,23
124,11
125,19
126,23
127,11
128,29
129,30
130,13
131,14
132,19
133,9
134,18
135,20
136,31
137,25
138,21
139,10
140,31
141,18
142,18
143,32
144,15
145,14
146,13
147,16
148,19
149,30
150,19
151,18
152,11
153,17
154,28
155,16
156,11
157,27
158,19
159,41
160,13
161,24
162,31
163,48
164,16
165,11
166,26
167,11
168,33
169,24
170,24
171,20
172,18
173,74
174,26
175,22
176,19
177,24
178,12
179,30
180,22
181,19
182,20
183,22
184,53
185,16
186,29
187,14
188,44
189,33
190,27
191,21
192,21
193,22
194,27
195,28
196,22
197,27
198,24
199,30
200,12
201,43
202,39
203,24
204,16
205,14
206,18
207,25
208,61
209,11
210,15
211,78
212,15
213,22
214,20
215,17
216,14
217,45
218,11
219,28
220,13
221,18
222,14
223,17
224,11
225,89
226,13
227,45
228,19
229,10
230,15
231,19
232,30
233,37
234,18
235,15
236,45
237,12
238,26
239,33
240,13
241,23
242,12
243,83
244,32
245,19
246,10
247,18
248,16
249,56
250,20
251,16
252,36
253,20
254,16
255,20
256,44
257,27
258,9
259,30
260,11
261,48
262,23
263,40
264,20
265,16
266,41
267,50
268,8
269,35
270,12
271,49
272,15
273,30
274,44
275,22
276,51
277,21
278,32
279,14
280,47
281,66
282,98
283,100
284,47
285,12
286,44
287,34
288,20
289,35
290,28
291,16
292,14
293,18
294,22
295,55
296,22
297,30
298,47
299,43
