episodes,rewards
0,-134.37418909693866
1,-174.56304534877364
2,-67.55951662877135
3,-78.57928132996499
4,-117.57666350101186
5,-139.31592202210018
6,-240.81276192370368
7,-148.15772495209404
8,-223.13876722374022
9,-275.020393110556
10,-333.8337437774885
11,-139.45476901637085
12,-163.34556811170685
13,-79.79041408191956
14,-113.86543412255975
15,-136.2282449319093
16,-90.62012276606015
17,-340.9750402771024
18,9.811502185003079
19,-321.7914165689685
20,-138.43290939355234
21,-373.9590851344206
22,-12.635955605220104
23,-108.34637258204168
24,-99.91009155780758
25,-425.0105795984634
26,-40.92272227319788
27,-269.7880559286449
28,-258.74850878647123
29,-284.04908557892605
30,-132.863361131182
31,-299.13357258415624
32,-387.6677585160415
33,-88.39863009937012
34,-59.007649357566024
35,-85.84950264395877
36,-117.36453965602028
37,-222.70356945528607
38,-288.5648152092305
39,-244.58156919222245
40,43.29186271200783
41,-162.31554684709215
42,-358.0281006185553
43,-425.93272415046897
44,-111.82433860145369
45,-724.1794048541526
46,-362.12895121959815
47,-447.2412180267789
48,-524.2342789788631
49,-468.44810688276664
50,-347.6446122123817
51,-224.09499139859747
52,-138.92623840914757
53,-177.05502148718196
54,-75.7526418590918
55,-93.27147265108124
56,-207.19829242681374
57,-235.89934963878488
58,-33.750435452078165
59,-115.13188642730249
60,-130.2397599994986
61,-91.36675833477983
62,-57.012038363699574
63,-114.61863755353505
64,-155.08074106061596
65,-209.2827733221856
66,-37.63584310442865
67,-30.32157512603051
68,-17.305824026530118
69,56.375845520692025
70,-408.77158322356496
71,-129.56872397948626
72,-188.6517467545151
73,-111.51118931649515
74,-65.49086712472237
75,-277.26909245735453
76,-66.77556571841572
77,-51.59658799817774
78,-104.49845344658166
79,-117.91203959742316
80,-66.1630535278836
81,-121.52006853688309
82,-94.6298424426279
83,-220.45959006745443
84,-80.30160861853048
85,-92.84503864233702
86,-135.26421002097385
87,-96.43763760747278
88,-222.63589743683679
89,-242.08078368835942
90,-193.06357465984394
91,-91.11480886907681
92,-144.33631756940616
93,-77.03272702509676
94,2.6409956358325815
95,-53.870220947329955
96,-133.12965691688146
97,-53.04854290917931
98,-57.34985381010255
99,-269.34657603041956
100,-102.33550284713893
101,-57.19946270367873
102,-53.77550869018743
103,-252.7855640355965
104,-62.16368281491681
