episodes,rewards
0,29.0
1,19.0
2,14.0
3,25.0
4,48.0
5,24.0
6,14.0
7,19.0
8,12.0
9,35.0
10,11.0
11,17.0
12,14.0
13,17.0
14,15.0
15,17.0
16,41.0
17,12.0
18,23.0
19,37.0
20,44.0
21,23.0
22,14.0
23,13.0
24,14.0
25,22.0
26,23.0
27,14.0
28,21.0
29,22.0
30,25.0
31,12.0
32,22.0
33,19.0
34,13.0
35,38.0
36,19.0
37,12.0
38,10.0
39,14.0
40,21.0
41,24.0
42,20.0
43,16.0
44,14.0
45,14.0
46,11.0
47,14.0
48,11.0
49,12.0
50,12.0
51,15.0
52,17.0
53,19.0
54,9.0
55,17.0
56,22.0
57,15.0
58,16.0
59,18.0
60,11.0
61,17.0
62,19.0
63,15.0
64,12.0
65,24.0
66,17.0
67,10.0
68,21.0
69,20.0
70,10.0
71,26.0
72,42.0
73,96.0
74,42.0
75,11.0
76,43.0
77,25.0
78,21.0
79,14.0
80,33.0
81,16.0
82,19.0
83,28.0
84,80.0
85,32.0
86,38.0
87,91.0
88,46.0
89,40.0
90,65.0
91,23.0
92,29.0
93,21.0
94,27.0
95,38.0
96,22.0
97,33.0
98,19.0
99,28.0
100,19.0
101,31.0
102,39.0
103,129.0
104,37.0
105,61.0
106,28.0
107,62.0
108,15.0
109,43.0
110,97.0
111,41.0
112,68.0
113,44.0
114,33.0
115,52.0
116,36.0
117,27.0
118,82.0
119,52.0
120,54.0
121,98.0
122,75.0
123,28.0
124,64.0
125,47.0
126,78.0
127,26.0
128,197.0
129,78.0
130,83.0
131,70.0
132,66.0
133,87.0
134,49.0
135,40.0
136,44.0
137,52.0
138,96.0
139,39.0
140,37.0
141,29.0
142,105.0
143,83.0
144,111.0
145,186.0
146,77.0
147,143.0
148,128.0
149,28.0
150,135.0
151,32.0
152,119.0
153,139.0
154,102.0
155,102.0
156,130.0
157,43.0
158,52.0
159,55.0
160,26.0
161,161.0
162,28.0
163,70.0
164,99.0
165,220.0
166,230.0
167,22.0
168,141.0
169,161.0
170,132.0
171,130.0
172,147.0
173,163.0
174,129.0
175,125.0
176,39.0
177,56.0
178,52.0
179,20.0
180,58.0
181,200.0
182,163.0
183,263.0
184,205.0
185,84.0
186,33.0
187,20.0
188,86.0
189,173.0
190,190.0
191,192.0
192,91.0
193,202.0
194,183.0
195,309.0
196,197.0
197,21.0
198,124.0
199,157.0
200,182.0
201,128.0
202,131.0
203,180.0
204,123.0
205,164.0
206,174.0
207,90.0
208,131.0
209,188.0
210,169.0
211,213.0
212,170.0
213,112.0
214,70.0
215,222.0
216,197.0
217,288.0
218,227.0
219,136.0
220,210.0
221,319.0
222,367.0
223,435.0
224,341.0
225,431.0
226,209.0
227,268.0
228,305.0
229,390.0
230,258.0
231,213.0
232,382.0
233,488.0
234,327.0
235,445.0
236,215.0
237,495.0
238,284.0
239,458.0
240,337.0
241,442.0
242,260.0
243,292.0
244,369.0
245,276.0
246,382.0
247,300.0
248,500.0
249,454.0
250,471.0
251,217.0
252,211.0
253,206.0
254,213.0
255,229.0
256,251.0
257,215.0
258,156.0
259,197.0
260,238.0
261,354.0
262,426.0
263,500.0
264,500.0
265,248.0
266,393.0
267,406.0
268,270.0
269,319.0
270,295.0
271,125.0
272,31.0
273,434.0
274,500.0
275,500.0
276,458.0
277,329.0
278,159.0
279,500.0
280,390.0
281,113.0
282,200.0
283,200.0
284,198.0
285,183.0
286,198.0
287,175.0
288,208.0
289,202.0
290,216.0
291,381.0
292,391.0
293,320.0
294,223.0
295,376.0
296,383.0
297,266.0
298,349.0
299,112.0
