episodes,rewards
0,-54.096424703657775
1,-99.19803698195103
2,-139.13496828303093
3,-191.80652771897533
4,-158.99512017220187
5,-271.30593679624394
6,-144.07478651065935
7,-103.47712178152884
8,-94.7568034824269
9,-119.88628814935296
10,-100.06065800811524
11,-148.03939403335715
12,-82.86896211588962
13,-85.19771606270861
14,-131.6891711438915
15,-142.78370733590262
16,-312.0061621156758
17,-16.240842186004443
18,-183.28438465250454
19,-200.91405811022926
20,-314.2907941544514
21,-210.86601439845924
22,-143.8662868095704
23,-279.32045890949246
24,-240.24437586037578
25,-114.55515129639767
26,-151.05717879942588
27,-327.89806189050205
28,-363.0470682863055
29,-175.93304512473105
30,-225.18511592605597
31,-60.38569786069325
32,-100.07687914105719
33,-129.85529963464302
34,-246.64667644777344
35,-194.41662542910524
36,-166.81203069795143
37,-66.2904098130967
38,-149.25726511038908
39,-124.59586477197564
40,-368.31592031985974
41,-172.43448097112287
42,-279.83764245342854
43,-91.57806944870462
44,-304.4773509454598
45,-106.97595808844332
46,-100.71418850099623
47,-116.28616082772209
48,-130.83590291669236
49,-90.20281832820963
50,-101.49240330849332
51,-113.05078796740698
52,-151.57760873877808
53,-267.66765073565676
54,-164.8970680515671
55,-253.35770221283843
56,-91.77783738534968
57,-105.31660310452884
58,-147.98853683811512
59,-109.07914015980579
60,-263.14980822936616
61,-105.94349217994827
62,-296.0391664879287
63,-233.54517913558936
64,-97.90801743830679
65,-126.82083984145872
66,-147.82692819299177
67,-280.65119618592706
68,-124.19264811343999
69,-76.41152004577391
70,-100.00440266596507
71,-341.96025723334174
72,-116.19466756223078
73,-143.70119322641315
74,-205.36819685214306
75,-85.54755149366005
76,-94.21073828570447
77,-111.18140721037503
78,-70.80542889309014
79,-150.23263419081587
80,-275.50155636849286
81,-161.4883631521518
82,-210.44569295000812
83,-406.7543081864099
84,-126.90723865307878
85,-219.55677126329238
86,-100.88819446058493
87,-237.72433044685442
88,-358.82513303525616
89,-140.45129157387603
90,-88.46012396291277
91,-137.5494596077836
92,-168.927861783475
93,-274.63791755377747
94,-160.25277615067716
95,-234.5296136666626
96,-105.64091670586267
97,-227.81127782741243
98,-115.05672139427782
99,-81.53102941418094
100,-182.08076514795954
101,-314.32606819856636
102,-105.82822372140865
103,-111.28920967784211
104,-148.93656979422053
105,-79.72467667430448
106,-80.58381957154202
107,-269.64013215520697
108,-385.2433636631804
109,-439.0817429945868
110,-82.96133592946265
111,-69.0620704473288
112,-270.8066243449184
113,-105.91838337775953
114,-171.3171507872159
115,-95.94190622984948
116,-149.454502497902
117,-99.27053453350001
118,-154.10323530037513
119,-196.09442026566018
120,-153.22594534604917
121,-205.18808832817498
122,-340.6415292895836
123,-263.27875638942425
124,-167.6857108137284
125,-183.90010292892254
126,-138.04669821137702
127,-95.27865831068748
128,-430.20027312804535
129,-98.36970338044524
130,-201.39171455206298
131,-38.604705113583435
132,-61.15942032477976
133,-111.48585904599486
134,-399.3165105096206
135,-181.42703964427943
136,-190.38966448987884
137,-77.31248153649797
138,-108.67374129714251
139,-213.20685259754083
140,-145.0960298008963
141,-203.8236416629697
142,-139.2639035140119
143,-124.55344267594572
144,-252.90069149940476
145,-81.94404923348885
146,-230.54498646611762
147,-105.87941557107177
148,-270.3394526254623
149,-109.29951305870075
150,-243.9619510794992
151,-179.64101602295696
152,-57.474275958307885
153,-210.6234300267414
154,-228.58704913648833
155,-68.36095182648364
156,-105.7132740992367
157,-66.84424013282097
158,-337.37931930279325
159,-63.400190828764295
160,-113.67281130255184
161,-308.1010833387404
162,-294.34521245949617
163,-297.5788365503455
164,-91.40384635619536
165,-143.41517057620652
166,-221.53761739132818
167,-353.025733643437
168,-42.557178121580804
169,-351.28071101944676
170,-305.5938071238065
171,-161.56822182733228
172,-88.2051164276028
173,-195.7760655446936
174,-67.1490152686784
175,-59.5058721065202
176,-75.94388514340223
177,-157.18185594285055
178,-94.12662654787553
179,-166.3743591075496
180,-113.12564210197452
181,-53.961895956919776
182,-245.61535446214523
183,-36.697715664898624
184,-99.31291539399699
185,-139.43448509221275
186,-179.7514243190463
187,-347.18520792209495
188,-127.25765977303186
189,-201.41109657797602
190,-96.98565593904277
191,-55.741511418264
192,-52.798876383241975
193,-274.85471213256244
194,-511.11484156017434
195,-132.62483021783333
196,-110.31760712820818
197,-101.74006134528429
198,-216.16432138418395
199,-177.0992685113182
200,-133.89259760497458
201,-142.1192879413664
202,-350.48509229358297
203,-114.85622076105514
204,-305.3591891563524
205,-101.53960857520212
206,-54.718871125620765
