episodes,rewards
0,-125.19733119950345
1,-122.12875164553435
2,-209.889214029242
3,-112.15275934734495
4,-79.80667048819353
5,-131.32657486762122
6,-337.6450591481616
7,-280.24211869542205
8,-94.50024031491847
9,-184.95354688321012
10,-206.2039002039184
11,-279.702449994143
12,-135.1348528093111
13,-122.9902025277485
14,-147.90226123394064
15,-83.29867674867602
16,-177.4662906246406
17,-264.0883865481568
18,-264.459269437784
19,-103.71916131173964
20,-144.22905848491646
21,-339.2989649571966
22,-58.21951130753574
23,-73.52426837568561
24,-101.46781882594493
25,-323.4480655504358
26,-51.07447169321167
27,-198.58325812306947
28,-102.95097241512437
29,-93.97810673377205
30,-92.3235130836783
31,-131.13753646302573
32,-195.84240684322225
33,-81.02288259318813
34,-349.761277338356
35,-371.9186886746313
36,-216.57561563634425
37,-343.54102576717554
38,-149.1748672255845
39,-242.735975341881
40,-74.1137503216809
41,-117.24125876963647
42,-271.6347100227363
43,-96.8854846281924
44,-228.05173786412084
45,-276.23968730444983
46,-180.3210100712314
47,-477.78733647217575
48,-59.55423479852419
49,-148.3157795619739
50,-79.09592634901854
51,-150.86471513804017
52,-102.61039881661969
53,-211.60681732936246
54,-100.3932885369068
55,-336.0756764372029
56,-121.56676579841572
57,-196.7911277191021
58,-108.88469452843532
59,-251.51496467244448
60,-359.823016868739
61,-154.26933205101452
62,-101.74575475318845
63,-316.2340379422616
64,-63.24630269059526
65,-89.57300583002747
66,-93.59506378945522
67,-440.85169712359243
68,-55.01843967502641
69,8.61911401801271
70,-341.36403724432074
71,-226.3591581741581
72,-39.2578854329913
73,-343.69241611971034
74,-26.914166540971735
75,-272.16394737628724
76,-121.4914002198566
77,-42.30347658141632
78,-370.0922331375588
79,-321.71724445691973
80,-48.596504468139585
81,-68.82432980603707
82,-295.47164679480386
83,6.000381554300617
84,-86.89596672144258
85,-89.38011825797378
86,48.37573797591901
87,-102.99496378722876
88,-72.59627980244267
89,-178.38016276795008
90,-98.92977402844954
91,-189.02484526486424
92,-93.05556525440318
93,-70.92301993944224
94,-177.85402744179635
95,-166.2116775203848
96,-113.29705876497412
97,-132.0142902102544
98,-21.53907611885576
99,-79.20932996305932
100,-66.70510618961032
101,-277.9062422020404
102,-64.50957518357922
103,-55.31863479621855
104,-238.64131580355433
105,-119.55875037009193
106,-95.42644670255768
107,-254.2980423329678
