episodes,rewards
0,15
1,14
2,11
3,9
4,9
5,9
6,9
7,10
8,10
9,9
10,9
11,11
12,14
13,8
14,11
15,10
16,15
17,12
18,10
19,13
20,9
21,11
22,9
23,11
24,13
25,9
26,13
27,12
28,11
29,11
30,13
31,10
32,13
33,10
34,14
35,10
36,15
37,13
38,14
39,9
40,14
41,15
42,15
43,17
44,10
45,19
46,15
47,18
48,23
49,17
50,17
51,17
52,27
53,23
54,14
55,15
56,25
57,37
58,20
59,24
60,33
61,52
62,69
63,70
64,112
65,59
66,48
67,65
68,35
69,64
70,79
71,85
72,66
73,43
74,35
75,65
76,50
77,56
78,61
79,30
80,54
81,54
82,84
83,92
84,209
85,100
86,159
87,85
88,151
89,166
90,209
91,119
92,81
93,67
94,118
95,107
96,71
97,106
98,105
99,86
100,88
101,77
102,96
103,126
104,133
105,141
106,286
107,187
108,322
109,29
110,95
111,148
112,52
113,152
114,261
115,73
116,105
117,241
118,192
119,72
120,198
121,175
122,190
123,154
124,170
125,262
126,54
127,154
128,157
129,133
130,80
131,99
132,149
133,60
134,160
135,171
136,63
137,98
138,168
139,105
140,110
141,101
142,103
143,114
144,103
145,39
146,38
147,25
148,31
149,34
150,31
151,28
152,31
153,37
154,32
155,32
156,25
157,28
158,39
159,36
160,42
161,32
162,57
163,70
164,68
165,49
166,47
167,47
168,50
169,75
170,56
171,55
172,101
173,81
174,162
175,96
176,78
177,90
178,122
179,202
180,116
181,127
182,91
183,133
184,130
185,142
186,150
187,289
188,304
189,174
190,94
191,181
192,87
193,208
194,99
195,122
196,107
197,134
198,146
199,136
200,128
201,171
202,161
203,195
204,131
205,161
206,132
207,157
208,205
209,150
210,140
211,119
212,116
213,144
214,192
215,320
216,169
217,299
218,118
219,166
220,128
221,145
222,144
223,119
224,188
225,287
226,118
227,81
228,128
229,134
230,124
231,99
232,141
233,251
234,118
235,145
236,132
237,109
238,130
239,121
240,143
241,125
242,159
243,189
244,193
245,127
246,141
247,176
248,103
249,299
250,182
251,130
252,171
253,183
254,112
255,287
256,216
257,191
258,135
259,233
260,164
261,182
262,97
263,178
264,176
265,414
266,145
267,172
268,233
269,188
270,154
271,158
272,196
273,267
274,247
275,177
276,137
277,114
278,110
279,196
280,111
281,378
282,103
283,198
284,142
285,414
286,414
287,109
288,174
289,103
290,105
291,234
292,256
293,94
294,233
295,378
296,173
297,109
298,94
299,86
