episodes,rewards
0,65.0
1,27.0
2,11.0
3,39.0
4,23.0
5,10.0
6,14.0
7,32.0
8,11.0
9,37.0
10,17.0
11,21.0
12,68.0
13,56.0
14,31.0
15,17.0
16,35.0
17,55.0
18,37.0
19,23.0
20,92.0
21,22.0
22,35.0
23,60.0
24,169.0
25,227.0
26,83.0
27,215.0
28,307.0
29,220.0
30,285.0
31,221.0
32,259.0
33,312.0
34,199.0
35,243.0
36,373.0
37,268.0
38,222.0
39,251.0
40,415.0
41,356.0
42,246.0
43,254.0
44,222.0
45,211.0
46,226.0
47,231.0
48,248.0
49,240.0
50,344.0
51,268.0
52,242.0
53,275.0
54,207.0
55,251.0
56,233.0
57,237.0
58,251.0
59,205.0
60,224.0
61,256.0
62,249.0
63,292.0
64,302.0
65,255.0
66,214.0
67,282.0
68,286.0
69,262.0
70,352.0
71,269.0
72,334.0
73,212.0
74,30.0
75,123.0
76,134.0
77,58.0
78,208.0
79,167.0
80,293.0
81,178.0
82,297.0
83,254.0
84,210.0
85,200.0
86,292.0
87,205.0
88,218.0
89,240.0
90,441.0
91,219.0
92,201.0
93,362.0
94,253.0
95,184.0
96,220.0
97,192.0
98,241.0
99,75.0
100,167.0
101,163.0
102,414.0
103,216.0
104,236.0
105,309.0
106,238.0
107,372.0
108,298.0
109,330.0
110,256.0
111,265.0
112,205.0
113,247.0
114,213.0
115,255.0
116,192.0
117,173.0
118,217.0
119,179.0
120,158.0
121,161.0
122,264.0
123,286.0
124,167.0
125,163.0
126,162.0
127,173.0
128,236.0
129,100.0
130,29.0
131,48.0
132,464.0
133,218.0
134,224.0
135,236.0
136,212.0
137,287.0
138,248.0
139,210.0
140,295.0
141,500.0
142,267.0
143,415.0
144,439.0
145,500.0
146,324.0
147,200.0
148,140.0
149,145.0
150,160.0
151,134.0
152,152.0
153,182.0
154,167.0
155,183.0
156,195.0
157,294.0
158,235.0
159,308.0
160,223.0
161,241.0
162,182.0
163,190.0
164,196.0
165,199.0
166,214.0
167,185.0
168,139.0
169,139.0
170,161.0
171,152.0
172,176.0
173,140.0
174,46.0
175,9.0
176,11.0
177,10.0
178,9.0
179,9.0
180,9.0
181,36.0
182,210.0
