episodes,rewards
0,14.0
1,14.0
2,12.0
3,17.0
4,12.0
5,14.0
6,10.0
7,24.0
8,13.0
9,14.0
10,14.0
11,63.0
12,29.0
13,17.0
14,18.0
15,12.0
16,24.0
17,84.0
18,68.0
19,52.0
20,27.0
21,11.0
22,29.0
23,32.0
24,32.0
25,62.0
26,33.0
27,14.0
28,16.0
29,27.0
30,75.0
31,78.0
32,12.0
33,30.0
34,31.0
35,26.0
36,28.0
37,22.0
38,66.0
39,35.0
40,95.0
41,71.0
42,47.0
43,30.0
44,27.0
45,54.0
46,22.0
47,47.0
48,84.0
49,62.0
50,169.0
51,61.0
52,85.0
53,55.0
54,107.0
55,15.0
56,174.0
57,130.0
58,99.0
59,77.0
60,118.0
61,124.0
62,97.0
63,145.0
64,146.0
65,169.0
66,154.0
67,231.0
68,218.0
69,175.0
70,185.0
71,140.0
72,179.0
73,187.0
74,279.0
75,181.0
76,175.0
77,168.0
78,272.0
79,168.0
80,222.0
81,240.0
82,394.0
83,298.0
84,239.0
85,177.0
86,247.0
87,186.0
88,222.0
89,326.0
90,229.0
91,234.0
92,232.0
93,180.0
94,173.0
95,190.0
96,304.0
97,258.0
98,236.0
99,201.0
100,247.0
101,242.0
102,227.0
103,172.0
104,248.0
105,243.0
106,193.0
107,305.0
108,366.0
109,269.0
110,285.0
111,255.0
112,267.0
113,258.0
114,204.0
115,222.0
116,195.0
117,190.0
118,186.0
119,169.0
120,171.0
121,170.0
122,159.0
123,177.0
124,173.0
125,156.0
126,161.0
127,177.0
128,178.0
129,179.0
130,175.0
131,174.0
132,174.0
133,197.0
134,195.0
135,193.0
136,198.0
137,259.0
138,229.0
139,211.0
140,283.0
141,215.0
142,219.0
143,281.0
144,263.0
145,228.0
146,259.0
147,274.0
148,237.0
149,253.0
150,343.0
151,293.0
152,273.0
153,402.0
154,328.0
155,335.0
156,255.0
157,258.0
158,230.0
159,217.0
160,207.0
161,191.0
162,231.0
163,226.0
164,203.0
165,264.0
166,291.0
167,255.0
168,302.0
169,282.0
170,258.0
171,356.0
172,297.0
173,345.0
174,406.0
175,341.0
176,405.0
177,285.0
178,407.0
179,366.0
180,292.0
181,286.0
182,425.0
183,308.0
184,311.0
185,264.0
186,313.0
187,352.0
188,288.0
189,271.0
190,384.0
191,451.0
192,240.0
193,290.0
194,312.0
195,269.0
196,304.0
197,300.0
198,211.0
199,308.0
200,353.0
201,401.0
202,338.0
203,281.0
204,283.0
205,243.0
206,353.0
207,221.0
208,272.0
209,286.0
210,231.0
211,354.0
212,277.0
213,288.0
214,392.0
215,302.0
216,249.0
217,292.0
218,273.0
219,309.0
220,282.0
221,269.0
222,245.0
223,351.0
224,249.0
225,270.0
226,358.0
227,345.0
228,273.0
229,307.0
230,316.0
231,494.0
232,283.0
233,359.0
234,233.0
235,264.0
236,272.0
237,408.0
238,243.0
239,357.0
240,324.0
241,312.0
242,305.0
243,431.0
244,295.0
245,287.0
246,375.0
247,340.0
248,258.0
249,291.0
250,314.0
251,300.0
252,300.0
253,483.0
254,267.0
255,240.0
256,409.0
257,287.0
258,297.0
259,323.0
260,366.0
261,304.0
262,298.0
263,316.0
264,281.0
265,314.0
266,282.0
267,277.0
268,413.0
269,261.0
270,260.0
271,322.0
272,244.0
273,306.0
274,243.0
275,287.0
276,303.0
277,231.0
278,240.0
279,324.0
280,287.0
281,313.0
282,381.0
283,269.0
284,294.0
285,248.0
286,369.0
287,281.0
288,377.0
289,395.0
290,268.0
291,331.0
292,406.0
293,370.0
294,271.0
295,295.0
296,381.0
297,308.0
298,421.0
299,271.0
