episodes,rewards
0,70.0
1,34.0
2,38.0
3,26.0
4,42.0
5,13.0
6,31.0
7,22.0
8,17.0
9,31.0
10,27.0
11,21.0
12,15.0
13,23.0
14,17.0
15,19.0
16,23.0
17,27.0
18,25.0
19,43.0
20,21.0
21,30.0
22,106.0
23,16.0
24,126.0
25,154.0
26,102.0
27,150.0
28,181.0
29,85.0
30,340.0
31,307.0
32,324.0
33,389.0
34,336.0
35,272.0
36,400.0
37,298.0
38,264.0
39,332.0
40,465.0
41,500.0
42,500.0
43,476.0
44,500.0
45,500.0
46,374.0
47,404.0
48,500.0
49,500.0
50,500.0
51,500.0
52,500.0
53,500.0
54,500.0
55,480.0
56,466.0
57,433.0
58,500.0
59,500.0
60,500.0
61,361.0
62,430.0
63,401.0
64,413.0
65,404.0
66,359.0
67,417.0
68,370.0
69,250.0
70,374.0
71,399.0
72,372.0
73,360.0
74,368.0
75,367.0
76,365.0
77,319.0
78,254.0
79,313.0
80,308.0
81,303.0
82,340.0
83,386.0
84,466.0
85,353.0
86,214.0
87,400.0
88,194.0
89,222.0
90,395.0
91,256.0
92,500.0
93,350.0
94,389.0
95,289.0
96,325.0
97,346.0
98,356.0
99,309.0
100,406.0
101,372.0
102,500.0
103,489.0
104,500.0
105,226.0
106,500.0
107,481.0
108,500.0
109,500.0
110,468.0
111,412.0
112,500.0
113,500.0
114,417.0
115,452.0
116,500.0
117,475.0
118,458.0
119,500.0
120,500.0
121,390.0
122,464.0
123,425.0
124,423.0
125,426.0
126,392.0
127,418.0
128,422.0
129,486.0
130,488.0
131,443.0
132,434.0
133,346.0
134,340.0
135,367.0
136,319.0
137,278.0
138,266.0
139,222.0
140,265.0
141,248.0
142,211.0
143,183.0
144,214.0
145,183.0
146,197.0
147,175.0
148,150.0
149,234.0
150,217.0
151,210.0
152,182.0
153,146.0
154,163.0
155,123.0
156,150.0
157,156.0
158,397.0
159,152.0
160,146.0
161,136.0
162,24.0
163,136.0
164,18.0
165,61.0
166,104.0
167,132.0
168,150.0
169,102.0
170,127.0
171,156.0
172,218.0
173,119.0
174,101.0
175,99.0
176,124.0
177,117.0
178,97.0
179,227.0
180,158.0
181,146.0
182,152.0
183,153.0
184,265.0
185,135.0
186,172.0
187,117.0
188,236.0
189,245.0
190,142.0
191,211.0
192,208.0
193,204.0
194,131.0
195,210.0
196,249.0
197,283.0
198,254.0
199,239.0
200,264.0
201,197.0
202,184.0
203,187.0
204,238.0
205,192.0
206,190.0
207,210.0
208,211.0
209,193.0
210,189.0
211,192.0
212,177.0
213,168.0
214,193.0
215,227.0
216,187.0
217,169.0
218,197.0
219,207.0
220,170.0
221,200.0
222,176.0
223,149.0
224,186.0
225,135.0
226,186.0
227,179.0
228,186.0
229,178.0
230,225.0
231,187.0
232,216.0
233,173.0
234,176.0
235,190.0
236,183.0
237,229.0
238,172.0
239,226.0
240,229.0
241,299.0
242,208.0
243,250.0
244,431.0
245,286.0
246,276.0
247,153.0
248,162.0
249,157.0
250,172.0
251,234.0
252,197.0
253,206.0
254,134.0
255,144.0
256,169.0
257,168.0
258,167.0
259,170.0
260,149.0
261,164.0
262,164.0
263,271.0
264,166.0
265,145.0
266,189.0
267,150.0
268,145.0
269,155.0
270,160.0
271,177.0
272,176.0
273,158.0
274,253.0
275,200.0
276,204.0
277,176.0
278,182.0
279,120.0
280,188.0
281,170.0
282,310.0
283,172.0
284,170.0
285,187.0
286,248.0
287,186.0
288,264.0
289,500.0
290,263.0
291,207.0
292,126.0
293,174.0
294,181.0
295,217.0
296,305.0
297,171.0
298,178.0
299,275.0
