episodes,rewards
0,50.0
1,15.0
2,21.0
3,22.0
4,58.0
5,16.0
6,12.0
7,21.0
8,11.0
9,25.0
10,17.0
11,14.0
12,13.0
13,14.0
14,39.0
15,36.0
16,13.0
17,50.0
18,32.0
19,20.0
20,83.0
21,17.0
22,28.0
23,10.0
24,20.0
25,23.0
26,105.0
27,26.0
28,45.0
29,17.0
30,45.0
31,35.0
32,48.0
33,32.0
34,122.0
35,43.0
36,79.0
37,71.0
38,72.0
39,133.0
40,172.0
41,66.0
42,191.0
43,301.0
44,75.0
45,132.0
46,98.0
47,324.0
48,465.0
49,298.0
50,271.0
51,202.0
52,279.0
53,235.0
54,448.0
55,234.0
56,328.0
57,217.0
58,317.0
59,279.0
60,186.0
61,349.0
62,295.0
63,374.0
64,294.0
65,270.0
66,321.0
67,343.0
68,216.0
69,153.0
70,247.0
71,345.0
72,336.0
73,192.0
74,275.0
75,263.0
76,355.0
77,207.0
78,182.0
79,131.0
80,223.0
81,282.0
82,395.0
83,241.0
84,262.0
85,225.0
86,276.0
87,346.0
88,254.0
89,339.0
90,220.0
91,325.0
92,265.0
93,380.0
94,286.0
95,268.0
96,292.0
97,379.0
98,297.0
99,405.0
100,363.0
101,355.0
102,335.0
103,310.0
104,350.0
105,268.0
106,260.0
107,275.0
108,346.0
109,256.0
110,344.0
111,362.0
112,244.0
113,424.0
114,279.0
115,310.0
116,364.0
117,401.0
118,265.0
119,293.0
120,322.0
121,262.0
122,264.0
123,500.0
124,306.0
125,309.0
126,377.0
127,326.0
128,277.0
129,297.0
130,251.0
131,305.0
132,240.0
133,232.0
134,259.0
135,239.0
136,323.0
137,352.0
138,279.0
139,332.0
140,292.0
141,306.0
142,329.0
143,431.0
144,298.0
145,358.0
146,305.0
147,500.0
148,240.0
149,257.0
150,355.0
151,500.0
152,367.0
153,275.0
154,257.0
155,273.0
156,296.0
157,243.0
158,318.0
159,277.0
160,229.0
161,500.0
162,285.0
163,233.0
164,364.0
165,364.0
166,433.0
167,430.0
168,294.0
169,294.0
170,426.0
171,304.0
172,348.0
173,386.0
174,369.0
175,298.0
176,311.0
177,315.0
178,307.0
179,452.0
180,303.0
181,327.0
182,384.0
183,380.0
184,385.0
185,304.0
186,414.0
187,411.0
188,457.0
189,256.0
190,290.0
191,444.0
192,278.0
193,289.0
194,299.0
195,380.0
196,296.0
197,340.0
198,282.0
199,500.0
200,235.0
201,257.0
202,341.0
203,270.0
204,262.0
205,305.0
206,236.0
207,338.0
208,299.0
209,182.0
210,173.0
211,216.0
212,215.0
213,232.0
214,233.0
215,235.0
216,209.0
217,231.0
218,222.0
219,228.0
220,260.0
221,264.0
222,270.0
223,257.0
224,374.0
225,273.0
226,252.0
227,252.0
228,249.0
229,230.0
230,354.0
231,332.0
232,267.0
233,261.0
234,307.0
235,242.0
236,320.0
237,344.0
238,294.0
239,314.0
240,276.0
241,254.0
242,264.0
243,268.0
244,387.0
245,277.0
246,238.0
247,258.0
248,264.0
249,262.0
250,277.0
251,279.0
252,235.0
253,261.0
254,247.0
255,268.0
256,311.0
257,269.0
258,238.0
259,273.0
260,320.0
261,275.0
262,272.0
263,254.0
264,302.0
265,375.0
266,281.0
267,298.0
268,295.0
269,319.0
270,310.0
271,346.0
272,311.0
273,269.0
274,244.0
275,341.0
276,280.0
277,248.0
278,310.0
279,264.0
280,257.0
281,283.0
282,304.0
283,243.0
284,288.0
285,265.0
286,270.0
287,236.0
288,340.0
289,278.0
290,428.0
291,239.0
292,282.0
293,260.0
294,275.0
295,308.0
296,268.0
297,278.0
298,276.0
299,464.0
