episodes,rewards
0,89
1,89
2,83
3,54
4,106
5,74
6,62
7,63
8,65
9,84
10,75
11,87
12,108
13,134
14,119
15,86
16,99
17,150
18,101
19,143
20,94
21,82
22,106
23,61
24,54
25,95
26,60
27,99
28,72
29,62
30,85
31,79
32,61
33,75
34,80
35,58
36,76
37,90
38,88
39,90
40,112
41,118
42,122
43,72
44,93
45,109
46,89
47,109
48,95
49,88
50,119
51,183
52,192
53,187
54,98
55,218
56,116
57,222
58,139
59,90
60,135
61,85
62,101
63,113
64,113
65,86
66,66
67,106
68,66
69,85
70,88
71,85
72,60
73,82
74,89
75,62
76,66
77,90
78,90
79,84
80,96
81,53
82,54
83,84
84,82
85,74
86,77
87,81
88,86
89,81
90,70
91,94
92,77
93,67
94,53
95,69
96,71
97,81
98,80
99,80
100,68
101,61
102,59
103,78
104,79
105,56
106,69
107,100
108,106
109,68
110,60
111,86
112,97
113,99
114,75
115,78
116,87
117,63
118,67
119,64
120,84
121,77
122,64
123,61
124,71
125,59
126,50
127,70
128,72
129,74
130,91
131,93
132,60
133,82
134,53
135,56
136,74
137,51
138,69
139,61
140,54
141,83
142,73
143,68
144,65
145,101
146,65
147,87
148,58
149,83
150,65
151,65
152,83
153,106
154,68
155,59
156,75
157,79
158,82
159,78
160,71
161,91
162,71
163,108
164,109
165,116
166,148
167,92
168,98
169,101
170,59
171,119
172,87
173,91
174,111
175,116
176,70
177,112
178,92
179,76
180,145
181,105
182,114
183,65
184,93
185,140
186,68
187,96
188,80
189,81
190,72
191,57
192,73
193,63
194,74
195,97
196,58
197,83
198,85
199,103
200,101
201,74
202,69
203,75
204,77
205,81
206,93
207,102
208,114
209,94
210,111
211,77
212,94
213,87
214,80
215,172
216,86
217,139
218,96
219,99
220,110
221,84
222,105
223,84
224,74
225,72
226,118
227,108
228,108
229,115
230,97
231,87
232,90
233,93
234,62
235,64
236,71
237,94
238,90
239,90
240,61
241,78
242,84
243,51
244,57
245,83
246,82
247,65
248,59
249,85
250,91
251,67
252,51
253,86
254,100
255,58
256,65
257,70
258,64
259,93
260,74
261,95
262,105
263,60
264,120
265,72
266,110
267,63
268,162
269,88
270,105
271,80
272,74
273,83
274,92
275,107
276,98
277,94
278,107
279,70
280,125
281,113
282,120
283,103
284,104
285,72
286,110
287,162
288,82
289,127
290,83
291,103
292,118
293,138
294,106
295,95
296,124
297,83
298,96
299,83
