episodes,rewards
0,36.0
1,19.0
2,17.0
3,47.0
4,12.0
5,16.0
6,14.0
7,14.0
8,23.0
9,14.0
10,24.0
11,16.0
12,26.0
13,25.0
14,59.0
15,37.0
16,29.0
17,14.0
18,21.0
19,105.0
20,41.0
21,13.0
22,34.0
23,17.0
24,76.0
25,39.0
26,15.0
27,37.0
28,32.0
29,67.0
30,25.0
31,46.0
32,19.0
33,77.0
34,76.0
35,61.0
36,79.0
37,121.0
38,66.0
39,91.0
40,62.0
41,132.0
42,65.0
43,193.0
44,115.0
45,82.0
46,107.0
47,120.0
48,119.0
49,121.0
50,189.0
51,106.0
52,104.0
53,139.0
54,115.0
55,102.0
56,107.0
57,159.0
58,86.0
59,143.0
60,109.0
61,129.0
62,172.0
63,249.0
64,214.0
65,142.0
66,126.0
67,215.0
68,210.0
69,161.0
70,136.0
71,120.0
72,107.0
73,115.0
74,152.0
75,157.0
76,180.0
77,137.0
78,114.0
79,196.0
80,144.0
81,129.0
82,119.0
83,148.0
84,250.0
85,126.0
86,135.0
87,311.0
88,226.0
89,221.0
90,143.0
91,151.0
92,152.0
93,222.0
94,180.0
95,148.0
96,126.0
97,185.0
98,142.0
99,154.0
100,231.0
101,189.0
102,158.0
103,193.0
104,123.0
105,178.0
106,128.0
107,220.0
108,161.0
109,211.0
110,184.0
111,258.0
112,182.0
113,323.0
114,207.0
115,190.0
116,185.0
117,162.0
118,253.0
119,266.0
120,191.0
121,255.0
122,266.0
123,212.0
124,253.0
125,197.0
126,164.0
127,182.0
128,301.0
129,311.0
130,191.0
131,262.0
132,216.0
133,202.0
134,241.0
135,182.0
136,500.0
137,388.0
138,270.0
139,277.0
140,211.0
141,305.0
142,197.0
143,212.0
144,174.0
145,313.0
146,275.0
147,325.0
148,226.0
149,500.0
150,302.0
151,241.0
152,251.0
153,193.0
154,328.0
155,214.0
156,260.0
157,302.0
158,222.0
159,296.0
160,208.0
161,209.0
162,201.0
163,240.0
164,203.0
165,171.0
166,202.0
167,201.0
168,207.0
169,188.0
170,196.0
171,234.0
172,311.0
173,286.0
174,230.0
175,326.0
176,224.0
177,199.0
178,185.0
179,194.0
180,192.0
181,178.0
182,173.0
183,296.0
184,283.0
185,253.0
186,172.0
187,178.0
188,166.0
189,176.0
190,211.0
191,194.0
192,234.0
193,172.0
194,189.0
195,59.0
196,21.0
197,51.0
198,239.0
199,239.0
200,201.0
201,198.0
202,206.0
203,184.0
204,206.0
205,195.0
206,203.0
207,253.0
208,214.0
209,178.0
210,222.0
211,181.0
212,180.0
213,176.0
214,167.0
215,229.0
216,234.0
217,239.0
218,196.0
219,190.0
220,258.0
221,191.0
222,166.0
223,189.0
224,214.0
225,188.0
226,204.0
227,195.0
228,204.0
229,204.0
230,184.0
231,185.0
232,189.0
233,183.0
234,192.0
235,166.0
236,193.0
237,151.0
238,177.0
239,190.0
240,195.0
241,173.0
242,181.0
243,184.0
244,177.0
245,177.0
246,166.0
247,166.0
248,168.0
249,175.0
250,159.0
251,196.0
252,186.0
253,177.0
254,178.0
255,183.0
256,175.0
257,188.0
258,185.0
259,187.0
260,195.0
261,222.0
262,199.0
263,188.0
264,193.0
265,194.0
266,182.0
267,193.0
268,165.0
269,189.0
270,186.0
271,202.0
272,174.0
273,166.0
274,164.0
275,211.0
276,174.0
277,209.0
278,185.0
279,160.0
280,182.0
281,169.0
282,149.0
283,144.0
284,157.0
285,195.0
286,178.0
287,195.0
288,371.0
289,192.0
290,179.0
291,169.0
292,214.0
293,190.0
294,184.0
295,249.0
296,257.0
297,157.0
298,217.0
299,197.0
