episodes,rewards
0,-107.85922745494345
1,-205.97680786842017
2,-273.2804860894147
3,-105.21948678193212
4,-115.11923434733741
5,-216.94791188794449
6,-579.9799034487733
7,-340.42759210822794
8,-113.7322347793196
9,-149.37433300913062
10,-137.613344393857
11,-95.76792824974098
12,-353.4072678218186
13,-140.95723473453882
14,-253.63966115241436
15,-264.93920518772217
16,-225.89884341589539
17,-86.50359419708685
18,-79.29140860974135
19,-110.22095746764684
20,-133.26034414778636
21,-388.9587211069273
22,-156.9420483962363
23,-225.82076578693056
24,-105.5001167170087
25,-184.86903491830753
26,-90.65427337934658
27,-195.87818117977318
28,-153.76997795666648
29,-295.83811577314395
30,-165.0911288124454
31,-105.99448090952028
32,-100.51837031079653
33,-121.45498283511526
34,-113.69221913425504
35,-146.32584582965006
36,-105.90258414605277
37,-151.84807018777502
38,-90.19543410071722
39,-161.18768044439747
40,-112.55626145867865
41,-210.29874897393404
42,-112.63579061268221
43,-113.19173981085689
44,-112.60183013706968
45,-97.62357109827191
46,-127.21193177314561
47,-239.2327663270763
48,-413.18205847505413
49,-335.49011045276785
50,-207.99032478486637
51,-150.50046490677133
52,-26.899268773381564
53,-223.93369547283874
54,-175.79097025547094
55,-137.0755573586467
56,-339.9600972334677
57,-237.901664827777
58,-141.70478819007695
59,16.40228489547134
60,-116.84760640677187
61,-148.153609176424
62,5.506197430285553
63,-338.43506022165377
64,-78.65457260830524
65,-145.86487060549672
66,-107.34952546186076
67,-99.46049742707906
68,-170.48424078812178
69,-66.70393808572183
70,-143.04870808722654
71,-304.8601235848138
72,-173.56224739174763
73,-208.05233450498133
74,-233.98937933976552
75,-67.99032866790354
76,-238.31777622143997
77,-66.69155113374518
78,-83.44707872214306
79,-100.7960859653186
80,-247.51247792354633
81,-144.12585269729462
82,-113.45038410900648
83,-110.51742342340441
84,-184.8430686027968
85,-112.20567854208997
86,-164.13541038152522
87,-81.00657777532003
88,-155.48805977718382
89,-57.84909130545955
90,-6.753313412494819
91,-50.02504713397246
92,-129.24760936740302
93,-137.54497281741558
94,-91.00599413432143
95,-119.2660224552314
96,-106.81206484497426
97,-78.64616950296883
98,-96.21139186196737
99,-177.04621111254417
100,-318.77322358954035
101,-182.9106206483039
102,-141.32194750247268
103,-311.84102404914427
104,-107.37080411017298
105,-42.54247995224882
106,-165.30263739636283
107,-413.3204127156347
108,-206.2890412766384
109,-409.0015570667131
110,-254.43496065811698
111,2.0721259623370116
112,-730.4035398858546
113,-137.17956136355315
114,-268.62695048349565
115,-229.44425555232954
116,-37.49299212671086
117,-56.67023727729318
118,-48.07046912235554
119,-94.47220484423285
120,-57.99598632938026
121,-243.5643948048414
122,-106.43621181212012
123,-377.5019810675505
124,-23.43649270914004
125,-52.0759203672725
126,-152.23721671599014
127,-242.73229944677246
128,-187.3475498714965
129,-103.87498583083797
130,-58.12185712732517
131,-41.461513677289005
132,-57.333313710029394
133,-111.02176883714559
134,-7.870194903380707
135,-425.9094147224913
136,-191.73114092104655
137,-215.22275638114496
138,-553.8539698400062
139,-107.45270980082219
140,-270.56589384777556
141,-276.85051769239476
142,-200.1373607059357
143,-165.72999381669976
144,-481.63723239108583
145,-105.14379893086442
146,-22.09421352072772
147,-187.2161841352511
148,-191.80632391468822
149,-372.8164666271986
150,-619.4894236136879
151,-259.81263443329175
152,-285.6130627140061
153,-763.9894512495744
154,-77.17438318775112
155,-164.51040117517104
156,-443.3054314225706
157,-546.4569156425327
158,-6.085968453827164
159,-156.2335397565774
160,-422.5755009989862
161,10.482907741874584
162,-2.0271534938340494
163,-104.70870325066457
164,-296.7555525809555
165,-272.4864742372547
166,-609.686103470268
167,-262.0762119309187
168,-386.4863627288369
169,-525.9521510522908
170,-456.35208289837357
171,-315.33908518885573
172,-242.05118443321598
173,-314.38240729747486
174,-188.87813507990268
175,-285.2886715193529
176,-331.9545623046712
177,-449.22496022890743
178,-784.8414561540145
179,-637.9037980728436
180,-110.69331665537999
181,-572.9586183970864
182,-226.6517457631166
183,-181.54150225922893
184,-32.43463209597833
185,-334.3532811221979
186,-465.67784446376913
187,-76.5235400917977
188,-17.443018226870237
189,-83.2695007709298
190,-176.62016294447693
191,-131.13356705169514
192,-354.87618718685235
193,-292.5157151891884
194,-73.42296206150422
195,-242.7516552028462
196,-60.63005009254946
197,-177.939545981208
198,-132.78176378437007
199,-312.329724217734
200,-296.85484377210526
201,-89.48089040007592
202,-187.45832702912702
203,-63.86502521460896
204,-368.4786615781782
205,-26.411569298518685
206,-338.89931038120983
207,-53.05618467916162
208,-47.75188230641518
209,-72.64861671855259
210,-295.3247614840507
211,-34.723296955138025
212,-42.46865286871717
213,-303.49222022415404
214,-107.29512976684416
215,-49.06405514877295
216,-204.59756372807655
217,-35.36031893618497
218,-104.27517343554982
219,-95.0282807515971
220,-232.36361121247353
221,-303.4913201833968
222,-305.2359336770271
223,-124.44115549530531
224,-254.94091890407952
225,-146.48283026685186
226,-123.13338856112296
227,-109.61665589547947
228,22.245878168924477
229,-82.18298801441959
230,-8.88074866187587
231,-300.0737348720851
232,-142.69258361375825
233,-64.90232838151051
234,-338.30391661767123
235,-120.87712375836361
236,-157.265203729951
237,-171.48928699872508
238,-564.7056113184176
239,-78.09380521964604
240,-69.43607772821645
241,-323.66248711095795
242,-360.0738435505717
243,-248.7148139633968
244,-258.0835404016043
245,-390.69305230543546
246,-21.76624782075443
247,-337.19043614986333
248,-345.17960081937315
249,-117.4193581817721
250,-322.0509247683952
251,-29.99485700200715
252,-442.40566277567854
253,-95.20920946451238
254,-58.56469982160489
255,-323.81880435078824
256,-103.32304628043761
257,-125.57035131216622
258,-291.32428607168407
259,-226.87844848560582
260,-287.27229249072377
261,-264.2106320615352
262,36.77021369173244
263,-268.5937861047295
264,-248.97341805697994
265,-156.27785396832067
266,-282.3165716959914
267,-261.2103499103616
268,-49.06654951187876
269,-43.27467257362516
270,4.665795943115754
271,-385.4324567107037
272,-312.67567931450634
273,-199.37958320610124
274,-67.71996071115495
275,-361.6570085111585
276,-267.92323325007106
277,-281.1936055709061
278,-27.909533399617914
279,-291.35251936161137
280,-44.33172502950683
281,-49.797743884541276
282,-114.12736536326669
283,-245.7182134676583
284,-49.342297103865256
285,15.17121451724347
286,-205.5301822951873
287,-421.1458046798757
288,-172.42027908997335
289,-188.34052105672043
290,-17.886795195825528
291,-36.14958191281393
292,-225.87225128643868
293,-12.836250727424513
294,-73.02943764637666
295,-115.67950648929775
296,-116.37309879456168
297,-70.45712271594608
298,-219.0317565173973
299,-236.3288811568155
