episodes,rewards
0,9
1,8
2,9
3,9
4,8
5,9
6,8
7,8
8,9
9,9
10,9
11,8
12,7
13,9
14,8
15,9
16,9
17,9
18,8
19,9
20,9
21,9
22,8
23,9
24,9
25,8
26,9
27,9
28,7
29,9
30,9
31,8
32,8
33,9
34,9
35,8
36,9
37,9
38,8
39,8
40,9
41,7
42,8
43,9
44,9
45,9
46,9
47,8
48,9
49,9
50,7
51,7
52,9
53,8
54,8
55,9
56,8
57,9
58,7
59,9
60,9
61,8
62,9
63,9
64,8
65,9
66,8
67,7
68,8
69,8
70,8
71,9
72,9
73,8
74,9
75,9
76,8
77,8
78,7
79,8
80,8
81,7
82,8
83,9
84,7
85,8
86,9
87,8
88,9
89,7
90,9
91,7
92,9
93,7
94,8
95,9
96,9
97,7
98,8
99,9
100,8
101,9
102,8
103,8
104,8
105,9
106,8
107,9
108,8
109,8
110,8
111,8
112,9
113,8
114,9
115,9
116,8
117,8
118,7
119,7
120,8
121,8
122,9
123,9
124,8
125,9
126,8
127,8
128,8
129,8
130,9
131,8
132,9
133,7
134,8
135,9
136,8
137,9
138,8
139,9
140,8
141,7
142,8
143,8
144,9
145,8
146,8
147,8
148,8
149,8
150,9
151,8
152,8
153,7
154,9
155,7
156,9
157,9
158,8
159,9
160,8
161,8
162,9
163,9
164,9
165,9
166,8
167,9
168,8
169,8
170,8
171,7
172,9
173,8
174,8
175,10
176,8
177,7
178,9
179,9
180,8
181,8
182,8
183,9
184,9
185,8
186,9
187,9
188,10
189,8
190,7
191,9
192,9
193,8
194,9
195,7
196,9
197,8
198,9
199,9
200,8
201,8
202,8
203,9
204,9
205,9
206,8
207,9
208,8
209,9
210,9
211,9
212,8
213,9
214,9
215,9
216,7
217,10
218,9
219,8
220,9
221,9
222,8
223,9
224,8
225,7
226,8
227,9
228,9
229,9
230,9
231,7
232,8
233,8
234,9
235,8
236,8
237,8
238,8
239,8
240,8
241,8
242,9
243,8
244,8
245,7
246,9
247,8
248,9
249,8
250,7
251,9
252,9
253,8
254,8
255,8
256,8
257,8
258,9
259,9
260,9
261,8
262,9
263,7
264,9
265,8
266,9
267,8
268,9
269,9
270,8
271,9
272,10
273,8
274,8
275,9
276,8
277,8
278,8
279,9
280,8
281,7
282,7
283,9
284,8
285,9
286,8
287,8
288,9
289,7
290,9
291,7
292,8
293,9
294,8
295,8
296,7
297,7
298,9
299,8
