episodes,rewards
0,-192.63318646855583
1,-132.8271076449587
2,-390.4292508796359
3,-317.7595567920638
4,-42.829033147082626
5,-191.24709925053241
6,-135.42314606694393
7,-382.3849391533217
8,-282.96082716028843
9,-95.7662635077661
10,-60.53960360804362
11,-173.50338860138655
12,-90.12061112156468
13,-55.241713994288425
14,-359.0119654249427
15,-69.82037060076331
16,-66.20560603170496
17,-273.96701625982985
18,-340.5628812376972
19,-49.82491298379746
20,-14.165297446539611
21,-415.46671188632683
22,-540.7540776446174
23,-98.6769939247501
24,-137.58416798427675
25,-535.1314483783542
26,-230.2188358803535
27,-546.8156228410764
28,-673.6374874503662
29,-225.04976953512067
30,-203.96695443016964
31,-458.9772302876365
32,-580.6833193687114
33,-455.62909382338376
34,-643.3513474706132
35,-79.59560523822093
36,-401.69174841176914
37,-501.824134023787
38,-367.06107007779553
39,-107.16722858867196
40,-500.9521242453886
41,-122.90718101588345
42,-270.424850397458
43,-273.7603026738059
44,-144.26765147480384
45,-118.97058162952209
46,-245.9902097284555
47,-126.85152341777993
48,-249.74926718535494
49,-350.17615294088637
50,-330.1089837850326
51,-226.95064708402043
52,-131.64488763439255
53,-62.47944945408615
54,-534.7152256584931
55,-44.80860053314005
56,-51.97496939476677
57,-98.84166829609411
58,-124.20935468269968
59,-433.573455704408
60,-116.56426662024342
61,-387.993773928036
62,-361.2099706208763
63,-57.9952395867231
64,-349.22506023473017
65,-222.1844038470783
66,-320.43466586706137
67,-187.97574257029908
68,-342.54478389663745
69,-472.90574731032103
70,-461.0075002772699
71,-348.42957151392204
72,-60.11132897777943
73,-128.12353945714125
74,-70.15198296814546
75,-83.50134676127263
76,-271.3606658360684
77,-128.13408349564708
78,-237.72319758279548
79,-83.10478040699184
80,-232.28542895969454
81,-135.14555446115162
82,-384.1741731230051
83,-433.8155924439211
84,-146.6424471165816
85,-44.63685878728592
86,-174.38905126763547
87,-103.73415433444887
88,-194.2570295379906
89,-471.52876166060616
90,-85.70640055750063
91,-461.8157911978797
92,-409.6398214839689
93,-84.38395999375415
94,-121.67826282577289
95,-329.6358848917395
96,-202.89682071592352
97,-421.665600710667
98,-182.0921130423373
99,-351.86752836041006
100,-71.43885828245466
101,-253.81410706868684
102,-167.71543981252916
103,-103.13328470235915
104,-139.887082997881
105,-147.77532704487683
106,-237.67431440629167
107,-80.1905810292724
108,-90.7922574415719
109,-78.77720044467728
110,-103.87130657726907
111,-117.46282418506152
112,-430.2208989578818
