episodes,rewards
0,-477.39161628704176
1,-117.35035284917842
2,-124.67101715551772
3,-100.4319261607966
4,-67.53632273644786
5,-188.12824240383566
6,-164.04459180358083
7,-157.33630500343884
8,-123.91091472144323
9,-147.13094162786962
10,-151.6115856816329
11,-81.05810144309548
12,-225.84866257749212
13,-159.39324037484693
14,-287.40663941838125
15,-326.5032093402615
16,-119.01551868964191
17,-171.74156795648426
18,-248.8880964131495
19,-156.07820804615938
20,-88.63209609042997
21,-216.99836953444108
22,-68.4163183876822
23,-122.87513354361988
24,-156.3283864858412
25,-220.43290209446013
26,-298.80971464498464
27,-194.4423408115896
28,-165.56742563983363
29,-268.9522001374287
30,-13.118194504987812
31,-297.4399249641436
32,-140.48760984182806
33,-306.2737205641945
34,-229.91675848671227
35,-268.84981858755043
36,-250.27583673891587
37,-242.05964020965368
38,-84.29947727844025
39,-93.72762524569079
40,-55.45310682642261
41,-113.2261637265353
42,-99.84264812837688
43,-50.42408465518187
44,-172.80633042602102
45,-95.32493618645158
46,-17.173883127191644
47,-54.50654652417961
48,-108.32877569558131
49,-148.3755752543038
50,-77.30976761058204
51,-227.50927114582404
52,-93.34196083334821
53,-78.47420331944063
54,-45.775945018366826
55,-102.09758423020108
56,-113.79515911578943
57,-80.39743195332815
58,-209.59358863136353
59,-268.9204714309003
60,-68.55321153906229
61,-78.90823889244098
62,-154.18685498343228
63,-92.19892217903802
64,-147.95730681890518
65,-343.7655502679334
66,-15.905130152535435
67,-158.84558868381433
68,-96.20761766208784
69,-46.6979795041716
70,-238.0952763001191
71,-114.81537710043858
72,-165.9930012666427
73,-290.4408738197198
74,-252.2422920810337
75,-120.29080853443757
76,-117.4423081608228
77,-93.9228394114498
78,-73.9793443429678
79,-148.94263601005082
80,-149.26064858116752
81,-142.28505518599403
82,-149.59872853643708
83,-127.5109003892714
84,-71.9365787107172
85,-67.00722216875155
86,10.985781159775101
87,-270.07122502553113
88,-60.84347360308686
89,-254.96588454109332
90,-201.69642890942214
91,-99.3456872800427
92,-152.2983680688423
93,-121.09409191343418
94,-80.76988425358644
95,-187.04537949373815
96,-122.41987704064374
97,-101.8907925221314
98,-77.25863416355796
99,-246.93164077642345
100,-190.38270931463674
101,-23.998134444514648
