episodes,rewards
0,-397.8760515119149
1,-145.21801638567365
2,-337.94300248123625
3,-112.72111827935424
4,-355.0493683939189
5,-303.283117680755
6,-308.7612180783296
7,-608.3122361084897
8,-274.5996251404647
9,1.865003748516287
10,-51.14452822356371
11,-214.4105603112131
12,-459.8069837268804
13,-481.82401740861786
14,-229.91379808524988
15,-278.32741783997756
16,-243.0376541323948
17,-255.77774363586738
18,-326.12298136178117
19,-129.22388929322832
20,-72.63717355392996
21,-145.30106199124808
22,-138.46141576095664
23,-132.6762063075678
24,-225.6538021917845
25,-371.20173711434416
26,-46.27980149292105
27,-179.9952036443513
28,-366.9428769320568
29,-16.724326467227314
30,-39.621046147756815
31,-196.72327311187314
32,-37.06359181926713
33,-265.39586558219594
34,-192.08688632081896
35,-39.05990308245547
36,-16.384176616973306
37,27.302900539176775
38,31.81403460040596
39,-208.23194377995378
40,-195.02266415593886
41,-267.3957119425004
42,-321.2025908421324
43,-398.10436199748085
44,-846.937665839204
45,-721.9414428694245
46,-671.6317997160936
47,-701.6363060861026
48,-529.3184539222183
49,-441.3089592651363
50,-784.5794837385689
51,-752.5244748289203
52,-445.2942653837997
53,-725.5443065009038
54,-739.7547339205591
55,-763.7707506633343
56,-695.5715439179762
57,-777.5205164941727
58,-256.25353658061783
59,20.313119604804008
60,-277.92869061237707
61,-10.562514866399882
62,-315.9892904363107
63,-113.8877929015926
64,-284.1627910377208
65,-250.1482460501688
66,16.11004366871029
67,-37.71542957085468
68,-19.166329853380354
69,-191.59092708474066
70,-195.93283130512683
71,-215.97384286614826
72,-280.1060540100064
73,-401.2362221839836
74,-166.50148197030614
75,-296.011350876852
76,25.579155176176243
77,-209.14238225714922
78,-223.27012787494186
79,22.433799885140033
80,-179.46356423158818
81,-306.0372192701217
82,30.983573059482346
83,-196.07684342527205
84,-2.7147491421270615
85,-208.29039807052766
86,-219.90465305619034
87,-198.73441126470055
88,-329.5009324067631
89,-250.49763112679497
90,179.19201543574508
91,-260.2619132271808
92,-305.8923144818085
93,-719.1166755157161
94,-78.54977713366613
95,-227.75835270007963
96,-203.4181350851554
97,164.35765530559902
98,-9.608762341099862
99,-16.599292704223416
100,59.46460241158429
101,-301.94935290352987
102,-201.0087217901846
103,-29.76802977059971
104,-66.9469921524178
105,-189.0566092433094
106,137.96408438178827
107,120.60868588498826
108,-12.483167658093295
109,-22.388549502902272
110,-76.33909795121295
111,-203.11886335913388
112,8.627794740581308
113,-221.13748532517576
114,-219.29257091447298
115,-173.21738096521136
116,-220.47097458564377
117,-219.32042495353522
118,60.091538701399095
119,-34.66198398733688
120,-54.686321169585554
121,-252.1949284000823
122,-283.7440328136861
123,-268.8969872264506
124,-273.30140404541214
125,-18.532492957601875
126,-177.75778272430688
127,-40.077450130852895
128,-222.5157841358611
129,-254.54662648253205
130,-191.95055704309726
131,-214.7316404102036
132,-268.0354277961385
133,-294.9872261783214
134,-180.48494890731922
135,216.36318622924765
136,-196.5810737957331
137,-217.6785634984106
138,146.65556318588995
139,-221.93851280043887
140,-206.71267217395527
141,58.62968712542976
142,-149.18014930931452
143,-203.31738153467666
144,268.6656644492171
145,-229.4545532229773
146,-269.86071607970234
147,-373.35095743724065
148,-227.60296347330456
149,186.3639477531397
150,32.091744569071274
151,210.45434971972674
152,233.06119978004094
153,-93.46745824429347
154,141.94359624518472
155,-236.75513610324836
156,-212.488619822082
157,238.35905308022674
158,258.98689266316495
159,-171.91276506855525
160,-245.57106459000818
161,-129.67376367773443
162,-202.84443054642833
163,-239.75363756481812
164,-247.59632244280363
165,281.2417821880762
166,-16.461376848813842
167,-62.11310800687524
168,-113.04707402568029
169,-250.6855122094954
170,-274.0067974101608
171,-150.95139212902546
172,225.37440444249663
173,-216.6726133223607
174,-249.7658164645059
175,227.4959345093484
176,202.3629140868291
177,-62.84418484107604
178,-103.00133317134556
179,-193.6286448250464
180,-230.86869092987283
181,-5.002522311948141
182,-21.53501272604815
183,-143.83836816804856
184,-26.141643969422674
185,-168.40844284054089
186,201.25520870866444
187,-139.61283485679851
188,-40.09102816610872
189,-48.750868595046114
190,-156.3472805769633
191,223.9086818390937
192,176.1037025860361
193,250.6536437434581
194,188.1502066158755
195,-183.87591229628507
196,129.58454953329854
197,-153.3745782503143
198,-172.15354906202705
199,-94.41504401055113
200,-267.05829632573096
201,-172.49725546090707
202,162.15044885119096
203,152.51193846873835
204,-142.20358672998455
205,205.86143370750483
206,215.11641374320453
207,-15.880571053050474
208,176.87795538247363
209,-241.33671953065846
210,215.93495919734033
211,0.5428941078145897
212,-197.24799551313464
213,202.521674098723
214,23.5763401101688
215,-217.05454970790436
216,241.3186483378396
217,254.75785265358383
218,197.6582223582405
219,-177.00751789036443
220,-164.56804432317196
221,-167.4133351370855
222,-246.81301580163455
223,-216.43606231457193
224,158.4297251751009
225,9.880762282246238
226,-85.83895794405319
227,-133.30050433646937
228,-181.499255852002
229,-317.94854805683906
230,171.08883629219005
231,236.06401800985947
232,225.99966712016015
233,184.78670274484608
234,173.67251344499468
235,295.9804015694919
236,121.34844045651823
237,218.42245233089795
238,236.75432679550667
239,0.8015160319699817
240,260.2492697999479
241,222.89333162383173
242,176.4654315199569
243,-7.532162146915766
244,-126.51046763343285
245,168.6458469458638
246,277.77738060813545
247,-127.0584956243268
248,221.89253450186777
249,-157.9700055324807
250,287.310712220059
251,-19.066964678666466
252,-29.2596585073599
253,220.89017111326285
254,-117.12175193352738
255,10.40026436992946
256,292.02375035609725
257,114.00149569928351
258,109.6850357994948
259,-115.87769699152739
260,-108.14033453518373
261,-159.42244447747646
262,-8.964336155767668
263,207.16872594464024
264,128.71412563708782
265,94.53954008590644
266,-27.74343571784651
267,-164.16837216282784
268,253.06426635466826
269,190.15178805736284
270,266.6078620587954
271,4.588383307161848
272,181.723896564913
273,11.634072871437013
274,-17.999290789818957
275,-161.5442660423191
276,-16.93186986476087
277,-63.84611427498596
278,179.0859136508734
279,-182.53704784554424
280,201.93652539057226
281,-36.387767138047394
282,-26.20795854960936
283,173.42229767508704
284,217.4668517620809
285,252.7283638323903
286,245.4784146562185
287,-170.38474870062916
288,217.53850848233492
289,251.64968899184265
290,-16.13266411606621
291,-159.48516837013818
292,-160.36522763145055
293,-58.93348930058582
294,115.80157956279888
295,-117.76794153309564
296,184.89717246680163
297,-20.04006960867872
298,12.582439859323742
299,212.8703747340032
300,217.052018791705
301,-164.73642493463856
302,-158.23985849508978
303,223.2577576578598
304,227.87489870958387
305,-148.1697099563915
306,-147.9476532737959
307,-90.55741243236379
308,-39.24023122889042
309,-68.48595835836659
310,-175.57998491177352
311,-154.85265241593416
312,-28.894535268364777
313,-134.9451634052786
314,-183.28379171748603
315,-118.2060821582395
316,-169.3230625792194
317,-146.7354923303966
318,-142.17771994582418
319,-171.12676362519153
320,-132.1969530533574
321,195.67441671653285
322,196.2460879479802
323,-156.59179916079918
324,1.141364124682255
325,-162.49128346862378
326,-144.70927861940575
327,-118.61504131243564
328,260.3660763882111
329,137.45098058695504
330,-169.84313207509658
331,-158.8870909613506
332,-166.8359764013877
333,-178.82787174300665
334,-154.83919380593105
335,-177.60190589004037
336,-147.51265362387156
337,-162.99394806549742
338,-123.04577242027563
339,-152.02834434118006
340,-176.7889416111158
341,-149.88852862432418
342,-157.84459103311727
343,-184.92041939940685
344,-94.3364834770694
345,-133.86762369967428
346,-75.30973690084734
347,-145.56593773151147
348,-128.11782147836675
349,-156.9155246214027
350,-129.87171364510462
351,-146.09232939722057
352,-143.18991538667228
353,-151.21290382783468
354,-175.49661158980877
355,-141.15930392857325
356,-132.6646761366322
357,-160.78395329584038
358,-101.28391259176243
359,251.81694580650858
360,135.12107355171065
361,-42.058028843028154
362,-118.47998768702175
363,-57.841944333747065
364,-109.42467151834686
365,-92.86410141072442
366,-121.34309624784012
367,-117.7688425451826
368,-141.75796680416505
369,-142.53178724224557
370,-124.77490166666671
371,-114.55079345720843
372,-246.10759289172077
373,-64.00062218851525
374,-132.37158624392976
375,-196.52945755962736
376,-68.11957252059554
377,-128.52698970862517
378,-58.97318335817802
379,-93.27720377968105
380,-83.27759235086116
381,70.18133932550955
382,29.066192385852844
383,-127.14013419190411
384,-106.32511221366002
385,-125.94013985853253
386,-23.099358860013776
387,-151.4978181158455
388,-89.48030136964667
389,-87.3022032991693
390,-125.22486802769679
391,-116.58041847463451
392,-97.39518864816628
393,-130.73644204056816
394,-39.86649994163077
395,-41.836618470096326
396,-99.3719055415727
397,-72.07698508169726
398,-77.92450643981257
399,-104.14574083531689
400,-109.05714225225044
401,-143.82683092904205
402,-44.56819887697516
403,-94.96479813380476
404,-86.73121511615224
405,-129.94402564534542
406,-130.73663584712608
407,-57.55461663705015
408,-539.7896570803341
409,-120.684031073307
410,-3.1511754084460915
411,-100.20534288297725
412,-52.97752337207034
413,-78.95085079429728
414,-34.49874388580498
415,0.06173399600627327
416,-28.885953789636513
417,-132.70827526544196
418,-63.851751784064554
419,-115.41051588861231
420,-86.91521986691488
421,-148.8542235520672
422,-121.58965254584531
423,-141.51520817962069
424,-99.06095770863
425,-1.3419940528763084
426,-72.46001877185742
427,-81.19650016976617
428,-97.84370524174608
429,-13.659434004714221
430,-14.702616339894153
431,-43.83618446149016
432,-66.55554516569391
433,-82.87594643358698
434,-95.40509925764285
435,-110.484249563718
436,-103.16744601494611
437,-137.46615431250203
438,-60.2255683332929
439,-121.97489616075418
440,-38.71613349150693
441,49.62359909215355
442,248.62088575377055
443,216.7587683579813
444,-3.7848320843523737
445,34.77256239436099
446,-105.77314933624108
447,65.65402792030982
448,-144.29511348934807
449,-87.74206149691436
450,-53.845807167210054
451,-70.19764713286682
452,-80.19815460258567
453,-93.32782537323413
454,-53.577034211294055
455,-151.6579189860271
456,-119.33816106413526
457,-99.13191923275109
458,-97.78762128973554
459,-45.13314430830646
460,-83.5312833710902
461,-91.25555194603845
462,-106.07933732818792
463,-58.08116363430996
464,-63.60383320150021
465,-57.840159238192925
466,-78.22510885063349
467,-2.7060623145169984
468,-84.93781567390491
469,-51.14922490543124
470,-47.84834427996793
471,-72.9240400211833
472,-122.11054379999315
473,-62.44270425363979
474,-94.40573348375929
475,-100.5515065048004
476,-147.89792738151434
477,-142.05201222361404
478,-111.55002745506607
479,-51.01889676125253
480,-39.100220586677615
481,-56.26835703214706
482,-33.43262751173779
483,-6.786230495719837
484,239.70022392791353
485,-12.640456924655805
486,-50.27909936588097
487,-75.70553300932265
488,-86.33459192674503
489,-73.13595852366133
490,-80.36045360820535
491,8.564267048224142
492,-116.89196785240644
493,-139.09002048759805
494,-96.23350666035472
495,-92.51831929439285
496,-52.214192463974996
497,-78.90800141030527
498,-44.160219106939444
499,144.4082359872114
500,56.456955676117104
501,-27.165906129975532
502,-140.8034394580902
503,-142.973761037901
504,-220.75413799383148
505,-110.53167277793517
506,-141.31650167409217
507,-125.24862120668662
508,-111.39209948382475
509,-136.92748193132255
510,-158.5216716789171
511,-139.35847371456498
512,-134.90632940276137
513,-97.46604090451224
514,-105.5120267480881
515,-17.223522359295444
516,-78.03390507006955
517,-26.39292652726799
518,-73.4464180238078
519,-51.07038602976854
520,-60.821175031078155
521,-47.47376226643057
522,-87.5159347643231
523,-142.7486183758005
524,-72.1496865660542
525,-124.42511913792096
526,-50.576933203971734
527,-127.21429781384661
528,-123.3321941137558
529,-81.31345022378368
530,-7.334346698356464
531,-75.16475327084241
532,-142.17650374901586
533,-240.2736841902435
534,-131.77361729834536
535,-102.28237245451848
536,-33.20817348953451
537,28.63947858251462
538,-26.63961059975123
539,17.71440259957987
540,6.500227691129367
541,-90.71255669690227
542,-121.69930552220083
543,-122.14869034524094
544,-168.98764940548352
545,-186.50241241026683
546,-84.53104489835845
547,-118.1868826525637
548,-175.66459309348951
549,-157.69704652111466
550,-38.737963823243426
551,-233.73117260705783
552,-104.0061795871317
553,-210.4655841916381
554,-114.3109231869637
555,-121.62936291310257
556,-45.42194822127257
557,-174.83963669622105
558,-84.14573013636854
559,-320.9092953209421
560,-124.41552164806109
561,-113.70841973998593
562,-99.24744788633507
563,-44.97320921120681
564,-122.04670995836668
565,-89.30371809668493
566,-104.42287167128487
567,-133.8211567325977
568,-11.681689967462145
569,-6.166569482214323
570,3.282142594137307
571,21.3052190994879
572,-43.119692048819005
573,-57.39262366096323
574,-118.99105285888605
575,-153.68251666014598
576,-146.71290795948497
577,-185.94630168115995
578,-173.26420117069813
579,-143.11445034258512
580,-113.33545062268576
581,-37.559554964093756
582,-134.2103571742165
583,-202.65115190435782
584,-18.15692849291427
585,-61.227605764253724
586,-439.8081297134455
587,-209.61108046358427
588,-116.95259182937299
589,-39.756198752058765
590,-38.8368663879267
591,-104.48823016689948
592,-88.86647939906025
593,-82.53790897839228
594,-131.22414787015558
595,-97.20182701223587
596,-84.64460049770169
597,-106.11280267941122
598,-91.04531013759308
599,-69.70237958493202
600,233.7543389171068
601,-25.21082700455303
602,-10.827537227719219
603,-55.7102225984994
604,110.46398559318455
605,-313.71490405694624
606,-29.386521138237782
607,-47.701857977807514
608,-55.44779401120797
609,-99.30965426528226
610,-116.47270486134062
611,-137.52342747961296
612,-136.61480070067577
613,-112.36189066236065
614,-138.20611314649506
615,-38.28018482724014
616,-43.30732159758679
617,-155.47128040263127
618,-65.82714967568245
619,-74.77774845963262
620,-55.19639394350428
621,-56.15717854872822
622,-12.75900044354919
623,1.3016048979983852
624,-1.7227585079727565
625,-37.73993045568268
626,152.93685164179877
627,-145.81917887584493
628,-33.77399960210112
629,-76.86633238022765
630,-113.42063983578628
631,-106.95794219489318
632,-44.043897951127185
633,-139.8833790936025
634,-144.49938786249078
635,-88.54374740503627
636,-53.313789832267815
637,-102.30759498258045
638,-24.479235451918854
639,1.2865559501019308
640,-87.33599447602437
641,-79.31600967634245
642,-127.64719966789926
643,-94.47279701559079
644,-21.721789518968937
645,3.036831009787565
646,-88.22303534256005
647,-138.1160504078265
648,-41.95030257277067
649,-169.40730182752657
650,-115.82984879778506
651,-101.7851671417966
652,-112.75091874724075
653,-89.04082957001296
654,-68.73776071903717
655,-67.94251822891567
656,-118.45851483640749
657,-6.407315385451379
658,-64.66390550987703
659,-53.4231679526532
660,-111.63875295772766
661,-89.1466328224342
662,-74.18579641709835
663,-74.05927697534855
664,-133.40860740871824
665,-134.9440798668311
666,-15.896041627138676
667,-90.27204852159338
668,-123.5835223973239
669,-64.6020448548216
670,-138.21115168268128
671,-99.66433932089429
672,-117.87354670027523
673,-82.93621532317401
674,-110.73448670780895
675,-123.16073441182768
676,-124.54625614562876
677,-83.88350643190869
678,-34.01873509832314
679,-194.76932923177964
680,-296.04041018989693
681,-111.00652683378739
682,-67.1077820421797
683,-246.2069065894245
684,-54.7121671760418
685,5.425956974826687
686,-113.33513851534661
687,-142.57004067411788
688,-121.95080519888373
689,-116.99249115254578
690,-96.47606232147086
691,-165.6051127593483
692,-49.924750926257886
693,-51.03340792101309
694,-146.1791023355942
695,-15.531651455828616
696,-124.12758036160496
697,-118.2955572542567
698,-88.7656562074489
699,11.841785894392354
700,-22.94432254101464
701,-74.04159281551085
702,-85.47557061397343
703,-62.980711013602104
704,-161.85651121071294
705,-131.57156209862913
706,-146.364363124795
707,-156.78904784807267
708,-79.32172235604371
709,-39.49525454860529
710,-109.13751001216126
711,-68.48474484632025
712,-621.2118084409136
713,-96.71281608601531
714,-53.948722964328766
715,-88.49311749769741
716,-94.26623192223096
717,-83.35790644451444
718,-9.181218938104333
719,17.004913712519595
720,50.50521864054798
721,-218.69146963163007
722,-165.48725561435458
723,37.404668368498996
724,-17.294420924755713
725,-71.12820930281967
726,11.087667442106191
727,-112.28437206561138
728,-63.022889544993234
729,-118.757203280716
730,-105.00784988493912
731,-96.67930799519033
732,-66.76753842117282
733,-42.5667598626249
734,-7.950992034878009
735,-37.867844393071515
736,-28.450534921928792
737,-56.317565120449984
738,-105.64714661132675
739,-79.38028799145825
740,-146.75655157495473
741,-94.33399661646129
742,-45.90510596566701
743,-156.9424129075513
744,-134.98199861625648
745,-94.97342891465729
746,34.23348313761918
747,-107.33275141514576
748,82.18995917101967
749,-73.14389941555135
750,-86.93387804269325
751,-372.88198129977343
752,-65.46704146928407
753,-124.64729534718622
754,-10.690028416678588
755,-118.81498638848576
756,-100.28704156011864
757,-122.53962111483476
758,-84.26427208859374
759,-60.88948599553859
760,-163.21769395682696
761,296.14696342139007
762,-109.91278448791527
763,-13.372189284206073
764,61.374774507502565
765,-103.42116749775916
766,-56.364688333362
767,-36.85797821630513
768,-73.48106499490164
769,-91.15507316294268
770,-130.5584461521719
771,-104.6360091978601
772,-119.84081643393876
773,-123.70465773060081
774,-115.67850773088227
775,-117.2590177685664
776,-23.421773389988235
777,112.4594879762556
778,199.1449776939754
779,147.61358392076636
780,-108.89838301763706
781,-61.61531485953144
782,3.9123448299827004
783,-65.2955159228783
784,-174.18549538062211
785,-302.53666262559767
786,-101.16821153531049
787,-39.24906392964212
788,-64.96048784846258
789,-56.46514846907968
790,-101.86546831116276
791,-126.82285512509158
792,-104.84651689014075
793,-103.49155027059014
794,-105.4259741820537
795,-65.37107825566122
796,-30.34035459858886
797,-127.22015365558589
798,-120.83830552192185
799,241.95400753940385
