episodes,rewards
0,14
1,10
2,9
3,7
4,9
5,8
6,8
7,9
8,7
9,8
10,9
11,8
12,8
13,9
14,8
15,10
16,8
17,9
18,9
19,9
20,7
21,9
22,9
23,8
24,9
25,8
26,9
27,10
28,8
29,8
30,9
31,9
32,9
33,9
34,7
35,8
36,7
37,8
38,7
39,9
40,7
41,9
42,8
43,9
44,9
45,7
46,10
47,8
48,9
49,8
50,9
51,9
52,9
53,9
54,9
55,8
56,9
57,9
58,8
59,7
60,8
61,8
62,8
63,9
64,8
65,8
66,8
67,8
68,8
69,9
70,9
71,7
72,8
73,9
74,8
75,8
76,7
77,9
78,8
79,9
80,8
81,7
82,9
83,8
84,7
85,8
86,9
87,9
88,9
89,8
90,9
91,8
92,8
93,8
94,8
95,9
96,9
97,9
98,8
99,8
100,7
101,9
102,9
103,7
104,8
105,7
106,9
107,8
108,8
109,9
110,8
111,10
112,8
113,10
114,9
115,8
116,10
117,8
118,9
119,9
120,7
121,8
122,9
123,8
124,9
125,9
126,8
127,8
128,8
129,8
130,9
131,9
132,7
133,9
134,9
135,8
136,8
137,9
138,8
139,8
140,8
141,9
142,8
143,8
144,8
145,9
146,9
147,9
148,9
149,9
150,8
151,9
152,9
153,7
154,8
155,8
156,9
157,9
158,7
159,9
160,9
161,8
162,8
163,9
164,9
165,8
166,8
167,10
168,7
169,9
170,7
171,7
172,7
173,7
174,9
175,9
176,8
177,8
178,7
179,7
180,8
181,7
182,9
183,7
184,8
185,10
186,8
187,8
188,9
189,10
190,8
191,9
192,9
193,7
194,9
195,9
196,7
197,8
198,7
199,8
200,10
201,7
202,9
203,8
204,8
205,9
206,8
207,8
208,8
209,10
210,8
211,8
212,9
213,8
214,9
215,8
216,9
217,8
218,8
219,8
220,9
221,9
222,8
223,8
224,7
225,8
226,9
227,7
228,8
229,9
230,9
231,9
232,7
233,8
234,9
235,9
236,9
237,7
238,8
239,8
240,7
241,8
242,9
243,8
244,8
245,7
246,8
247,9
248,7
249,8
250,9
251,9
252,8
253,8
254,9
255,9
256,8
257,8
258,8
259,9
260,9
261,10
262,7
263,9
264,8
265,9
266,9
267,9
268,9
269,9
270,9
271,9
272,8
273,7
274,8
275,8
276,8
277,9
278,8
279,7
280,9
281,9
282,9
283,8
284,8
285,9
286,8
287,8
288,8
289,9
290,9
291,8
292,7
293,9
294,8
295,8
296,8
297,7
298,10
299,9
