episodes,rewards
0,22.0
1,19.0
2,24.0
3,23.0
4,12.0
5,32.0
6,11.0
7,14.0
8,17.0
9,21.0
10,19.0
11,18.0
12,40.0
13,26.0
14,22.0
15,21.0
16,49.0
17,16.0
18,21.0
19,31.0
20,21.0
21,14.0
22,26.0
23,38.0
24,61.0
25,248.0
26,73.0
27,156.0
28,183.0
29,142.0
30,132.0
31,189.0
32,253.0
33,233.0
34,230.0
35,187.0
36,203.0
37,222.0
38,201.0
39,309.0
40,272.0
41,371.0
42,269.0
43,287.0
44,227.0
45,318.0
46,272.0
47,259.0
48,295.0
49,274.0
50,272.0
51,198.0
52,398.0
53,268.0
54,333.0
55,295.0
56,314.0
57,332.0
58,256.0
59,231.0
60,285.0
61,309.0
62,361.0
63,297.0
64,298.0
65,378.0
66,213.0
67,270.0
68,144.0
69,34.0
70,128.0
71,203.0
72,214.0
73,170.0
74,202.0
75,263.0
76,237.0
77,189.0
78,19.0
79,192.0
80,158.0
81,222.0
82,233.0
83,198.0
84,132.0
85,226.0
86,314.0
87,58.0
88,295.0
89,206.0
90,194.0
91,280.0
92,146.0
93,229.0
94,227.0
95,257.0
96,147.0
97,225.0
98,100.0
99,59.0
100,123.0
101,363.0
102,416.0
103,190.0
104,210.0
105,262.0
106,277.0
107,215.0
108,226.0
109,189.0
110,216.0
111,207.0
112,500.0
113,280.0
114,480.0
115,194.0
116,500.0
117,500.0
118,261.0
119,437.0
120,290.0
121,251.0
122,500.0
123,276.0
124,188.0
125,92.0
126,276.0
127,174.0
128,155.0
129,210.0
130,286.0
131,173.0
132,176.0
133,12.0
134,168.0
135,143.0
136,176.0
137,185.0
138,161.0
139,248.0
140,183.0
141,290.0
142,261.0
143,165.0
144,239.0
145,332.0
146,139.0
147,137.0
148,10.0
149,45.0
150,151.0
151,140.0
152,143.0
153,165.0
154,149.0
155,93.0
156,98.0
157,280.0
158,94.0
159,117.0
160,256.0
161,147.0
162,442.0
163,27.0
164,198.0
165,171.0
166,148.0
167,500.0
168,150.0
169,272.0
170,265.0
171,218.0
172,29.0
173,111.0
174,154.0
175,139.0
176,375.0
177,156.0
178,230.0
179,289.0
180,194.0
181,132.0
182,189.0
183,200.0
184,190.0
185,223.0
186,171.0
187,191.0
188,233.0
189,223.0
190,223.0
191,12.0
192,176.0
193,283.0
194,331.0
195,190.0
196,299.0
197,253.0
198,187.0
199,216.0
200,175.0
201,166.0
202,500.0
203,205.0
204,211.0
205,225.0
206,245.0
207,319.0
208,182.0
209,308.0
210,463.0
211,50.0
212,161.0
213,257.0
214,47.0
215,98.0
216,236.0
217,500.0
218,227.0
219,140.0
220,230.0
221,96.0
222,34.0
223,288.0
224,249.0
225,262.0
226,185.0
227,311.0
228,197.0
229,287.0
230,259.0
231,245.0
232,402.0
233,119.0
234,356.0
235,212.0
236,246.0
237,402.0
238,191.0
239,153.0
240,215.0
241,267.0
242,189.0
243,271.0
244,143.0
245,215.0
246,209.0
247,302.0
248,106.0
249,320.0
250,252.0
251,344.0
252,400.0
253,396.0
254,199.0
255,303.0
256,254.0
257,500.0
258,202.0
259,174.0
260,217.0
261,242.0
262,159.0
263,16.0
264,143.0
265,108.0
266,396.0
267,150.0
268,125.0
269,97.0
270,11.0
271,56.0
272,141.0
273,470.0
274,189.0
275,164.0
276,179.0
277,214.0
278,496.0
279,155.0
280,202.0
281,125.0
282,223.0
283,13.0
284,84.0
285,253.0
286,186.0
287,198.0
288,27.0
289,198.0
290,177.0
291,287.0
292,146.0
293,236.0
294,271.0
295,192.0
296,205.0
297,135.0
298,295.0
299,373.0
