episodes,rewards
0,-132.55784971742384
1,-147.63782043871896
2,-194.9541151092081
3,-118.83278693328414
4,-103.49218052502913
5,-65.359664981212
6,-239.34643845812093
7,-178.8603199948293
8,-130.26600424971406
9,-174.99129486889535
10,-296.0745514019965
11,-104.5304972250331
12,-282.9407424264947
13,-153.5316574235659
14,-129.17449780769311
15,-96.82609378125527
16,-162.79936012405136
17,-105.85466324858604
18,-118.35858574763338
19,-71.17994110077747
20,-162.6985222396217
21,-203.22429214256914
22,-395.03786448811684
23,-91.48169376284669
24,-302.2615175480089
25,-10.637969942838183
26,-259.1262144727731
27,-263.64105285584276
28,-82.35779149431141
29,-164.62510899074914
30,-161.9013030403182
31,-176.7899102481902
32,-174.01805596545637
33,-293.51815128242487
34,-74.2328550268277
35,-283.2217225186938
36,-108.0675826475199
37,-72.55008995982169
38,-276.94784075861804
39,-81.95537595451859
40,-39.994053633237186
41,-210.39267496831854
42,-499.61635332146085
43,-543.5955358576379
44,-128.61757254542033
45,-140.9924418956096
46,-249.75486122216344
47,-203.34727423162514
48,-227.99272070816127
49,-147.6443847209863
50,-380.40169859223965
51,-81.45360377574588
52,-163.52794310302812
53,-207.52651893726852
54,-415.2231767522928
55,-222.26536292413718
56,-153.04029795531176
57,-77.13207383663425
58,-479.7475030860061
59,0.25301057890413037
60,1.011425733772171
61,-62.03282658335311
62,-347.87845300445997
63,16.035294961767903
64,-39.595912280535885
65,-391.3388111922469
66,-319.23907613252385
67,-463.3258717676728
68,-54.41713211258462
69,-24.206345331448503
70,-44.70235574368695
71,-114.91511649748156
72,-247.89626768277716
73,-224.40219551414543
74,-314.62877967803826
75,-241.89617318076216
76,-79.0964709093718
77,11.480410486839716
78,-82.73421727250397
79,-99.76751412527926
80,-112.38060930797995
81,-58.46883855396348
82,-263.1605609305859
83,-194.909425442118
84,-410.9705190346099
85,-54.34648768600404
86,-299.604798540268
87,-54.50751117798586
88,-301.2048278743712
89,-121.08524728415962
90,-121.3876133876609
91,-363.88194808852705
92,-45.856989003941266
93,-180.21104630428175
94,-58.804496780599635
95,-135.44256792314422
96,-135.41828356583366
97,-163.31918444269192
98,-88.00827791882804
99,-139.0906972109241
100,-282.12133881702744
101,-30.943229254423557
102,-374.44026762742726
103,-131.39460170678976
104,-171.83956810033703
105,-7.239069851583366
106,-55.32599856902117
107,-159.99291545151536
108,-100.59011223585848
109,-109.19022135747075
110,-356.99935298646704
111,-142.3420944061975
112,-115.77637560570344
113,-380.37668488500213
114,-44.728569263811494
115,-331.20629198123294
116,-155.7052667973204
117,-158.77025678268845
118,-276.646916228842
119,-87.84700284584177
120,-522.2710984953233
121,-236.36450368196952
122,-83.4873852899301
123,-161.86226863052704
124,-189.37182502798163
125,-151.8670490125058
126,-78.45221995157242
127,-374.2399959973167
128,-233.05672783075087
129,-527.5823861834637
130,-162.0242038710652
131,-164.1209731618253
132,-274.0661933979793
133,-341.98298852110565
134,-164.35099179078378
135,-243.89963241331705
136,-115.32667188957195
137,-388.44180048660303
138,15.543520149274968
139,-135.39964941969893
140,19.165073838807743
141,-145.91214844163673
142,-99.0884407271021
143,-106.87510719654067
144,-113.11301365486835
145,-127.37581113670485
146,-131.43416495011635
147,-176.26254067976555
148,-41.62009265545349
149,-276.28980953531914
150,-403.6392479699176
151,-385.44085443859996
152,-265.90996397704544
153,-213.32432821100156
154,-238.84880448260242
155,-138.4263475753678
156,-135.8925597293553
157,-274.83179500467725
158,-53.98716226030325
159,-39.162530788485086
160,-320.14877874947484
161,-128.57697106410046
162,-248.6163444137694
163,-244.08305858952596
164,-252.48852429152976
165,-205.44380494103757
166,-354.6133559263076
