episodes,rewards
0,-242.01516191604279
1,-64.1368542530813
2,-208.0902419266357
3,-183.29527308432614
4,-38.50437488589661
5,-177.9678101948607
6,-272.56566513983194
7,-266.8682903409994
8,-336.32970204472235
9,-69.70136906469132
10,-330.48147438213107
11,-28.106602560938796
12,-288.1272048278662
13,-129.66074891823303
14,-206.2538001928745
15,-105.5015541596006
16,-190.5635796056213
17,-65.75502899192557
18,-111.67152243178306
19,-59.125296473138064
20,-199.76778915970834
21,-51.54341548887065
22,-82.56941266487269
23,-80.80989852132163
24,-6.926192494006358
25,-132.23929226458546
26,-244.8765128785885
27,-72.15294216194624
28,-75.71456222057208
29,-45.15357328822268
30,-10.149387192235183
31,-55.29671767968611
32,-27.763249413730577
33,-292.77923464664934
34,-9.682364916327316
35,-211.56864804985793
36,-420.02248389535674
37,-121.32986319570176
38,-30.613315225084193
39,-34.4800155056584
40,-175.6757932724001
41,-100.24681864076858
42,-215.81519091084027
43,-194.46489419164266
44,-360.48560516058814
45,-54.66057428969417
46,-69.15047787441068
47,-362.3327061367678
48,-424.88858252979156
49,-279.0354059497263
50,-254.72187535574528
51,-97.2053779392572
52,-35.65382674291243
53,-317.3110991105893
54,-534.9933908341045
55,22.875852456725248
56,-24.366257718327603
57,15.946445554604878
58,-245.66534687465784
59,-36.22121152554203
60,235.66304365375842
61,43.679003018740566
62,-108.50702114220165
63,-341.1997301248062
64,152.93755113112348
65,-408.68940008926694
66,-210.99490446071363
67,-344.14477226513714
68,-206.1963529113109
69,-22.947939250852286
70,-25.20554620930328
71,-47.7103538595436
72,-66.35044272215353
73,-48.663148168540374
74,-134.49842723418837
75,-31.64342702952652
76,-58.73489723434123
77,-25.996056637634137
78,-51.67582961860468
79,-30.26907598999482
80,-34.534411887951016
81,-313.62655694382954
82,-231.3187328159237
83,-46.00618852291689
84,-282.13120191266546
85,-41.84708462475705
86,-356.6099995944215
87,-70.47492662783374
88,-88.83985567554085
89,-61.17775978868926
90,-21.77751610220612
91,-83.86335734915454
92,-144.72506402656595
93,-45.70916089881034
94,-29.846044217906268
95,-364.90396169717786
96,-100.26694707249041
97,-386.76636215617026
98,-304.38058837756483
99,-300.4799848164609
100,-96.17019650489586
101,-67.33878328067625
102,-87.62417574537128
103,-101.60007710011342
104,-76.44082680382147
105,-26.50398536360234
106,-33.92051223522888
107,-49.82763132686081
108,-59.315282449070594
109,-6.467959400187539
110,-98.54518335029084
111,-104.05219511835423
112,-17.143399457337342
113,-58.11964300035271
114,-66.59855697178224
115,-93.11778367392434
116,-15.487194060297256
117,-106.09983811252602
118,-89.58527103404029
119,-48.03018193790209
120,-73.8117754112317
121,-117.7680966032221
122,-383.37655582661245
123,-167.75082139901204
124,-137.2645503254796
125,-97.2440551287122
126,-61.14744034720054
127,-178.96815462881753
128,-508.6622326699661
129,-513.3856035510262
130,-315.59390168514165
131,-762.3138317264263
132,-77.50294935058858
133,-528.2477337596102
134,-85.78636205727975
135,-93.19434704431305
136,-247.6815181763021
137,-178.90766755254498
138,-14.868794803551337
139,-328.99812206857337
140,-179.0266642416207
141,-66.80268715853879
142,-481.23336300607093
143,-137.47745544584214
144,-160.79471911025826
145,-100.10849520567321
146,-262.3410905477044
147,-352.5347208075513
148,-25.141677877210423
149,-34.29531708611487
150,-59.1054421722236
151,-8.01570585238374
152,-12.564365557717956
153,-52.50029013987606
154,-27.69423880046527
155,-23.667577917836674
156,-72.12259020609446
157,-32.21688828280371
158,-151.09003830345492
159,-4.381102472301521
160,-23.386602588329765
161,-38.60669034256452
162,-15.222520189508463
163,-634.0535275132356
164,-279.50926863019936
165,-209.10784230774044
166,-79.73470925332997
167,-98.90960897437877
168,-58.2836187435509
169,-39.21863831389279
170,-73.27166610499367
171,-55.73538685582683
172,-45.913869948941
173,-22.763028997429707
174,-405.10175115112156
175,-116.0208485300891
176,33.43595072231571
177,-146.09776155619613
178,-27.867215675201123
179,-77.3551871052116
180,-63.87720322106748
181,-33.8859771675814
182,-159.82619128055495
183,-239.69029653929482
184,-519.4620036147087
185,-60.978552716833825
186,-5.355415216708693
187,-40.38642632510002
188,-15.781194788348566
189,-58.97505234664517
190,-132.1347462001464
191,59.52697940978385
192,-236.37452301846372
193,-24.152750383857462
194,-387.00584834483334
195,7.776971913685132
196,-46.43662630291105
197,-50.17349117367028
198,-166.1446286730389
199,-105.74820907886722
200,-95.70264444588025
201,-137.23974309436585
202,-15.297870664440566
203,38.63597222702916
204,196.73325011309115
205,-175.91719071351054
206,-157.6301946909104
207,-49.39335891425283
208,-52.031330103624
209,178.41512702297024
210,-169.58501062584685
211,-60.2647806411437
212,-96.13015729199653
213,-423.3225507408631
214,-37.34031944787132
215,-23.708837973202677
216,-182.79546730019268
217,-294.70596499297596
218,-70.51325133446456
219,-88.39123090763096
220,-109.50377071564046
221,-36.40678196437615
222,-211.80392589532858
223,-61.0733829028958
224,-102.39678398654557
225,-81.61091249894591
226,-128.30066403447938
227,-172.18130152477335
228,-337.2305910927365
229,-11.785997261019336
230,-6.310504698223957
231,-38.52306442487671
232,-186.56986316678558
233,-358.65930585663256
234,-43.70037885779608
235,-8.174018873594207
236,15.991233426556448
237,-305.8848176092632
238,-305.68750039673375
239,-105.86629890698022
240,-8.636878611636869
241,-153.75272277469077
242,-251.43522477126763
243,-47.76810723350577
244,-175.38600555124037
245,-59.63668257507124
246,1.6890849273061264
247,-119.15391353470844
248,-94.90431988681276
249,-98.06438395662755
250,-34.36805251278771
251,-200.4777424187593
252,-125.04642507672818
253,-65.48235600426645
254,28.24317458117162
255,-128.44100435915658
256,-192.18586960885412
257,-255.4195425635068
258,-269.524828690006
259,-80.93047667247649
260,71.54155321634084
261,-560.3784572051352
262,-156.208784467013
263,-140.81791715465235
264,-184.8131188437414
265,-62.513231961628726
266,-381.2616697628947
267,-97.8941959774666
268,-78.09963753679158
269,-35.817843305313296
270,75.01193383929058
271,-67.94806010174771
272,-257.8643969440757
273,-132.75991753537713
274,-93.05040219140756
275,-67.64482196034001
276,-266.23684156991055
277,-133.17109387526307
278,-83.1329259231468
279,-211.35243771821376
280,-50.94819538352434
281,-144.3583840208941
282,-30.39559780911995
283,-47.97801802909027
284,-230.31935637265823
285,-264.427835135327
286,-31.054423726313164
287,-304.0670211766584
288,-46.563059926276544
289,-62.314610174867454
290,-108.38917239705427
291,-49.187661112352615
292,-90.37175942839085
293,-54.8029844275776
294,10.85927693900048
295,-73.37208253591159
296,-289.80277299687214
297,-159.13574154990914
298,-363.2879624239435
299,-93.94052400065802
