episodes,rewards
0,16
1,8
2,8
3,8
4,9
5,8
6,9
7,9
8,7
9,9
10,7
11,8
12,8
13,9
14,8
15,9
16,8
17,9
18,9
19,8
20,8
21,9
22,7
23,7
24,10
25,9
26,9
27,10
28,9
29,7
30,9
31,9
32,9
33,9
34,8
35,8
36,7
37,9
38,8
39,9
40,9
41,9
42,8
43,9
44,8
45,8
46,8
47,8
48,8
49,9
50,9
51,8
52,8
53,9
54,9
55,8
56,7
57,9
58,9
59,8
60,7
61,8
62,9
63,8
64,9
65,9
66,9
67,9
68,9
69,9
70,8
71,8
72,8
73,10
74,9
75,9
76,9
77,9
78,7
79,8
80,8
81,9
82,9
83,9
84,8
85,9
86,9
87,9
88,9
89,8
90,9
91,8
92,8
93,7
94,9
95,9
96,8
97,9
98,8
99,8
100,9
101,9
102,8
103,8
104,7
105,8
106,7
107,9
108,8
109,8
110,9
111,9
112,8
113,9
114,7
115,9
116,9
117,8
118,9
119,8
120,9
121,8
122,7
123,8
124,9
125,9
126,9
127,8
128,8
129,8
130,7
131,8
132,8
133,8
134,7
135,7
136,8
137,7
138,9
139,8
140,8
141,8
142,9
143,9
144,9
145,8
146,8
147,8
148,9
149,8
150,8
151,8
152,9
153,9
154,8
155,8
156,9
157,9
158,8
159,8
160,7
161,9
162,9
163,9
164,8
165,8
166,9
167,9
168,8
169,8
170,7
171,8
172,8
173,8
174,9
175,9
176,9
177,8
178,8
179,8
180,9
181,9
182,8
183,9
184,8
185,8
186,8
187,8
188,9
189,9
190,9
191,8
192,7
193,7
194,8
195,8
196,9
197,8
198,9
199,7
200,8
201,8
202,8
203,9
204,9
205,9
206,7
207,8
208,7
209,9
210,8
211,9
212,8
213,8
214,8
215,8
216,8
217,7
218,9
219,8
220,8
221,8
222,8
223,9
224,8
225,9
226,7
227,9
228,7
229,8
230,9
231,7
232,7
233,7
234,8
235,8
236,8
237,8
238,7
239,8
240,10
241,9
242,9
243,9
244,7
245,7
246,9
247,9
248,9
249,8
250,8
251,9
252,8
253,8
254,9
255,8
256,7
257,8
258,9
259,9
260,9
261,9
262,9
263,9
264,8
265,8
266,9
267,9
268,7
269,9
270,9
271,8
272,8
273,7
274,9
275,9
276,8
277,9
278,8
279,9
280,8
281,8
282,8
283,8
284,9
285,8
286,9
287,9
288,8
289,7
290,9
291,9
292,9
293,9
294,9
295,8
296,8
297,8
298,8
299,9
