episodes,rewards
0,34.0
1,19.0
2,14.0
3,15.0
4,15.0
5,18.0
6,19.0
7,20.0
8,24.0
9,46.0
10,20.0
11,12.0
12,19.0
13,12.0
14,17.0
15,24.0
16,13.0
17,19.0
18,25.0
19,23.0
20,17.0
21,34.0
22,14.0
23,30.0
24,13.0
25,19.0
26,43.0
27,32.0
28,36.0
29,32.0
30,42.0
31,39.0
32,41.0
33,18.0
34,16.0
35,33.0
36,41.0
37,29.0
38,40.0
39,36.0
40,42.0
41,20.0
42,28.0
43,73.0
44,86.0
45,111.0
46,74.0
47,95.0
48,99.0
49,149.0
50,222.0
51,184.0
52,157.0
53,219.0
54,188.0
55,201.0
56,249.0
57,246.0
58,280.0
59,281.0
60,225.0
61,210.0
62,244.0
63,322.0
64,227.0
65,294.0
66,227.0
67,213.0
68,233.0
69,333.0
70,367.0
71,283.0
72,364.0
73,453.0
74,333.0
75,375.0
76,304.0
77,370.0
78,251.0
79,272.0
80,336.0
81,325.0
82,361.0
83,340.0
84,292.0
85,318.0
86,383.0
87,303.0
88,264.0
89,219.0
90,276.0
91,243.0
92,238.0
93,271.0
94,232.0
95,232.0
96,227.0
97,245.0
98,262.0
99,229.0
100,273.0
101,202.0
102,197.0
103,219.0
104,215.0
105,188.0
106,195.0
107,250.0
108,223.0
109,191.0
110,197.0
111,191.0
112,174.0
113,201.0
114,184.0
115,187.0
116,186.0
117,176.0
118,190.0
119,177.0
120,161.0
121,168.0
122,162.0
123,160.0
124,174.0
125,173.0
126,155.0
127,157.0
128,177.0
129,164.0
130,173.0
131,146.0
132,151.0
133,150.0
134,160.0
135,160.0
136,173.0
137,150.0
138,156.0
139,144.0
140,157.0
141,158.0
142,159.0
143,142.0
144,125.0
145,139.0
146,151.0
147,162.0
148,141.0
149,144.0
150,144.0
151,141.0
152,140.0
153,136.0
154,142.0
155,131.0
156,135.0
157,137.0
158,154.0
159,157.0
160,138.0
161,117.0
162,131.0
163,137.0
164,153.0
165,152.0
166,135.0
167,151.0
168,130.0
169,152.0
170,164.0
171,145.0
172,140.0
173,167.0
174,148.0
175,142.0
176,142.0
177,161.0
178,162.0
179,158.0
180,155.0
181,172.0
182,167.0
183,159.0
184,176.0
185,186.0
