episodes,rewards
0,18
1,10
2,10
3,7
4,7
5,11
6,10
7,19
8,15
9,48
10,19
11,9
12,12
13,11
14,12
15,9
16,10
17,7
18,8
19,9
20,7
21,9
22,8
23,8
24,8
25,8
26,9
27,9
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,9
37,9
38,8
39,7
40,8
41,9
42,7
43,7
44,9
45,8
46,9
47,8
48,9
49,9
50,9
51,8
52,7
53,8
54,8
55,8
56,9
57,8
58,8
59,9
60,7
61,8
62,8
63,7
64,8
65,9
66,7
67,9
68,7
69,9
70,9
71,8
72,8
73,8
74,9
75,8
76,9
77,9
78,8
79,8
80,7
81,9
82,7
83,9
84,7
85,9
86,7
87,9
88,8
89,9
90,8
91,9
92,8
93,8
94,8
95,8
96,8
97,8
98,8
99,8
100,9
101,8
102,9
103,9
104,10
105,8
106,9
107,8
108,9
109,8
110,7
111,9
112,8
113,9
114,8
115,9
116,9
117,9
118,8
119,9
120,9
121,8
122,8
123,8
124,9
125,9
126,8
127,9
128,9
129,8
130,7
131,9
132,8
133,8
134,9
135,8
136,8
137,7
138,8
139,7
140,9
141,9
142,9
143,8
144,8
145,7
146,9
147,8
148,9
149,8
150,7
151,8
152,8
153,9
154,8
155,9
156,9
157,9
158,8
159,9
160,8
161,9
162,8
163,8
164,9
165,8
166,9
167,9
168,9
169,8
170,9
171,8
172,8
173,10
174,8
175,8
176,7
177,8
178,8
179,9
180,9
181,8
182,7
183,9
184,8
185,8
186,10
187,9
188,9
189,9
190,9
191,10
192,9
193,9
194,8
195,9
196,8
197,8
198,9
199,7
200,9
201,9
202,8
203,8
204,8
205,8
206,9
207,8
208,9
209,8
210,8
211,8
212,8
213,8
214,10
215,8
216,8
217,8
218,9
219,7
220,8
221,9
222,9
223,9
224,8
225,7
226,8
227,9
228,9
229,9
230,9
231,9
232,9
233,9
234,9
235,9
236,9
237,7
238,7
239,9
240,8
241,8
242,9
243,8
244,9
245,7
246,9
247,8
248,9
249,8
250,9
251,7
252,8
253,8
254,7
255,8
256,9
257,9
258,9
259,8
260,9
261,8
262,8
263,9
264,8
265,9
266,7
267,8
268,7
269,8
270,8
271,8
272,9
273,9
274,8
275,8
276,9
277,8
278,9
279,9
280,9
281,8
282,10
283,9
284,8
285,7
286,9
287,7
288,9
289,8
290,9
291,8
292,8
293,8
294,8
295,8
296,8
297,7
298,9
299,7
