episodes,rewards
0,-350.2831001862261
1,-188.90280344106185
2,-136.25267297862842
3,-108.73589352153975
4,-70.99213008428252
5,-78.6992297842638
6,-280.0218869186107
7,-238.02606919477813
8,-359.3365338350177
9,-310.41864696012453
10,-63.54928974692572
11,-321.87712824434664
12,-425.4140548432196
13,-40.65943868467903
14,-112.90139997113472
15,-341.80140708093853
16,-271.3177338038224
17,-290.4541742215324
18,-245.41268600369546
19,-478.9763151338899
20,-159.14474374777012
21,-245.4457649075455
22,-245.17654870033886
23,-288.95112985366495
24,-237.94650369794766
25,-275.0727742043513
26,-217.45216044180842
27,-267.7911826311506
28,-206.45648911205456
29,-244.75577602085966
30,-304.3006530709134
31,-60.440822723777394
32,-199.91029609403375
33,-234.97730807658826
34,-190.59319612038396
35,-59.66611695548661
36,-1.903813683358592
37,-24.964045928751005
38,-236.5989392888346
39,-121.30261146156914
40,-143.26940582495857
41,18.695262853376164
42,-287.4467058772599
43,-15.33162590802985
44,212.75228328234783
45,-4.461037976136694
46,1.0231551730360664
47,149.65491794653704
48,-251.89105630651778
49,34.820854990403866
50,-231.8931152528781
51,-34.49605026911165
52,192.23011420710554
53,-201.3112949890986
54,8.299662581805123
55,-46.413081325840416
56,-0.49878592006445643
57,-291.99025818263857
58,-16.531215695065285
59,-53.787728446480244
60,-219.72593796219434
61,3.874667074530384
62,-185.0846148056915
63,-203.69008032616387
64,-35.39884143220705
65,-199.42758299756127
66,-4.020031868605898
67,-227.96673518356326
68,22.54007534798474
69,-225.98073526459737
70,-316.5582970182722
71,11.695874175194291
72,-275.07380841552026
73,-139.4401395460253
74,-13.34730908150961
75,54.198402712403436
76,-186.9858889052196
77,-151.22191207878308
78,-255.61808036944979
79,-2.51402454934869
80,161.33349240494616
81,138.73679605515213
82,-205.71008581537723
83,166.8071455893499
84,-195.45028143486326
85,-142.0613692334661
86,97.3209493707551
87,-30.702548500385205
88,-186.97104187204758
89,-262.5437251094261
90,199.0421331423311
91,138.66207067756685
92,5.430091756372434
93,4.6283396575322655
94,-217.1573460006195
95,-36.251796186077904
96,-114.69558138784322
97,178.91473625487123
98,-106.62493198737829
99,210.8487807606267
100,223.56915904281533
101,-158.41627073071675
102,16.625347625449123
103,-215.32305171920166
104,-144.26380543945612
105,-115.67689321387132
106,-71.03300603127262
107,-138.73919360963663
108,-149.82436040764782
109,-66.51788434753519
110,201.27299223757993
111,-31.59698132931085
112,-8.44912755261387
113,242.01602116795664
114,-297.579456070142
115,221.6228543451845
116,-165.27380319241277
117,-216.57802191856402
118,-112.42214204752392
119,-155.2630044785508
120,219.75557004249822
121,146.18220191931363
122,211.86406480457902
123,-71.2007270490483
124,-211.81893430564685
125,-194.15336308234913
126,-151.61500728915908
127,231.61764392276478
128,-155.97818843337288
129,-175.03639054289803
130,-159.9111440078556
131,-165.09486278436452
132,-96.92281473085022
133,-124.73648655810283
134,-147.35495053655217
135,-147.20410548011333
136,-230.6607944209574
137,-155.38602820494816
138,-38.603594688339996
139,-45.478231546503785
140,162.97964802239525
141,-63.71782932943201
142,-253.78461614764478
143,-158.62826465047425
144,-166.4355012154829
145,-81.71040285670435
146,251.6197257833279
147,-328.7021008946413
148,227.8898779922694
149,-247.79115331003229
150,3.685909910379422
151,252.34557179026356
152,-3.735675950227602
153,-390.6398992548775
154,-46.54933308913448
155,-83.80701951502398
156,-30.615650895485203
157,185.53128920065083
158,142.9687463595516
159,221.94718029014928
160,37.35847457564954
161,63.568505784200745
162,-206.00262040819305
163,-198.03243778077126
164,276.60928475450066
165,-2.140123344602472
166,114.7367268505434
167,0.2938785476438568
168,-160.78564056295352
169,-152.66069666925986
170,125.04078822448669
171,20.754290818482758
172,-134.7285037433166
173,-112.92011136953238
174,-345.13489982671604
175,-470.6537754216923
176,79.01275629192911
177,-160.59353082870848
178,-41.28438253296903
179,-86.7282592770912
180,-207.42200280011798
181,-112.03791586276483
182,66.79882354808603
183,-63.344720494410865
184,-186.6845937430575
185,41.34660290761647
186,-38.960870252191796
187,88.62404749227696
188,-134.3451061534624
189,-8.064427453818737
190,-34.378217723006586
191,20.829016122886003
192,-289.2488474007981
193,-201.0198428308198
194,-46.17476403006718
195,228.49589954792262
196,-39.793672203708894
197,-285.3751585949309
198,-141.60265534283445
199,-23.133316129989723
200,-25.04457614664878
201,-226.6326899194624
202,-109.2865551367397
203,228.8380919266383
204,38.46908941855571
205,-138.74217589003794
206,231.89290844396967
207,-395.86107958650337
208,126.51509901350876
209,-119.62248841965905
210,230.9359236118698
