episodes,rewards
0,-401.83724107735344
1,23.37533119814887
2,-254.18523079920445
3,-195.5039379190713
4,-48.79171512576721
5,-286.66686483142007
6,38.63764275579268
7,-289.65919519245216
8,-90.95556933228629
9,-250.28798045356172
10,50.20194259054023
11,-80.48238388063642
12,-81.62655142863989
13,-130.94220498967758
14,-404.16003423886394
15,-103.50522266022732
16,-132.87954175042833
17,-167.34941078191207
18,-68.63667633417815
19,-105.13491322690534
20,-316.29623255102877
21,-133.00232851834468
22,-273.87635322102415
23,-110.1894292082496
24,-265.2724938281781
25,-135.13363502170608
26,-409.8762397480842
27,-115.83749407642279
28,-337.7215960086978
29,-274.83363390260223
30,-184.69270018595955
31,-285.98116100103647
32,-49.03082108256666
33,-163.55382861537643
34,-212.50013977009226
35,-221.57247582900405
36,-154.61502114853585
37,-76.89324858376492
38,-138.57659903525638
39,-149.87422636479704
40,-84.66484442467355
41,-174.5383415491146
42,-17.24528461246804
43,-228.04390834693132
44,-62.218280987400114
45,-129.20578139731313
46,-229.46951101625217
47,-109.4142785788286
48,-75.09592354199035
49,-135.3050436356708
50,-436.2998925923164
51,-94.47233537175512
52,-101.77674824636489
53,26.48031142133364
54,-144.55402666131272
55,-148.95332983238046
56,-172.79796543344176
57,-136.6042566425017
58,-206.7573846204006
59,-106.05219482719396
60,-226.62420960844815
61,-220.85850973018987
62,-217.1907414794853
63,-191.74012752837092
64,-212.28100975929078
65,-155.46724759234476
66,-212.81309175729962
67,-224.68705952750452
68,-49.66925335413994
69,-171.56235243141745
70,-261.00874318135527
71,-71.17234948168687
72,-111.33427387205334
73,-198.33953896498946
74,-175.3300614356143
75,-51.48463214887792
76,-169.0330983437473
77,-194.55722037940586
78,-173.96647751411513
79,-157.88173295535915
80,-91.51894812567929
81,-141.27171588260052
82,-149.35113221161723
83,-171.1437302419066
84,-75.94785097332414
85,-177.05649971040663
86,-126.75717319131923
87,-384.2056502691895
88,-199.14909213301894
89,-118.69723879901198
90,-152.3248239316217
91,-189.17588622448238
92,50.71477251070846
93,-309.75673373361417
94,-121.13198075288182
95,-131.67740464978527
96,-92.2221096990531
97,-264.427456868662
98,-284.7788862230492
99,-298.818611255924
100,-123.9216541406358
101,-156.026907027847
102,-145.85481788629045
103,-165.18665658083415
104,-167.0417629925003
105,-59.873825610025364
106,-158.2394239229925
107,-160.34849086628816
108,-450.45428950427396
109,-154.10512357794292
110,-181.81503388356066
111,-168.0789871840204
112,-118.90936277039009
113,-153.14421475262972
114,-195.42292875393466
115,-45.50910094215381
116,-37.27071479462907
117,-105.47806997658792
118,-94.13320682555769
119,-62.1407759098182
